DATASET,METHOD,GROUP,VALUE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,v32_file_router,MIX_MODE,sequential,100,100.0,100.0,100.0,0.12666666666666665,0.18000000000000002,0.24,,,0.8286666666666667,,
dev,v32_file_router,MIX_MODE,voice_only,50,50.0,50.0,0.0,0.12,0.16000000000000003,,,,,,
dev,v32_file_router,CHANNEL,clean_flac,66,66.0,58.0,58.0,0.2554347826086957,0.2068965517241379,0.20714285714285713,1.0,0.9935344827586207,0.7687604412079675,0.9967672413793103,0.7915611212251018
dev,v32_file_router,CHANNEL,mp3_64k,67,67.0,58.0,59.0,0.10196687370600416,0.27586206896551724,0.30517241379310345,0.9942528735632183,0.9957627118644068,0.8022924252159633,0.9950077927138126,0.8215639619657482
dev,v32_file_router,CHANNEL,noisy_flac,66,66.0,58.0,58.0,0.1492063492063492,0.31034482758620685,0.24166666666666667,0.9913793103448276,0.9935344827586207,0.7908278598795839,0.9924568965517242,0.810990763546798
dev,v32_file_router,CHANNEL,ogg_48k,67,67.0,59.0,58.0,0.23861283643892336,0.271264367816092,0.32738095238095233,0.9978813559322034,1.0,0.7282264225030342,0.9989406779661016,0.7552978480493409
dev,v32_file_router,CHANNEL,stereo_wav,67,67.0,59.0,58.0,0.2808080808080808,0.271264367816092,0.32738095238095233,1.0,0.9942528735632185,0.7071288003184555,0.9971264367816093,0.7361285639647709
dev,v32_file_router,CHANNEL,telephone_flac,67,67.0,58.0,59.0,0.298936170212766,0.27586206896551724,0.42396313364055294,0.9885057471264367,0.9639830508474576,0.6681705610083477,0.9762443989869471,0.6989779448062077
dev,v32_file_router,VOICE_EER_GIVEN_MUSIC_FAKE,0,150,,,,,0.28,,,,,,
dev,v32_file_router,VOICE_EER_GIVEN_MUSIC_FAKE,1,150,,,,,0.3466666666666667,,,,,,
dev,v32_file_router,MUSIC_EER_GIVEN_VOICE_FAKE,0,150,,,,,,0.29333333333333333,,,,,
dev,v32_file_router,MUSIC_EER_GIVEN_VOICE_FAKE,1,150,,,,,,0.28,,,,,
dev,v32_file_router,FILE_EER_REAL_REAL_VS,fake_voice_real_music,150,,,,0.3466666666666667,,,,,,,
dev,v32_file_router,FILE_EER_REAL_REAL_VS,real_voice_fake_music,150,,,,0.29333333333333333,,,,,,,
dev,v32_file_router,FILE_EER_REAL_REAL_VS,both_fake,150,,,,0.21333333333333337,,,,,,,
dev,v33_file_router_music,ALL,ALL,400,400.0,350.0,350.0,0.24,0.2857142857142857,0.22857142857142854,0.9962285714285715,0.993257142857143,0.7542857142857143,0.9947428571428572,0.7783314285714287
dev,v33_file_router_music,AUDIO_TYPE,mixed,300,300.0,300.0,300.0,0.28,0.31333333333333335,0.22666666666666668,,,0.7293333333333333,,
dev,v33_file_router_music,AUDIO_TYPE,music,50,50.0,0.0,50.0,0.19999999999999998,,0.19999999999999998,,,,,
dev,v33_file_router_music,AUDIO_TYPE,voice,50,50.0,50.0,0.0,0.12,0.16000000000000003,,,,,,
dev,v33_file_router_music,MIX_MODE,concurrent,100,100.0,100.0,100.0,0.36,0.4,0.26,,,0.662,,
dev,v33_file_router_music,MIX_MODE,music_only,50,50.0,0.0,50.0,0.19999999999999998,,0.19999999999999998,,,,,
dev,v33_file_router_music,MIX_MODE,partial_overlap,100,100.0,100.0,100.0,0.2733333333333334,0.33999999999999997,0.21999999999999997,,,0.7293333333333333,,
dev,v33_file_router_music,MIX_MODE,sequential,100,100.0,100.0,100.0,0.12666666666666665,0.18000000000000002,0.16000000000000003,,,0.8526666666666667,,
dev,v33_file_router_music,MIX_MODE,voice_only,50,50.0,50.0,0.0,0.12,0.16000000000000003,,,,,,
dev,v33_file_router_music,CHANNEL,clean_flac,66,66.0,58.0,58.0,0.2554347826086957,0.2068965517241379,0.20714285714285713,1.0,0.9935344827586207,0.7687604412079675,0.9967672413793103,0.7915611212251018
dev,v33_file_router_music,CHANNEL,mp3_64k,67,67.0,58.0,59.0,0.10196687370600416,0.27586206896551724,0.16954022988505746,0.9942528735632183,0.9957627118644068,0.8429820803883772,0.9950077927138126,0.8581846516209207
dev,v33_file_router_music,CHANNEL,noisy_flac,66,66.0,58.0,58.0,0.1492063492063492,0.31034482758620685,0.17261904761904762,0.9913793103448276,0.9935344827586207,0.8115421455938697,0.9924568965517242,0.8296336206896552
dev,v33_file_router_music,CHANNEL,ogg_48k,67,67.0,59.0,58.0,0.23861283643892336,0.271264367816092,0.17261904761904762,0.9978813559322034,1.0,0.7746549939316056,0.9989406779661016,0.7970835623350553
dev,v33_file_router_music,CHANNEL,stereo_wav,67,67.0,59.0,58.0,0.2808080808080808,0.271264367816092,0.20714285714285716,1.0,0.9942528735632185,0.743200228889884,0.9971264367816093,0.7685928496790565
dev,v33_file_router_music,CHANNEL,telephone_flac,67,67.0,58.0,59.0,0.298936170212766,0.27586206896551724,0.32200460829493094,0.9885057471264367,0.9639830508474576,0.6987581186120343,0.9762443989869471,0.7265067466495256
dev,v33_file_router_music,VOICE_EER_GIVEN_MUSIC_FAKE,0,150,,,,,0.28,,,,,,
dev,v33_file_router_music,VOICE_EER_GIVEN_MUSIC_FAKE,1,150,,,,,0.3466666666666667,,,,,,
dev,v33_file_router_music,MUSIC_EER_GIVEN_VOICE_FAKE,0,150,,,,,,0.21333333333333337,,,,,
dev,v33_file_router_music,MUSIC_EER_GIVEN_VOICE_FAKE,1,150,,,,,,0.24,,,,,
dev,v33_file_router_music,FILE_EER_REAL_REAL_VS,fake_voice_real_music,150,,,,0.3466666666666667,,,,,,,
dev,v33_file_router_music,FILE_EER_REAL_REAL_VS,real_voice_fake_music,150,,,,0.29333333333333333,,,,,,,
dev,v33_file_router_music,FILE_EER_REAL_REAL_VS,both_fake,150,,,,0.21333333333333337,,,,,,,
factorial,v18,ALL,ALL,400,400.0,350.0,350.0,0.25527272727272726,0.22285714285714286,0.27428571428571424,0.9928,0.9989142857142856,0.7455064935064936,0.9958571428571428,0.7705415584415585
factorial,v18,AUDIO_TYPE,mixed,300,300.0,300.0,300.0,0.36,0.26,0.30000000000000004,,,0.6779999999999999,,
factorial,v18,AUDIO_TYPE,music,50,50.0,0.0,50.0,0.19999999999999998,,0.19999999999999998,,,,,
factorial,v18,AUDIO_TYPE,voice,50,50.0,50.0,0.0,0.04000000000000002,0.04000000000000002,,,,,,
factorial,v18,MIX_MODE,concurrent,100,100.0,100.0,100.0,0.43999999999999995,0.30000000000000004,0.26,,,0.642,,
factorial,v18,MIX_MODE,music_only,50,50.0,0.0,50.0,0.19999999999999998,,0.19999999999999998,,,,,
factorial,v18,MIX_MODE,partial_overlap,100,100.0,100.0,100.0,0.31999999999999995,0.30000000000000004,0.31999999999999995,,,0.6839999999999999,,
factorial,v18,MIX_MODE,sequential,100,100.0,100.0,100.0,0.24666666666666665,0.18000000000000002,0.30000000000000004,,,0.7506666666666667,,
factorial,v18,MIX_MODE,voice_only,50,50.0,50.0,0.0,0.04000000000000002,0.04000000000000002,,,,,,
factorial,v18,CHANNEL,clean_flac,66,66.0,58.0,58.0,0.2873015873015873,0.24137931034482762,0.2928571428571428,1.0,1.0,0.7202162014230981,1.0,0.7481945812807882
factorial,v18,CHANNEL,mp3_64k,67,67.0,59.0,58.0,0.23585858585858588,0.20344827586206896,0.32738095238095233,0.9936440677966102,1.0,0.7431667661840076,0.9968220338983051,0.7685322929554375
factorial,v18,CHANNEL,noisy_flac,67,67.0,58.0,59.0,0.19574468085106386,0.1724137931034483,0.2540322580645161,1.0,1.0,0.7914352235344235,1.0,0.8122917011809812
factorial,v18,CHANNEL,ogg_48k,67,67.0,58.0,59.0,0.24948240165631472,0.24137931034482762,0.20344827586206893,0.9885057471264368,1.0,0.7659484543442565,0.9942528735632183,0.7887788962661527
factorial,v18,CHANNEL,stereo_wav,66,66.0,58.0,58.0,0.2554347826086957,0.31034482758620685,0.25833333333333336,0.9762931034482759,0.9913793103448276,0.7327136431784108,0.9838362068965518,0.757825899550225
factorial,v18,CHANNEL,telephone_flac,67,67.0,59.0,58.0,0.32971014492753625,0.23735632183908045,0.32738095238095233,0.9915254237288136,0.9923371647509579,0.6894593774541301,0.9919312942398857,0.7197065691327057
factorial,v18,VOICE_EER_GIVEN_MUSIC_FAKE,0,150,,,,,0.28,,,,,,
factorial,v18,VOICE_EER_GIVEN_MUSIC_FAKE,1,150,,,,,0.22666666666666668,,,,,,
factorial,v18,MUSIC_EER_GIVEN_VOICE_FAKE,0,150,,,,,,0.30666666666666664,,,,,
factorial,v18,MUSIC_EER_GIVEN_VOICE_FAKE,1,150,,,,,,0.30666666666666664,,,,,
factorial,v18,FILE_EER_REAL_REAL_VS,fake_voice_real_music,150,,,,0.3733333333333333,,,,,,,
factorial,v18,FILE_EER_REAL_REAL_VS,real_voice_fake_music,150,,,,0.3733333333333333,,,,,,,
factorial,v18,FILE_EER_REAL_REAL_VS,both_fake,150,,,,0.33333333333333337,,,,,,,
factorial,v32_file_router,ALL,ALL,400,400.0,350.0,350.0,0.21527272727272728,0.22285714285714286,0.27428571428571424,0.9928,0.9989142857142856,0.7655064935064936,0.9958571428571428,0.7885415584415585
factorial,v32_file_router,AUDIO_TYPE,mixed,300,300.0,300.0,300.0,0.3044444444444444,0.26,0.30000000000000004,,,0.7057777777777777,,
factorial,v32_file_router,AUDIO_TYPE,music,50,50.0,0.0,50.0,0.12,,0.19999999999999998,,,,,
factorial,v32_file_router,AUDIO_TYPE,voice,50,50.0,50.0,0.0,0.04000000000000002,0.04000000000000002,,,,,,
factorial,v32_file_router,MIX_MODE,concurrent,100,100.0,100.0,100.0,0.36666666666666664,0.30000000000000004,0.26,,,0.6786666666666666,,
factorial,v32_file_router,MIX_MODE,music_only,50,50.0,0.0,50.0,0.12,,0.19999999999999998,,,,,
factorial,v32_file_router,MIX_MODE,partial_overlap,100,100.0,100.0,100.0,0.19999999999999998,0.30000000000000004,0.31999999999999995,,,0.744,,
factorial,v32_file_router,MIX_MODE,sequential,100,100.0,100.0,100.0,0.2866666666666667,0.18000000000000002,0.30000000000000004,,,0.7306666666666667,,
factorial,v32_file_router,MIX_MODE,voice_only,50,50.0,50.0,0.0,0.04000000000000002,0.04000000000000002,,,,,,
factorial,v32_file_router,CHANNEL,clean_flac,66,66.0,58.0,58.0,0.24126984126984127,0.24137931034482762,0.2928571428571428,1.0,1.0,0.743232074438971,1.0,0.7689088669950739
factorial,v32_file_router,CHANNEL,mp3_64k,67,67.0,59.0,58.0,0.17979797979797982,0.20344827586206896,0.32738095238095233,0.9936440677966102,1.0,0.7711970692143106,0.9968220338983051,0.7937595656827101
factorial,v32_file_router,CHANNEL,noisy_flac,67,67.0,58.0,59.0,0.19574468085106386,0.1724137931034483,0.2540322580645161,1.0,1.0,0.7914352235344235,1.0,0.8122917011809812
factorial,v32_file_router,CHANNEL,ogg_48k,67,67.0,58.0,59.0,0.23861283643892336,0.24137931034482762,0.20344827586206893,0.9885057471264368,1.0,0.7713832369529521,0.9942528735632183,0.7936702006139787
factorial,v32_file_router,CHANNEL,stereo_wav,66,66.0,58.0,58.0,0.19782608695652174,0.31034482758620685,0.25833333333333336,0.9762931034482759,0.9913793103448276,0.7615179910044978,0.9838362068965518,0.7837498125937032
factorial,v32_file_router,CHANNEL,telephone_flac,67,67.0,59.0,58.0,0.24948240165631472,0.23735632183908045,0.32738095238095233,0.9915254237288136,0.9923371647509579,0.7295732490897409,0.9919312942398857,0.7558090536047554
factorial,v32_file_router,VOICE_EER_GIVEN_MUSIC_FAKE,0,150,,,,,0.28,,,,,,
factorial,v32_file_router,VOICE_EER_GIVEN_MUSIC_FAKE,1,150,,,,,0.22666666666666668,,,,,,
factorial,v32_file_router,MUSIC_EER_GIVEN_VOICE_FAKE,0,150,,,,,,0.30666666666666664,,,,,
factorial,v32_file_router,MUSIC_EER_GIVEN_VOICE_FAKE,1,150,,,,,,0.30666666666666664,,,,,
factorial,v32_file_router,FILE_EER_REAL_REAL_VS,fake_voice_real_music,150,,,,0.3733333333333333,,,,,,,
factorial,v32_file_router,FILE_EER_REAL_REAL_VS,real_voice_fake_music,150,,,,0.28,,,,,,,
factorial,v32_file_router,FILE_EER_REAL_REAL_VS,both_fake,150,,,,0.24,,,,,,,
factorial,v33_file_router_music,ALL,ALL,400,400.0,350.0,350.0,0.21527272727272728,0.22285714285714286,0.23428571428571432,0.9928,0.9989142857142856,0.7775064935064935,0.9958571428571428,0.7993415584415584
factorial,v33_file_router_music,AUDIO_TYPE,mixed,300,300.0,300.0,300.0,0.3044444444444444,0.26,0.2533333333333333,,,0.7197777777777777,,
factorial,v33_file_router_music,AUDIO_TYPE,music,50,50.0,0.0,50.0,0.12,,0.12,,,,,
factorial,v33_file_router_music,AUDIO_TYPE,voice,50,50.0,50.0,0.0,0.04000000000000002,0.04000000000000002,,,,,,
factorial,v33_file_router_music,MIX_MODE,concurrent,100,100.0,100.0,100.0,0.36666666666666664,0.30000000000000004,0.21999999999999997,,,0.6906666666666667,,
factorial,v33_file_router_music,MIX_MODE,music_only,50,50.0,0.0,50.0,0.12,,0.12,,,,,
factorial,v33_file_router_music,MIX_MODE,partial_overlap,100,100.0,100.0,100.0,0.19999999999999998,0.30000000000000004,0.21999999999999997,,,0.774,,
factorial,v33_file_router_music,MIX_MODE,sequential,100,100.0,100.0,100.0,0.2866666666666667,0.18000000000000002,0.19999999999999998,,,0.7606666666666667,,
factorial,v33_file_router_music,MIX_MODE,voice_only,50,50.0,50.0,0.0,0.04000000000000002,0.04000000000000002,,,,,,
factorial,v33_file_router_music,CHANNEL,clean_flac,66,66.0,58.0,58.0,0.24126984126984127,0.24137931034482762,0.20714285714285716,1.0,1.0,0.7689463601532567,1.0,0.792051724137931
factorial,v33_file_router_music,CHANNEL,mp3_64k,67,67.0,59.0,58.0,0.17979797979797982,0.20344827586206896,0.17261904761904762,0.9936440677966102,1.0,0.817625640642882,0.9968220338983051,0.8355452799684244
factorial,v33_file_router_music,CHANNEL,noisy_flac,67,67.0,58.0,59.0,0.19574468085106386,0.1724137931034483,0.18605990783410142,1.0,1.0,0.811826928603548,1.0,0.8306442357431932
factorial,v33_file_router_music,CHANNEL,ogg_48k,67,67.0,58.0,59.0,0.23861283643892336,0.24137931034482762,0.16954022988505746,0.9885057471264368,1.0,0.7815556507460556,0.9942528735632183,0.8028253730277719
factorial,v33_file_router_music,CHANNEL,stereo_wav,66,66.0,58.0,58.0,0.19782608695652174,0.31034482758620685,0.13809523809523808,0.9762931034482759,0.9913793103448276,0.7975894195759263,0.9838362068965518,0.816214098307989
factorial,v33_file_router_music,CHANNEL,telephone_flac,67,67.0,59.0,58.0,0.24948240165631472,0.23735632183908045,0.32738095238095233,0.9915254237288136,0.9923371647509579,0.7295732490897409,0.9919312942398857,0.7558090536047554
factorial,v33_file_router_music,VOICE_EER_GIVEN_MUSIC_FAKE,0,150,,,,,0.28,,,,,,
factorial,v33_file_router_music,VOICE_EER_GIVEN_MUSIC_FAKE,1,150,,,,,0.22666666666666668,,,,,,
factorial,v33_file_router_music,MUSIC_EER_GIVEN_VOICE_FAKE,0,150,,,,,,0.22666666666666668,,,,,
factorial,v33_file_router_music,MUSIC_EER_GIVEN_VOICE_FAKE,1,150,,,,,,0.28,,,,,
factorial,v33_file_router_music,FILE_EER_REAL_REAL_VS,fake_voice_real_music,150,,,,0.3733333333333333,,,,,,,
factorial,v33_file_router_music,FILE_EER_REAL_REAL_VS,real_voice_fake_music,150,,,,0.28,,,,,,,
factorial,v33_file_router_music,FILE_EER_REAL_REAL_VS,both_fake,150,,,,0.24,,,,,,,
phone,v18,ALL,ALL,1200,1200.0,800.0,800.0,0.2582857142857143,0.16749999999999998,0.345,0.956603125,0.9840593750000001,0.7338571428571429,0.9703312500000001,0.7575045535714287
phone,v18,AUDIO_TYPE,mixed,400,400.0,400.0,400.0,0.32166666666666666,0.21999999999999997,0.41500000000000004,,,0.6706666666666667,,
phone,v18,AUDIO_TYPE,music,400,400.0,0.0,400.0,0.255,,0.28,,,,,
phone,v18,AUDIO_TYPE,voice,400,400.0,400.0,0.0,0.050000000000000024,0.06499999999999997,,,,,,
phone,v18,CHANNEL,g711_ulaw,300,300.0,200.0,200.0,0.1902857142857143,0.08999999999999998,0.30000000000000004,0.9617,0.9845000000000002,0.7968571428571428,0.9731000000000001,0.8144814285714286
phone,v18,CHANNEL,g726_24k,300,300.0,200.0,200.0,0.1902857142857143,0.06999999999999998,0.27,0.9618,0.9813000000000001,0.8098571428571428,0.97155,0.8260264285714286
phone,v18,CHANNEL,opus_nb_8k,300,300.0,200.0,200.0,0.44685714285714284,0.24,0.36,0.9662,0.9826500000000001,0.6205714285714286,0.9744250000000001,0.6559567857142857
phone,v18,CHANNEL,resample8k,300,300.0,200.0,200.0,0.19999999999999998,0.050000000000000024,0.35,0.94465,0.9887999999999999,0.7850000000000001,0.966725,0.8031725000000001
phone,v18,CONDITION,simultaneous,400,400.0,400.0,400.0,0.32166666666666666,0.21999999999999997,0.41500000000000004,,,0.6706666666666667,,
phone,v18,CONDITION,source_disjoint,400,400.0,0.0,400.0,0.255,,0.28,,,,,
phone,v18,CONDITION,speech_only,400,400.0,400.0,0.0,0.050000000000000024,0.06499999999999997,,,,,,
phone,v18,VOICE_EER_GIVEN_MUSIC_FAKE,0,200,,,,,0.24,,,,,,
phone,v18,VOICE_EER_GIVEN_MUSIC_FAKE,1,200,,,,,0.19999999999999998,,,,,,
phone,v18,MUSIC_EER_GIVEN_VOICE_FAKE,0,200,,,,,,0.35,,,,,
phone,v18,MUSIC_EER_GIVEN_VOICE_FAKE,1,200,,,,,,0.49,,,,,
phone,v18,FILE_EER_REAL_REAL_VS,fake_voice_real_music,200,,,,0.31999999999999995,,,,,,,
phone,v18,FILE_EER_REAL_REAL_VS,real_voice_fake_music,200,,,,0.37,,,,,,,
phone,v18,FILE_EER_REAL_REAL_VS,both_fake,200,,,,0.30000000000000004,,,,,,,
phone,v32_file_router,ALL,ALL,1200,1200.0,800.0,800.0,0.1782857142857143,0.16749999999999998,0.345,0.956603125,0.9840593750000001,0.7738571428571429,0.9703312500000001,0.7935045535714287
phone,v32_file_router,AUDIO_TYPE,mixed,400,400.0,400.0,400.0,0.19999999999999998,0.21999999999999997,0.41500000000000004,,,0.7315,,
phone,v32_file_router,AUDIO_TYPE,music,400,400.0,0.0,400.0,0.07499999999999998,,0.28,,,,,
phone,v32_file_router,AUDIO_TYPE,voice,400,400.0,400.0,0.0,0.050000000000000024,0.06499999999999997,,,,,,
phone,v32_file_router,CHANNEL,g711_ulaw,300,300.0,200.0,200.0,0.12685714285714284,0.08999999999999998,0.30000000000000004,0.9617,0.9845000000000002,0.8285714285714286,0.9731000000000001,0.8430242857142858
phone,v32_file_router,CHANNEL,g726_24k,300,300.0,200.0,200.0,0.0965714285714286,0.06999999999999998,0.27,0.9618,0.9813000000000001,0.8567142857142857,0.97155,0.8681978571428571
phone,v32_file_router,CHANNEL,opus_nb_8k,300,300.0,200.0,200.0,0.35314285714285715,0.24,0.36,0.9662,0.9826500000000001,0.6674285714285715,0.9744250000000001,0.6981282142857144
phone,v32_file_router,CHANNEL,resample8k,300,300.0,200.0,200.0,0.11314285714285716,0.050000000000000024,0.35,0.94465,0.9887999999999999,0.8284285714285715,0.966725,0.8422582142857145
phone,v32_file_router,CONDITION,simultaneous,400,400.0,400.0,400.0,0.19999999999999998,0.21999999999999997,0.41500000000000004,,,0.7315,,
phone,v32_file_router,CONDITION,source_disjoint,400,400.0,0.0,400.0,0.07499999999999998,,0.28,,,,,
phone,v32_file_router,CONDITION,speech_only,400,400.0,400.0,0.0,0.050000000000000024,0.06499999999999997,,,,,,
phone,v32_file_router,VOICE_EER_GIVEN_MUSIC_FAKE,0,200,,,,,0.24,,,,,,
phone,v32_file_router,VOICE_EER_GIVEN_MUSIC_FAKE,1,200,,,,,0.19999999999999998,,,,,,
phone,v32_file_router,MUSIC_EER_GIVEN_VOICE_FAKE,0,200,,,,,,0.35,,,,,
phone,v32_file_router,MUSIC_EER_GIVEN_VOICE_FAKE,1,200,,,,,,0.49,,,,,
phone,v32_file_router,FILE_EER_REAL_REAL_VS,fake_voice_real_music,200,,,,0.27,,,,,,,
phone,v32_file_router,FILE_EER_REAL_REAL_VS,real_voice_fake_music,200,,,,0.19999999999999998,,,,,,,
phone,v32_file_router,FILE_EER_REAL_REAL_VS,both_fake,200,,,,0.15000000000000002,,,,,,,
phone,v33_file_router_music,ALL,ALL,1200,1200.0,800.0,800.0,0.1782857142857143,0.16749999999999998,0.1775,0.956603125,0.9840593750000001,0.8241071428571429,0.9703312500000001,0.8387295535714288
phone,v33_file_router_music,AUDIO_TYPE,mixed,400,400.0,400.0,400.0,0.19999999999999998,0.21999999999999997,0.26,,,0.778,,
phone,v33_file_router_music,AUDIO_TYPE,music,400,400.0,0.0,400.0,0.07499999999999998,,0.09999999999999999,,,,,
phone,v33_file_router_music,AUDIO_TYPE,voice,400,400.0,400.0,0.0,0.050000000000000024,0.06499999999999997,,,,,,
phone,v33_file_router_music,CHANNEL,g711_ulaw,300,300.0,200.0,200.0,0.12685714285714284,0.08999999999999998,0.16000000000000003,0.9617,0.9845000000000002,0.8705714285714287,0.9731000000000001,0.8808242857142858
phone,v33_file_router_music,CHANNEL,g726_24k,300,300.0,200.0,200.0,0.0965714285714286,0.06999999999999998,0.16000000000000003,0.9618,0.9813000000000001,0.8897142857142857,0.97155,0.8978978571428571
phone,v33_file_router_music,CHANNEL,opus_nb_8k,300,300.0,200.0,200.0,0.35314285714285715,0.24,0.17000000000000004,0.9662,0.9826500000000001,0.7244285714285714,0.9744250000000001,0.7494282142857143
phone,v33_file_router_music,CHANNEL,resample8k,300,300.0,200.0,200.0,0.11314285714285716,0.050000000000000024,0.15000000000000002,0.94465,0.9887999999999999,0.8884285714285715,0.966725,0.8962582142857143
phone,v33_file_router_music,CONDITION,simultaneous,400,400.0,400.0,400.0,0.19999999999999998,0.21999999999999997,0.26,,,0.778,,
phone,v33_file_router_music,CONDITION,source_disjoint,400,400.0,0.0,400.0,0.07499999999999998,,0.09999999999999999,,,,,
phone,v33_file_router_music,CONDITION,speech_only,400,400.0,400.0,0.0,0.050000000000000024,0.06499999999999997,,,,,,
phone,v33_file_router_music,VOICE_EER_GIVEN_MUSIC_FAKE,0,200,,,,,0.24,,,,,,
phone,v33_file_router_music,VOICE_EER_GIVEN_MUSIC_FAKE,1,200,,,,,0.19999999999999998,,,,,,
phone,v33_file_router_music,MUSIC_EER_GIVEN_VOICE_FAKE,0,200,,,,,,0.20999999999999996,,,,,
phone,v33_file_router_music,MUSIC_EER_GIVEN_VOICE_FAKE,1,200,,,,,,0.29000000000000004,,,,,
phone,v33_file_router_music,FILE_EER_REAL_REAL_VS,fake_voice_real_music,200,,,,0.27,,,,,,,
phone,v33_file_router_music,FILE_EER_REAL_REAL_VS,real_voice_fake_music,200,,,,0.19999999999999998,,,,,,,
phone,v33_file_router_music,FILE_EER_REAL_REAL_VS,both_fake,200,,,,0.15000000000000002,,,,,,,
yue,v18,ALL,ALL,124,124.0,108.0,124.0,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,
yue,v18,AUDIO_TYPE,mixed,108,108.0,108.0,108.0,0.21130952380952384,0.10208333333333333,0.20370370370370372,,,0.8128174603174603,,
