MUSIC_WEIGHT,PHONE_MUSIC_WEIGHT,dev_ADS,dev_DELTA,dev_MUSIC_EER,factorial_ADS,factorial_DELTA,factorial_MUSIC_EER,phone_ADS,phone_DELTA,phone_MUSIC_EER,yue_ADS,yue_DELTA,yue_MUSIC_EER,MIN_DELTA,MEAN_DELTA
0.6,0.7,0.7577142857142858,0.05979220779220784,0.21714285714285717,0.7809350649350649,0.035428571428571365,0.22285714285714286,0.8301071428571429,0.09625000000000006,0.15749999999999997,0.8513728669939223,0.022924701963534355,0.16129032258064513,0.022924701963534355,0.053598870296078405
0.6,0.6,0.7594285714285715,0.06150649350649351,0.2114285714285714,0.7809350649350649,0.035428571428571365,0.22285714285714286,0.8271071428571429,0.09325000000000006,0.16749999999999998,0.8513728669939223,0.022924701963534355,0.16129032258064513,0.022924701963534355,0.05327744172464982
0.5,0.7,0.756,0.05807792207792206,0.22285714285714286,0.7792207792207793,0.0337142857142857,0.22857142857142854,0.8301071428571429,0.09625000000000006,0.15749999999999997,0.8513728669939223,0.022924701963534355,0.16129032258064513,0.022924701963534355,0.05274172743893554
0.7,0.7,0.756,0.05807792207792206,0.22285714285714286,0.7792207792207793,0.0337142857142857,0.22857142857142854,0.8301071428571429,0.09625000000000006,0.15749999999999997,0.8513728669939223,0.022924701963534355,0.16129032258064513,0.022924701963534355,0.05274172743893554
0.5,0.6,0.7577142857142858,0.05979220779220784,0.21714285714285717,0.7775064935064935,0.03199999999999992,0.23428571428571432,0.8271071428571429,0.09325000000000006,0.16749999999999998,0.8513728669939223,0.022924701963534355,0.16129032258064513,0.022924701963534355,0.05199172743893554
0.7,0.6,0.756,0.05807792207792206,0.22285714285714286,0.7792207792207793,0.0337142857142857,0.22857142857142854,0.8271071428571429,0.09325000000000006,0.16749999999999998,0.8513728669939223,0.022924701963534355,0.16129032258064513,0.022924701963534355,0.05199172743893554
0.4,0.7,0.7542857142857143,0.056363636363636394,0.22857142857142854,0.7775064935064935,0.03199999999999992,0.23428571428571432,0.8301071428571429,0.09625000000000006,0.15749999999999997,0.8513728669939223,0.022924701963534355,0.16129032258064513,0.022924701963534355,0.05188458458179268
0.6,0.5,0.7542857142857143,0.056363636363636394,0.22857142857142854,0.7809350649350649,0.035428571428571365,0.22285714285714286,0.8241071428571429,0.09025000000000005,0.1775,0.8513728669939223,0.022924701963534355,0.16129032258064513,0.022924701963534355,0.05124172743893554
0.7,0.5,0.7542857142857143,0.056363636363636394,0.22857142857142854,0.7792207792207793,0.0337142857142857,0.22857142857142854,0.8241071428571429,0.09025000000000005,0.1775,0.8513728669939223,0.022924701963534355,0.16129032258064513,0.022924701963534355,0.050813156010364124
0.4,0.6,0.7542857142857143,0.056363636363636394,0.22857142857142854,0.7757922077922078,0.03028571428571425,0.24,0.8271071428571429,0.09325000000000006,0.16749999999999998,0.8513728669939223,0.022924701963534355,0.16129032258064513,0.022924701963534355,0.05070601315322126
