DATASET,ID,N_WINDOWS,SLS_FIRST,SLS_MEAN,SLS_MAX,SLS_LME5,SLS_WINDOWS
external_mixed_v1,mixed_0000,1,1.2857738437883168e-05,1.2857738437883168e-05,1.2857738437883168e-05,1.2857738437883168e-05,[1.2857738437883168e-05]
external_mixed_v1,mixed_0001,1,6.588430626188923e-05,6.588430626188923e-05,6.588430626188923e-05,6.588430626188923e-05,[6.588430626188923e-05]
external_mixed_v1,mixed_0002,1,0.04836107082116357,0.04836107082116357,0.04836107082116357,0.04836107082116357,[0.04836107082116357]
external_mixed_v1,mixed_0003,1,0.9727840278481664,0.9727840278481664,0.9727840278481664,0.9727840278481665,[0.9727840278481664]
external_mixed_v1,mixed_0004,1,0.9999997744304232,0.9999997744304232,0.9999997744304232,0.9999997744304231,[0.9999997744304232]
external_mixed_v1,mixed_0005,1,0.0003394045088367733,0.0003394045088367733,0.0003394045088367733,0.0003394045088367733,[0.0003394045088367733]
external_mixed_v1,mixed_0006,1,0.9999997896397329,0.9999997896397329,0.9999997896397329,0.9999997896397328,[0.9999997896397329]
external_mixed_v1,mixed_0007,1,0.999999651655085,0.999999651655085,0.999999651655085,0.999999651655085,[0.999999651655085]
external_mixed_v1,mixed_0008,1,0.12246109244220993,0.12246109244220993,0.12246109244220993,0.12246109244220993,[0.12246109244220993]
external_mixed_v1,mixed_0009,1,0.999906709176157,0.999906709176157,0.999906709176157,0.9999067091761569,[0.999906709176157]
external_mixed_v1,mixed_0010,1,0.9529691842169631,0.9529691842169631,0.9529691842169631,0.9529691842169632,[0.9529691842169631]
external_mixed_v1,mixed_0011,1,0.9999985072020849,0.9999985072020849,0.9999985072020849,0.9999985072020848,[0.9999985072020849]
external_mixed_v1,mixed_0012,1,0.9999885957234723,0.9999885957234723,0.9999885957234723,0.9999885957234722,[0.9999885957234723]
external_mixed_v1,mixed_0013,1,0.9822608843775685,0.9822608843775685,0.9822608843775685,0.9822608843775684,[0.9822608843775685]
external_mixed_v1,mixed_0014,1,0.004898141950227766,0.004898141950227766,0.004898141950227766,0.004898141950227766,[0.004898141950227766]
external_mixed_v1,mixed_0015,1,0.9999997644732794,0.9999997644732794,0.9999997644732794,0.9999997644732794,[0.9999997644732794]
external_mixed_v1,mixed_0016,1,0.9999980804755544,0.9999980804755544,0.9999980804755544,0.9999980804755545,[0.9999980804755544]
external_mixed_v1,mixed_0017,1,0.9997381277077848,0.9997381277077848,0.9997381277077848,0.9997381277077848,[0.9997381277077848]
external_mixed_v1,mixed_0018,1,0.9999966853622105,0.9999966853622105,0.9999966853622105,0.9999966853622105,[0.9999966853622105]
external_mixed_v1,mixed_0019,1,0.9999987641463396,0.9999987641463396,0.9999987641463396,0.9999987641463395,[0.9999987641463396]
external_mixed_v1,mixed_0020,1,0.015887317237125376,0.015887317237125376,0.015887317237125376,0.015887317237125376,[0.015887317237125376]
external_mixed_v1,mixed_0021,1,0.9999985926943072,0.9999985926943072,0.9999985926943072,0.9999985926943072,[0.9999985926943072]
external_mixed_v1,mixed_0022,1,0.9999997350669283,0.9999997350669283,0.9999997350669283,0.9999997350669283,[0.9999997350669283]
external_mixed_v1,mixed_0023,1,0.9999981145553409,0.9999981145553409,0.9999981145553409,0.9999981145553409,[0.9999981145553409]
external_mixed_v1,mixed_0024,1,0.9999987216372512,0.9999987216372512,0.9999987216372512,0.9999987216372512,[0.9999987216372512]
external_mixed_v1,mixed_0025,1,0.9999991113354451,0.9999991113354451,0.9999991113354451,0.9999991113354451,[0.9999991113354451]
external_mixed_v1,mixed_0026,1,0.9968072255541024,0.9968072255541024,0.9968072255541024,0.9968072255541024,[0.9968072255541024]
external_mixed_v1,mixed_0027,1,0.9999907125637286,0.9999907125637286,0.9999907125637286,0.9999907125637286,[0.9999907125637286]
external_mixed_v1,mixed_0028,1,0.9999267610838892,0.9999267610838892,0.9999267610838892,0.9999267610838892,[0.9999267610838892]
