DATASET,ID,N_WINDOWS,SLS_FIRST,SLS_MEAN,SLS_MAX,SLS_LME5,SLS_WINDOWS
asvspoof_voice_wav_dev_v1,voice_0000__wav,2,4.0293077697007574e-07,3.544945599039601e-07,4.0293077697007574e-07,3.544945657694539e-07,"[4.0293077697007574e-07,3.0605834283784444e-07]"
asvspoof_voice_wav_dev_v1,voice_0002__wav,2,1.678565575336073e-06,1.4119981656804402e-05,2.6561397738272732e-05,1.4120368628873752e-05,"[1.678565575336073e-06,2.6561397738272732e-05]"
asvspoof_voice_wav_dev_v1,voice_0004__wav,2,0.9998635199571749,0.9999123981179852,0.9999612762787955,0.9999124040906716,"[0.9998635199571749,0.9999612762787955]"
asvspoof_voice_wav_dev_v1,voice_0005__wav,2,9.334179757617283e-07,1.3739225494592844e-06,1.8144271231568406e-06,1.3739230345648774e-06,"[9.334179757617283e-07,1.8144271231568406e-06]"
asvspoof_voice_wav_dev_v1,voice_0006__wav,2,6.0421413784911916e-05,0.49999203993637703,0.9999236584589691,0.8626382076898071,"[6.0421413784911916e-05,0.9999236584589691]"
asvspoof_voice_wav_dev_v1,voice_0007__wav,2,4.5994682001220923e-07,6.08685067703172e-07,7.574233153941346e-07,6.086851230130228e-07,"[4.5994682001220923e-07,7.574233153941346e-07]"
asvspoof_voice_wav_dev_v1,voice_0008__wav,2,0.020416829806801793,0.020455867421371513,0.020494905035941233,0.02045587123120986,"[0.020416829806801793,0.020494905035941233]"
asvspoof_voice_wav_dev_v1,voice_0009__wav,2,0.9955509656486916,0.9977698709834093,0.9999887763181269,0.9977821795831154,"[0.9955509656486916,0.9999887763181269]"
asvspoof_voice_wav_dev_v1,voice_0011__wav,2,0.001592468069431087,0.0031266497662252217,0.004660831463019356,0.003132533992215085,"[0.001592468069431087,0.004660831463019356]"
asvspoof_voice_wav_dev_v1,voice_0012__wav,2,3.2568844444757125e-05,0.46647484888937496,0.9329171289343051,0.7961638030844816,"[3.2568844444757125e-05,0.9329171289343051]"
asvspoof_voice_wav_dev_v1,voice_0013__wav,2,3.604491852457289e-06,0.4988567751659729,0.9977099458400933,0.8604390183084568,"[3.604491852457289e-06,0.9977099458400933]"
asvspoof_voice_wav_dev_v1,voice_0014__wav,2,0.36110157222121564,0.30161732726478235,0.36110157222121564,0.3103358441786755,"[0.36110157222121564,0.24213308230834907]"
asvspoof_voice_wav_dev_v1,voice_0015__wav,1,3.0242804373689345e-07,3.0242804373689345e-07,3.0242804373689345e-07,3.0242804373689345e-07,[3.0242804373689345e-07]
asvspoof_voice_wav_dev_v1,voice_0016__wav,2,1.5339572325763236e-07,1.574140589323852e-07,1.6143239460713804e-07,1.5741405896917069e-07,"[1.5339572325763236e-07,1.6143239460713804e-07]"
asvspoof_voice_wav_dev_v1,voice_0017__wav,2,0.11632347768107633,0.07227263779953043,0.11632347768107633,0.07708510566514351,"[0.11632347768107633,0.028221797917984535]"
asvspoof_voice_wav_dev_v1,voice_0018__wav,2,0.07830834073441079,0.3595276966637121,0.6407470525930133,0.5137851851608329,"[0.07830834073441079,0.6407470525930133]"
asvspoof_voice_wav_dev_v1,voice_0019__wav,2,0.0561734894545758,0.5250240088567087,0.9938745282588417,0.8570767646697653,"[0.0561734894545758,0.9938745282588417]"
asvspoof_voice_wav_dev_v1,voice_0020__wav,2,4.587281429331088e-07,3.611827347864158e-07,4.587281429331088e-07,3.6118275855643337e-07,"[4.587281429331088e-07,2.636373266397228e-07]"
asvspoof_voice_wav_dev_v1,voice_0021__wav,2,0.9973716793717705,0.9981107017369257,0.9988497241020811,0.9981120671189592,"[0.9973716793717705,0.9988497241020811]"
asvspoof_voice_wav_dev_v1,voice_0022__wav,2,8.777036146544727e-06,3.873462888454446e-05,6.86922216225442e-05,3.873687252795137e-05,"[8.777036146544727e-06,6.86922216225442e-05]"
asvspoof_voice_wav_dev_v1,voice_0023__wav,2,0.0006157376619534125,0.009341104967232264,0.018066472272511114,0.00953137470848519,"[0.0006157376619534125,0.018066472272511114]"
asvspoof_voice_wav_dev_v1,voice_0024__wav,2,4.816589371961407e-07,4.2086661991821987e-07,4.816589371961407e-07,4.208666291619149e-07,"[4.816589371961407e-07,3.60074302640299e-07]"
asvspoof_voice_wav_dev_v1,voice_0025__wav,2,0.07530148151952466,0.09451574791382499,0.11373001430812531,0.09543730169158071,"[0.07530148151952466,0.11373001430812531]"
asvspoof_voice_wav_dev_v1,voice_0026__wav,2,0.048146516483446256,0.028576374708566988,0.048146516483446256,0.0295323267870036,"[0.048146516483446256,0.009006232933687722]"
asvspoof_voice_wav_dev_v1,voice_0027__wav,2,7.529716983927975e-07,1.7983666651603009e-06,2.8437616319278044e-06,1.7983693973016084e-06,"[7.529716983927975e-07,2.8437616319278044e-06]"
asvspoof_voice_wav_dev_v1,voice_0028__wav,2,0.999318970400231,0.9990648500325583,0.999318970400231,0.999065011475418,"[0.999318970400231,0.9988107296648855]"
asvspoof_voice_wav_dev_v1,voice_0029__wav,2,6.949731981519584e-07,0.43906434938310224,0.8781280037930064,0.7419619027819375,"[6.949731981519584e-07,0.8781280037930064]"
asvspoof_voice_wav_dev_v1,voice_0030__wav,2,2.5888555909658797e-05,0.0019569675493354135,0.003888046542761168,0.001966290069682675,"[2.5888555909658797e-05,0.003888046542761168]"
