PARENT_ID,CHANNEL,TASK,LABEL,CLEAN_PROB,CHANNEL_PROB,SCORE_DELTA,SIGNED_DELTA
cmbv5_0000,g711_ulaw,FILE,0,0.426763327,0.8914841008,0.46472077379999993,-0.46472077379999993
cmbv5_0001,g711_ulaw,FILE,0,0.265875485,0.2646857946,-0.0011896903999999986,0.0011896903999999986
cmbv5_0002,g711_ulaw,FILE,0,0.3956499718,0.2310634279,-0.1645865439,0.1645865439
cmbv5_0003,g711_ulaw,FILE,0,0.1720931242,0.2011569297,0.029063805499999984,-0.029063805499999984
cmbv5_0004,g711_ulaw,FILE,1,0.7198080307,0.270994187,-0.4488138437,-0.4488138437
cmbv5_0005,g711_ulaw,FILE,1,0.9538919937,0.9439261681,-0.009965825600000033,-0.009965825600000033
cmbv5_0006,g711_ulaw,FILE,1,0.2314982556,0.3252668417,0.09376858609999997,0.09376858609999997
cmbv5_0007,g711_ulaw,FILE,1,0.8863542275,0.5840334408,-0.30232078670000007,-0.30232078670000007
cmbv5_0008,g711_ulaw,FILE,1,0.8931272347,0.9571842251,0.06405699040000001,0.06405699040000001
cmbv5_0009,g711_ulaw,FILE,1,0.9395075816,0.7054786085,-0.23402897310000004,-0.23402897310000004
cmbv5_0010,g711_ulaw,FILE,1,0.9821006943,0.9389128873,-0.04318780700000002,-0.04318780700000002
cmbv5_0011,g711_ulaw,FILE,1,0.9051482701,0.5528253369,-0.35232293319999997,-0.35232293319999997
cmbv5_0012,g711_ulaw,FILE,1,0.7881439211,0.6405886585,-0.14755526259999996,-0.14755526259999996
cmbv5_0013,g711_ulaw,FILE,1,0.9987412222,0.9890002853,-0.009740936899999997,-0.009740936899999997
cmbv5_0014,g711_ulaw,FILE,1,0.982793194,0.9906344237,0.007841229700000008,0.007841229700000008
cmbv5_0015,g711_ulaw,FILE,1,0.9422878053,0.6107332184,-0.33155458689999995,-0.33155458689999995
cmbv5_0016,g711_ulaw,FILE,0,0.8152010328,0.7333955027,-0.08180553010000002,0.08180553010000002
cmbv5_0017,g711_ulaw,FILE,0,0.692878884,0.7080482738,0.015169389800000044,-0.015169389800000044
cmbv5_0018,g711_ulaw,FILE,0,0.722998636,0.4492337261,-0.2737649099,0.2737649099
cmbv5_0019,g711_ulaw,FILE,0,0.2698452405,0.2436043903,-0.026240850200000027,0.026240850200000027
cmbv5_0020,g711_ulaw,FILE,1,0.9393455914,0.7764312484,-0.16291434299999996,-0.16291434299999996
cmbv5_0021,g711_ulaw,FILE,1,0.664762043,0.6475983658,-0.017163677200000005,-0.017163677200000005
cmbv5_0022,g711_ulaw,FILE,1,0.7115703633,0.5670558384,-0.14451452490000005,-0.14451452490000005
cmbv5_0023,g711_ulaw,FILE,1,0.9553860226,0.7166019769,-0.2387840457,-0.2387840457
cmbv5_0024,g711_ulaw,FILE,1,0.9695006218,0.9772710852,0.007770463399999983,0.007770463399999983
cmbv5_0025,g711_ulaw,FILE,1,0.9760908974,0.970129065,-0.005961832400000033,-0.005961832400000033
cmbv5_0026,g711_ulaw,FILE,1,0.973331031,0.6690510747,-0.30427995629999993,-0.30427995629999993
cmbv5_0027,g711_ulaw,FILE,1,0.9701093801,0.9818228574,0.011713477299999941,0.011713477299999941
cmbv5_0028,g711_ulaw,FILE,1,0.9807161304,0.9635991726,-0.0171169578,-0.0171169578
cmbv5_0029,g711_ulaw,FILE,1,0.9719603259,0.9844813319,0.012521005999999946,0.012521005999999946
cmbv5_0030,g711_ulaw,FILE,1,0.9744763982,0.9558318391,-0.018644559099999958,-0.018644559099999958
cmbv5_0031,g711_ulaw,FILE,1,0.9751079066,0.9768947362,0.001786829599999984,0.001786829599999984
