GROUP,VALUE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
ALL,ALL,124,124,108,124,0.39877717391304346,0.16666666666666663,0.3870967741935484,0.9837962962962963,,0.6511490474520805,,
AUDIO_TYPE,mixed,108,108,108,108,0.41666666666666663,0.16666666666666663,0.38888888888888884,,,0.6416666666666667,,
AUDIO_TYPE,music,16,16,0,16,0.125,,0.125,,,,,
CONDITION,clean_separator_free,124,124,108,124,0.39877717391304346,0.16666666666666663,0.3870967741935484,0.9837962962962963,,0.6511490474520805,,
SPLIT,audit_yue,124,124,108,124,0.39877717391304346,0.16666666666666663,0.3870967741935484,0.9837962962962963,,0.6511490474520805,,
MIX_MODE,concurrent,32,32,32,32,0.375,0.25,0.5,,,0.6125,,
MIX_MODE,music_only,16,16,0,16,0.125,,0.125,,,,,
MIX_MODE,native_yue_vocal,12,12,12,12,,,0.5,,,,,
MIX_MODE,partial_overlap,32,32,32,32,0.375,0.125,0.3125,,,0.6937500000000001,,
MIX_MODE,sequential,32,32,32,32,0.375,0.0625,0.4375,,,0.66875,,
VOICE_GENERATOR,YuE,12,12,12,12,,,0.5,,,,,
VOICE_GENERATOR,bonafide,48,48,48,48,0.5,,0.375,,,,,
VOICE_GENERATOR,cosyvoice3_0.5b,48,48,48,48,,,0.41666666666666663,,,,,
VOICE_GENERATOR,nan,16,16,0,16,0.125,,0.125,,,,,
MUSIC_GENERATOR,YuE,62,62,54,62,,0.12916666666666665,,0.9861111111111112,,,,
MUSIC_GENERATOR,real,62,62,54,62,0.403125,0.20416666666666666,,0.9791666666666667,,,,
