ID,SOURCE_ID,SOURCE_BANK,GROUP_ID,COMPONENT,LABEL,PATH,GENERATOR,RAW_TRUTH_SHA256,AUDIO_SHA256,EAT_VOICE,EAT_MUSIC,PANNS_VOICE,PANNS_MUSIC,BOTH_VOICE_REVIEW,EITHER_VOICE_REVIEW
echoes_v1:echoes_real_0170,echoes_real_0170,echoes_v1,music_0082,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0170.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,e2f3339347dab64564b31967c1dd8966381878c10c0e3b4020dc84e8bb717b92,0.013220811262726784,0.93193119764328,0.02585015818476677,0.9382930397987366,False,False
echoes_v1:echoes_real_0072,echoes_real_0072,echoes_v1,music_0168,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0072.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,8193f668e3e2660b74f00e53071eaf75107e608a118b4b0db5547cbaf272a957,0.21047987043857574,0.9265602827072144,0.322855144739151,0.8709962964057922,False,False
echoes_v1:echoes_real_0089,echoes_real_0089,echoes_v1,music_0024,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0089.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,813ebbe79b54b27faa450e89a7b1c77c49cf16b8d9516a4218fe0eca929c356f,0.026109574362635612,0.9189850687980652,0.11324344575405121,0.908204972743988,False,False
echoes_v1:echoes_real_0016,echoes_real_0016,echoes_v1,music_0068,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0016.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,942264f463488c0560cc69ed823842f1227c83d0e9950ea91aa55f7596cef9d9,0.1575094610452652,0.8490653038024902,0.34423545002937317,0.7739293575286865,False,False
echoes_v1:echoes_real_0180,echoes_real_0180,echoes_v1,music_0011,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0180.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,c0a65cf8cde76c5851e0040b2cf5f6751f0534f9297a48070ea6e31496c9dee3,0.7660031318664551,0.9400695562362671,0.6872519254684448,0.8122554421424866,True,True
echoes_v1:echoes_real_0093,echoes_real_0093,echoes_v1,music_0199,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0093.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,213742cacf297f075543fb010388b63611503d63290f357d592fa7d7c1229a47,0.00757606839761138,0.9034487009048462,0.016166815534234047,0.8834581971168518,False,False
echoes_v1:echoes_real_0128,echoes_real_0128,echoes_v1,music_0073,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0128.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,8694f3b995ae00fa3749fdd641c83092d851b9ddd20dc9d63d9549d0b0e6c2ff,0.23984010517597198,0.826541543006897,0.212448388338089,0.9317103028297424,False,False
echoes_v1:echoes_real_0001,echoes_real_0001,echoes_v1,music_0137,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0001.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,9f80e921f926aecba810f8292755176fc0cf4a578427a77456c81f6b40bb74dd,0.008140474557876587,0.7861180901527405,0.03534854203462601,0.8994074463844299,False,False
echoes_v1:echoes_real_0156,echoes_real_0156,echoes_v1,music_0040,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0156.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,d32bde7dbaf28a0d54ba2e9b66548eb535bc7505b2ef95cfc077a561c9c8aa24,0.16499832272529602,0.8691801428794861,0.40221095085144043,0.8138208389282227,False,False
echoes_v1:echoes_real_0070,echoes_real_0070,echoes_v1,music_0132,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0070.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,ff061e7c699fb00838ab55da0853caa5b94844db72222649baacedd75aa48030,0.9270166754722595,0.8805833458900452,0.9202088117599487,0.8474028706550598,True,True
echoes_v1:echoes_real_0035,echoes_real_0035,echoes_v1,music_0093,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0035.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,110b958a3f583923c819b69b4a9a200c65d30c6d636ff726e18d0261f54b3dcf,0.15548405051231384,0.8746852874755859,0.6391764283180237,0.816727340221405,False,True
echoes_v1:echoes_real_0105,echoes_real_0105,echoes_v1,music_0134,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0105.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,2612b1fef3b497b56c2bdc96d84d130157058c8f7398c69d6bfc8915c8fd5df1,0.07647842913866043,0.9468051195144653,0.2755797803401947,0.9278417229652405,False,False
echoes_v1:echoes_real_0006,echoes_real_0006,echoes_v1,music_0066,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0006.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,b09f72df4b3a09b6ed4363494210c487e8e428cc66b15188244f758e1c0c3daa,0.8370757102966309,0.5048970580101013,0.8149278163909912,0.6314451694488525,True,True
echoes_v1:echoes_real_0012,echoes_real_0012,echoes_v1,music_0006,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0012.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,6339ea63433d38a4b67fd84e8944ee1bcf1a4b2b3a533da7d8971a4008a3ba13,0.01358658354729414,0.5998964905738831,0.023680858314037323,0.7470880746841431,False,False
echoes_v1:echoes_real_0179,echoes_real_0179,echoes_v1,music_0026,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0179.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,cb48bf1f0562036caa36712a761a99f76c72729aed2eb667c72c3cc1662a07c5,0.17669032514095306,0.8507681488990784,0.2352466881275177,0.9053794145584106,False,False
echoes_v1:echoes_real_0144,echoes_real_0144,echoes_v1,music_0084,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0144.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,dbf088f6c9713a20a8b0e9ee20938411b72d64cf3eaf5d3554a81da17b072499,0.38408225774765015,0.9264880418777466,0.1915612518787384,0.9348791241645813,False,False
echoes_v1:echoes_real_0152,echoes_real_0152,echoes_v1,music_0187,MUSIC,0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/echoes_v1/audio/echoes_real_0152.flac,real,7eda433693248567b0f102165adad861992b43ef0bedf965b27f2e759b2cab0c,24d01fc9e88559c23724ad4a27ff5daf4c8d3fd7f0d0a858ce5a265fa88462cf,0.024050327017903328,0.82564777135849,0.15374836325645447,0.8273102045059204,False,False
