DATASET,ID,VOICE_SOURCE_ID,MUSIC_SOURCE_ID,MUSIC_GENERATOR
mixfake_music_train_v1,RS-FM_LA_T_1078395_fake_39099_suno_1,LA_T_1078395,fake_39099_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1091653_fake_29817_udio_1,LA_T_1091653,fake_29817_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1130924_fake_19721_udio_1,LA_T_1130924,fake_19721_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1130943_fake_06606_udio_0,LA_T_1130943,fake_06606_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1138215_fake_17169_udio_1,LA_T_1138215,fake_17169_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1138215_fake_28988_suno_1,LA_T_1138215,fake_28988_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1158098_fake_08139_udio_1,LA_T_1158098,fake_08139_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1178897_fake_16773_suno_1,LA_T_1178897,fake_16773_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1193043_fake_49680_udio_0,LA_T_1193043,fake_49680_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1197695_fake_39162_suno_0,LA_T_1197695,fake_39162_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1203360_fake_53832_udio_0,LA_T_1203360,fake_53832_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1208112_fake_40475_udio_0,LA_T_1208112,fake_40475_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1215743_fake_04119_udio_0,LA_T_1215743,fake_04119_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1238061_fake_01768_suno_0,LA_T_1238061,fake_01768_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1241016_fake_08809_suno_0,LA_T_1241016,fake_08809_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1243533_fake_51456_suno_0,LA_T_1243533,fake_51456_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1261884_fake_30173_suno_1,LA_T_1261884,fake_30173_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1267917_fake_33401_suno_0,LA_T_1267917,fake_33401_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1272637_fake_23532_udio_0,LA_T_1272637,fake_23532_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1284700_fake_16649_udio_1,LA_T_1284700,fake_16649_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1284700_fake_48166_udio_1,LA_T_1284700,fake_48166_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1290428_fake_33019_udio_1,LA_T_1290428,fake_33019_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1290428_fake_39339_udio_1,LA_T_1290428,fake_39339_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1302087_fake_38583_udio_0,LA_T_1302087,fake_38583_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1312618_fake_36485_suno_0,LA_T_1312618,fake_36485_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1321385_fake_08910_udio_0,LA_T_1321385,fake_08910_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1321385_fake_49398_udio_0,LA_T_1321385,fake_49398_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1325059_fake_45106_udio_0,LA_T_1325059,fake_45106_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1332868_fake_06209_udio_1,LA_T_1332868,fake_06209_udio_1,udio
