encoder,pooling,epoch,channel,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
eat_large,mean,6,clean,120,120,120,120,0.1611111111111111,0.2333333333333333,0.06666666666666665,,,0.8527777777777779,,
eat_large,mean,6,g711_ulaw,120,120,120,120,0.19999999999999998,0.2833333333333333,0.15000000000000002,,,0.7983333333333333,,
eat_large,mean,6,g722_wb,120,120,120,120,0.1611111111111111,0.2666666666666667,0.09999999999999999,,,0.8361111111111111,,
eat_large,mean,6,opus_nb_8k,120,120,120,120,0.33333333333333337,0.2666666666666667,0.31666666666666665,,,0.6849999999999999,,
eat_large,mean,6,transcode_g711_opus,120,120,120,120,0.30000000000000004,0.25,0.3666666666666667,,,0.69,,
eat_large,attention,6,clean,120,120,120,120,0.19999999999999998,0.2666666666666667,0.08333333333333334,,,0.8216666666666665,,
eat_large,attention,6,g711_ulaw,120,120,120,120,0.30000000000000004,0.30000000000000004,0.18333333333333335,,,0.735,,
eat_large,attention,6,g722_wb,120,120,120,120,0.2333333333333333,0.2666666666666667,0.09999999999999999,,,0.8,,
eat_large,attention,6,opus_nb_8k,120,120,120,120,0.4,0.25,0.41666666666666663,,,0.625,,
eat_large,attention,6,transcode_g711_opus,120,120,120,120,0.3388888888888889,0.2666666666666667,0.41666666666666663,,,0.6522222222222223,,
spear,mean,6,clean,120,120,120,120,0.12777777777777777,0.16666666666666663,0.08333333333333334,,,0.8777777777777778,,
spear,mean,6,g711_ulaw,120,120,120,120,0.19999999999999998,0.18333333333333335,0.18333333333333335,,,0.8083333333333333,,
spear,mean,6,g722_wb,120,120,120,120,0.1333333333333333,0.15000000000000002,0.09999999999999999,,,0.8733333333333334,,
spear,mean,6,opus_nb_8k,120,120,120,120,0.2944444444444444,0.18333333333333335,0.31666666666666665,,,0.7211111111111111,,
spear,mean,6,transcode_g711_opus,120,120,120,120,0.30000000000000004,0.2333333333333333,0.30000000000000004,,,0.7133333333333333,,
spear,attention,6,clean,120,120,120,120,0.1333333333333333,0.16666666666666663,0.09999999999999999,,,0.8700000000000001,,
spear,attention,6,g711_ulaw,120,120,120,120,0.2333333333333333,0.16666666666666663,0.18333333333333335,,,0.795,,
spear,attention,6,g722_wb,120,120,120,120,0.1388888888888889,0.15000000000000002,0.11666666666666668,,,0.8655555555555556,,
spear,attention,6,opus_nb_8k,120,120,120,120,0.2944444444444444,0.16666666666666663,0.31666666666666665,,,0.7244444444444444,,
spear,attention,6,transcode_g711_opus,120,120,120,120,0.33333333333333337,0.21666666666666667,0.2666666666666667,,,0.71,,
xlsr,mean,6,clean,120,120,120,120,0.19999999999999998,0.06666666666666665,0.16666666666666663,,,0.8366666666666667,,
xlsr,mean,6,g711_ulaw,120,120,120,120,0.19444444444444445,0.08333333333333334,0.2666666666666667,,,0.8061111111111111,,
xlsr,mean,6,g722_wb,120,120,120,120,0.19999999999999998,0.050000000000000024,0.18333333333333335,,,0.8350000000000001,,
xlsr,mean,6,opus_nb_8k,120,120,120,120,0.3277777777777777,0.31666666666666665,0.35,,,0.6677777777777778,,
xlsr,mean,6,transcode_g711_opus,120,120,120,120,0.3666666666666667,0.33333333333333337,0.41666666666666663,,,0.625,,
xlsr,attention,6,clean,120,120,120,120,0.19999999999999998,0.08333333333333334,0.21666666666666667,,,0.8183333333333334,,
xlsr,attention,6,g711_ulaw,120,120,120,120,0.19999999999999998,0.08333333333333334,0.25,,,0.8083333333333333,,
xlsr,attention,6,g722_wb,120,120,120,120,0.22777777777777777,0.06666666666666665,0.21666666666666667,,,0.8077777777777778,,
xlsr,attention,6,opus_nb_8k,120,120,120,120,0.33333333333333337,0.30000000000000004,0.3833333333333333,,,0.6583333333333332,,
xlsr,attention,6,transcode_g711_opus,120,120,120,120,0.4,0.35,0.43333333333333335,,,0.6,,
