ID,PANNS_VOICE_PRESENT_PROB,PANNS_MUSIC_PRESENT_PROB,EAT_VOICE_PRESENT_PROB,EAT_MUSIC_PRESENT_PROB,EAT_MUSIC_PROBE_PROB,PHONE_VOICE_PROB,IS_TELEPHONE,VOICE_PRESENT_PROB,MUSIC_PRESENT_PROB
sdm_fake_0000,0.4734896719455719,0.876666784286499,0.21626874804496765,0.9025644063949585,0.9999997615814209,nan,0,0.38346234858036043,0.939984691143036
sdm_fake_0001,0.07430239021778107,0.8741621971130371,0.021184485405683517,0.8777346014976501,0.9999997615814209,nan,0,0.05571112353354692,0.9264263212680817
sdm_fake_0002,0.18318350613117218,0.8560163974761963,0.038403745740652084,0.9284658432006836,0.9999988079071045,nan,0,0.13251058999449014,0.9527320623397827
sdm_fake_0003,0.6383562684059143,0.9021751880645752,0.6635212302207947,0.95064777135849,0.9999979734420776,nan,0,0.6471640050411225,0.9674794971942902
sdm_fake_0004,0.042869213968515396,0.8843085169792175,0.01960037276148796,0.8714629411697388,1.0,nan,0,0.03472511954605579,0.923648499250412
sdm_fake_0005,0.0802987813949585,0.8582006692886353,0.02842794544994831,0.8271976709365845,0.9999992847442627,nan,0,0.06214398881420493,0.8981784963607788
sdm_fake_0006,0.20949006080627441,0.8857823610305786,0.05501365661621094,0.8524518609046936,0.9999998807907104,nan,0,0.1554233193397522,0.9134708988666533
sdm_fake_0007,0.1703760027885437,0.9025428891181946,0.03711039572954178,0.9222859144210815,0.9999996423721313,nan,0,0.12373304031789303,0.9521868240833282
sdm_fake_0008,0.17937931418418884,0.8778252601623535,0.0561048649251461,0.8592725396156311,1.0,nan,0,0.1362332569435239,0.9166766870021821
sdm_fake_0009,0.14805848896503448,0.8688638806343079,0.08824655413627625,0.8395222425460815,0.9999997615814209,nan,0,0.1271243117749691,0.9054737484455109
sdm_fake_0010,0.21730965375900269,0.8747645616531372,0.058724671602249146,0.8641103506088257,0.9999998807907104,nan,0,0.16180491000413894,0.9191054153442384
sdm_fake_0011,0.2630003094673157,0.8953689932823181,0.10037416964769363,0.8383053541183472,0.9999998807907104,nan,0,0.20608116053044798,0.9064069831371309
sdm_fake_0012,0.2596261501312256,0.8866662979125977,0.08231101930141449,0.937728226184845,0.9999995231628418,nan,0,0.1975658543407917,0.9595730292797089
sdm_fake_0013,0.06988129019737244,0.8577675223350525,0.021249573677778244,0.8068085312843323,0.9999980926513672,nan,0,0.05286018941551447,0.8871418952941894
