BASE_ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,VOICE_SOURCE_ID,VOICE_SPEAKER,VOICE_GENERATOR,VOICE_ARCHIVE_ID,VOICE_ARCHIVE_MEMBER,MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_VOCAL_SCREEN,MUSIC_ARCHIVE_ID,MUSIC_ARCHIVE_MEMBER,SNR_DB,OVERLAP_FRACTION,ORDER,GAP_SECONDS,SOURCE_DATASET,PROVENANCE_MODE,VOICE_SOURCE_DATASET
cmbv6_0000,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,librispeech-test-clean:1284-1180-0011,librispeech-test-clean:1284,bonafide,librispeech-test-clean:1284-1180-0011,voice_pool/08800904618b09a3d6ba.flac,055773,fma:55773,FMA,unscreened_real_noncausal,RM_055_055773,unmixed_dataset/eval/RM_055_055773.wav,0,1.0,music_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv6_0001,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,librispeech-test-clean:1320-122617-0004,librispeech-test-clean:1320,bonafide,librispeech-test-clean:1320-122617-0004,voice_pool/af41278ea4fe4d3f53a5.flac,010883,fma:10883,FMA,unscreened_real_noncausal,RM_010_010883,unmixed_dataset/eval/RM_010_010883.wav,-10,1.0,music_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv6_0002,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,librispeech-test-clean:8455-210777-0060,librispeech-test-clean:8455,bonafide,librispeech-test-clean:8455-210777-0060,voice_pool/86473dc520406beb65f7.flac,045021,fma:45021,FMA,unscreened_real_noncausal,RM_045_045021,unmixed_dataset/eval/RM_045_045021.wav,10,1.0,music_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv6_0003,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,librispeech-test-clean:2961-961-0012,librispeech-test-clean:2961,bonafide,librispeech-test-clean:2961-961-0012,voice_pool/cbe287cc92979d4a0dce.flac,059905,fma:59905,FMA,unscreened_real_noncausal,RM_059_059905,unmixed_dataset/eval/RM_059_059905.wav,-5,1.0,voice_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv6_0004,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,librispeech-test-clean:1580-141084-0000,librispeech-test-clean:1580,bonafide,librispeech-test-clean:1580-141084-0000,voice_pool/576bff56299d12982fcf.flac,FM_audioldm2_bTLgeqCaYMY,fmc:bTLgeqCaYMY,audioldm2,musiccaps_no_positive_voice_text_panns_demucs_pass_v1,FM_audioldm2_bTLgeqCaYMY,unmixed_dataset/eval/FM_audioldm2_bTLgeqCaYMY.wav,5,1.0,music_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv6_0005,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,librispeech-test-clean:260-123440-0011,librispeech-test-clean:260,bonafide,librispeech-test-clean:260-123440-0011,voice_pool/f35ecfd989479c408ad7.flac,FM_audioldm2_F9LJIyqQFe8,fmc:F9LJIyqQFe8,audioldm2,musiccaps_no_positive_voice_text_panns_demucs_pass_v1,FM_audioldm2_F9LJIyqQFe8,unmixed_dataset/eval/FM_audioldm2_F9LJIyqQFe8.wav,5,1.0,music_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv6_0006,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,librispeech-test-clean:5142-36377-0013,librispeech-test-clean:5142,bonafide,librispeech-test-clean:5142-36377-0013,voice_pool/6089059dc7174976ca8f.flac,FM_audioldm2_mOmYcOBqhwo,fmc:mOmYcOBqhwo,audioldm2,musiccaps_no_positive_voice_text_panns_demucs_pass_v1,FM_audioldm2_mOmYcOBqhwo,unmixed_dataset/eval/FM_audioldm2_mOmYcOBqhwo.wav,5,1.0,voice_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv6_0007,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,librispeech-test-clean:2094-142345-0030,librispeech-test-clean:2094,bonafide,librispeech-test-clean:2094-142345-0030,voice_pool/3f491bc7fa0420218bb6.flac,FM_stable_audio_open_UcS5U1mpbAE,fmc:UcS5U1mpbAE,stable_audio_open,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_stable_audio_open_UcS5U1mpbAE,unmixed_dataset/eval/FM_stable_audio_open_UcS5U1mpbAE.wav,-10,1.0,voice_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv6_0008,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,asvspoof2021-df:DF_E_2115617,asvspoof2021-df:TFF1,Task2-team24,asvspoof2021-df:DF_E_2115617,voice_pool/26c2d2103e84cee354a9.flac,066813,fma:66813,FMA,unscreened_real_noncausal,RM_066_066813,unmixed_dataset/eval/RM_066_066813.wav,5,1.0,voice_first,0.0,external_voice_disjoint+MixFake_music,strict,ASVspoof2021_DF_eval_nocodec
cmbv6_0009,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,asvspoof2021-df:DF_E_2062792,asvspoof2021-df:TFF1,Task2-team19,asvspoof2021-df:DF_E_2062792,voice_pool/ef87ef55ebd1f778d2e7.flac,107953,fma:107953,FMA,unscreened_real_noncausal,RM_107_107953,unmixed_dataset/eval/RM_107_107953.wav,10,1.0,voice_first,0.0,external_voice_disjoint+MixFake_music,strict,ASVspoof2021_DF_eval_nocodec
