VOICE_FAKE,VOICE_SOURCE_ID,VOICE_SPEAKER,VOICE_GENERATOR,VOICE_SOURCE_DATASET,VOICE_ARCHIVE_MEMBER,DURATION,AUDIO_SHA256
0,librispeech-test-clean:1284-1180-0011,librispeech-test-clean:1284,bonafide,LibriSpeech_test-clean,voice_pool/08800904618b09a3d6ba.flac,4.275,a41a43899c14d0afd3b40b9663f0f2a805f97a211f2dfdac7333e7bc1e5f10f0
0,librispeech-test-clean:1320-122617-0004,librispeech-test-clean:1320,bonafide,LibriSpeech_test-clean,voice_pool/af41278ea4fe4d3f53a5.flac,12.26,4eb51f81b50ca75b49624b368cd4d968ecb7f140b7b1a1710295014182d8258a
0,librispeech-test-clean:8455-210777-0060,librispeech-test-clean:8455,bonafide,LibriSpeech_test-clean,voice_pool/86473dc520406beb65f7.flac,7.075,ef57db07976e02027d19da092bac4747c7928a93199441010b967c12ce13e724
0,librispeech-test-clean:2961-961-0012,librispeech-test-clean:2961,bonafide,LibriSpeech_test-clean,voice_pool/cbe287cc92979d4a0dce.flac,13.015,8ee644f1c116214c302973f914605f229b56364e4872121ccc965953877a282d
0,librispeech-test-clean:1580-141084-0000,librispeech-test-clean:1580,bonafide,LibriSpeech_test-clean,voice_pool/576bff56299d12982fcf.flac,4.615,3ff2777781f07c365e6301f1536796a6270ccfdb5404f1e15dc598f92151e0f8
0,librispeech-test-clean:260-123440-0011,librispeech-test-clean:260,bonafide,LibriSpeech_test-clean,voice_pool/f35ecfd989479c408ad7.flac,4.87,997314429982ad6e76f5e62f074535fb520187b0d03092c7b94cf0e4f07b6ccb
0,librispeech-test-clean:5142-36377-0013,librispeech-test-clean:5142,bonafide,LibriSpeech_test-clean,voice_pool/6089059dc7174976ca8f.flac,6.585,0d624f07e1c00418bcf6900b239b8e9b5df3dc831388d6a30f44b6c6291ff143
0,librispeech-test-clean:2094-142345-0030,librispeech-test-clean:2094,bonafide,LibriSpeech_test-clean,voice_pool/3f491bc7fa0420218bb6.flac,16.12,24221cbe436087c1ad3dadd80689e139a6834ea259ed221143adab05ae899e78
1,asvspoof2021-df:DF_E_2115617,asvspoof2021-df:TFF1,Task2-team24,ASVspoof2021_DF_eval_nocodec,voice_pool/26c2d2103e84cee354a9.flac,4.42,37ac575a56dd50c00494aa8b11a43a41ed7cc3ca1db012d91b102dd84eab5a8a
1,asvspoof2021-df:DF_E_2062792,asvspoof2021-df:TFF1,Task2-team19,ASVspoof2021_DF_eval_nocodec,voice_pool/ef87ef55ebd1f778d2e7.flac,4.8426875,0689d65b74a8892625efcdeb464a8d7da7055e96eed3af81a8a04ef38c6487e2
1,asvspoof2021-df:DF_E_2137307,asvspoof2021-df:TFF1,Task2-team23,ASVspoof2021_DF_eval_nocodec,voice_pool/e3137b949167fa11902e.flac,4.785,35a042c96616a734964af24533dd6d35b991de5b1bd4e7994472438d98be95db
1,asvspoof2021-df:DF_E_2065569,asvspoof2021-df:TFF1,Task2-team07,ASVspoof2021_DF_eval_nocodec,voice_pool/f08c1a66181e01decdce.flac,4.0375,ef2c62c990f6781be6e62cb7f6b449c4a452ce8f8033c19eb2188cf2d772cb22
1,asvspoof2021-df:DF_E_2073506,asvspoof2021-df:TFF1,Task2-team28,ASVspoof2021_DF_eval_nocodec,voice_pool/194c44b76b7e2b10c421.flac,4.4375,919da6340517680c5a140eb961360c7edb237f9e6551c1115b6f777a88925a60
1,asvspoof2021-df:DF_E_2075716,asvspoof2021-df:TFF1,Task2-team12,ASVspoof2021_DF_eval_nocodec,voice_pool/fc60cd43c66f5154d0f3.flac,4.1150625,d7ee1124cbdca4fcaa7a7beb9836e165838473403caf616e73d1cc298ad8328a
1,asvspoof2021-df:DF_E_2012933,asvspoof2021-df:TFF1,Task2-team05,ASVspoof2021_DF_eval_nocodec,voice_pool/2e4a59ab9203081164fb.flac,4.215,bf7746d9c2666b5cbc8d17765c37940c4bea28714726b5bcbae48c0a5b521a22
1,asvspoof2021-df:DF_E_2036543,asvspoof2021-df:TFF1,Task2-team27,ASVspoof2021_DF_eval_nocodec,voice_pool/47d305e896ffd477d4d4.flac,4.8106875,04c8f17f4f8bb9e42180b42ce225bb3324f3ff71ff59e4c0e5230a30b9f039d6
0,librispeech-test-clean:5683-32866-0024,librispeech-test-clean:5683,bonafide,LibriSpeech_test-clean,voice_pool/7e2b90de71715b785394.flac,9.855,ff265b3a488b5f4dfcfb273ae996c73f0dce02a202ae47e68e68d89ccbef637c
0,librispeech-test-clean:8555-284449-0013,librispeech-test-clean:8555,bonafide,LibriSpeech_test-clean,voice_pool/4bb2fce2236c107ff188.flac,5.775,56487ddde846e059d08e96c1dc4b9e3fa35c4219a2b4cc541d25f4fc698848d5
