DATASET,METHOD,MUSIC_EER,MUSIC_SCORE,ROLE
codec_mixed_dev_v4,V50,0.2733333333333333,0.7266666666666667,retrospective_only_nonselection
codec_mixed_dev_v4,EXPERT,0.32999999999999996,0.67,retrospective_only_nonselection
codec_mixed_dev_v4,V50_PLUS_025,0.27,0.73,retrospective_only_nonselection
codec_mixed_dev_v4,V51,0.2533333333333333,0.7466666666666667,retrospective_only_nonselection
codec_mixed_dev_v4,V51_PLUS_025,0.2533333333333333,0.7466666666666667,retrospective_only_nonselection
codec_mixed_blind_v5,V50,0.19166666666666665,0.8083333333333333,retrospective_only_nonselection
codec_mixed_blind_v5,EXPERT,0.3833333333333333,0.6166666666666667,retrospective_only_nonselection
codec_mixed_blind_v5,V50_PLUS_025,0.19166666666666665,0.8083333333333333,retrospective_only_nonselection
codec_mixed_blind_v5,V51,0.18333333333333335,0.8166666666666667,retrospective_only_nonselection
codec_mixed_blind_v5,V51_PLUS_025,0.18333333333333335,0.8166666666666667,retrospective_only_nonselection
codec_mixed_blind_v6,V50,0.2583333333333333,0.7416666666666667,retrospective_only_nonselection
codec_mixed_blind_v6,EXPERT,0.30833333333333335,0.6916666666666667,retrospective_only_nonselection
codec_mixed_blind_v6,V50_PLUS_025,0.2583333333333333,0.7416666666666667,retrospective_only_nonselection
codec_mixed_blind_v7,V50,0.3055555555555556,0.6944444444444444,retrospective_only_nonselection
codec_mixed_blind_v7,EXPERT,0.4277777777777778,0.5722222222222222,retrospective_only_nonselection
codec_mixed_blind_v7,V50_PLUS_025,0.3111111111111111,0.6888888888888889,retrospective_only_nonselection
