GROUP,VALUE,COMPONENT,EXPERT,WEIGHT,N,AUC
ALL,ALL,voice,voice_energy,0.0,1200,0.99890625
ALL,ALL,voice,voice_energy,0.01,1200,0.998903125
ALL,ALL,voice,voice_energy,0.025,1200,0.998890625
ALL,ALL,voice,voice_energy,0.05,1200,0.998875
ALL,ALL,voice,voice_energy,0.075,1200,0.99885625
ALL,ALL,voice,voice_energy,0.1,1200,0.9988
ALL,ALL,voice,voice_energy,0.15,1200,0.998725
ALL,ALL,voice,voice_energy,0.2,1200,0.9985937500000001
ALL,ALL,voice,voice_q90,0.0,1200,0.99890625
ALL,ALL,voice,voice_q90,0.01,1200,0.998903125
ALL,ALL,voice,voice_q90,0.025,1200,0.99890625
ALL,ALL,voice,voice_q90,0.05,1200,0.998896875
ALL,ALL,voice,voice_q90,0.075,1200,0.998884375
ALL,ALL,voice,voice_q90,0.1,1200,0.9988843749999999
ALL,ALL,voice,voice_q90,0.15,1200,0.998878125
ALL,ALL,voice,voice_q90,0.2,1200,0.998840625
ALL,ALL,voice,voice_max,0.0,1200,0.99890625
ALL,ALL,voice,voice_max,0.01,1200,0.998903125
ALL,ALL,voice,voice_max,0.025,1200,0.99890625
ALL,ALL,voice,voice_max,0.05,1200,0.998903125
ALL,ALL,voice,voice_max,0.075,1200,0.9988937499999999
ALL,ALL,voice,voice_max,0.1,1200,0.998884375
ALL,ALL,voice,voice_max,0.15,1200,0.998875
ALL,ALL,voice,voice_max,0.2,1200,0.998859375
ALL,ALL,voice,voice_share,0.0,1200,0.99890625
ALL,ALL,voice,voice_share,0.01,1200,0.998909375
ALL,ALL,voice,voice_share,0.025,1200,0.9988656250000001
ALL,ALL,voice,voice_share,0.05,1200,0.998765625
ALL,ALL,voice,voice_share,0.075,1200,0.998628125
ALL,ALL,voice,voice_share,0.1,1200,0.998434375
ALL,ALL,voice,voice_share,0.15,1200,0.9978218750000001
ALL,ALL,voice,voice_share,0.2,1200,0.996921875
ALL,ALL,voice,voice_composite,0.0,1200,0.99890625
ALL,ALL,voice,voice_composite,0.01,1200,0.99890625
ALL,ALL,voice,voice_composite,0.025,1200,0.9988874999999999
ALL,ALL,voice,voice_composite,0.05,1200,0.9988625
ALL,ALL,voice,voice_composite,0.075,1200,0.998803125
ALL,ALL,voice,voice_composite,0.1,1200,0.998753125
ALL,ALL,voice,voice_composite,0.15,1200,0.99860625
ALL,ALL,voice,voice_composite,0.2,1200,0.9983718749999999
ALL,ALL,music,music_energy,0.0,1200,0.9998
ALL,ALL,music,music_energy,0.01,1200,0.9998312500000001
ALL,ALL,music,music_energy,0.025,1200,0.999715625
ALL,ALL,music,music_energy,0.05,1200,0.9995656249999999
ALL,ALL,music,music_energy,0.075,1200,0.99945
ALL,ALL,music,music_energy,0.1,1200,0.999321875
ALL,ALL,music,music_energy,0.15,1200,0.9990718749999999
ALL,ALL,music,music_energy,0.2,1200,0.998840625
ALL,ALL,music,music_q90,0.0,1200,0.9998
ALL,ALL,music,music_q90,0.01,1200,0.99968125
ALL,ALL,music,music_q90,0.025,1200,0.999178125
ALL,ALL,music,music_q90,0.05,1200,0.9985124999999999
ALL,ALL,music,music_q90,0.075,1200,0.9980437499999999
ALL,ALL,music,music_q90,0.1,1200,0.9976375000000001
ALL,ALL,music,music_q90,0.15,1200,0.996796875
ALL,ALL,music,music_q90,0.2,1200,0.99605
ALL,ALL,music,music_max,0.0,1200,0.9998
ALL,ALL,music,music_max,0.01,1200,0.999659375
ALL,ALL,music,music_max,0.025,1200,0.99911875
ALL,ALL,music,music_max,0.05,1200,0.998428125
ALL,ALL,music,music_max,0.075,1200,0.99799375
ALL,ALL,music,music_max,0.1,1200,0.997484375
ALL,ALL,music,music_max,0.15,1200,0.996671875
ALL,ALL,music,music_max,0.2,1200,0.9957875
ALL,ALL,music,music_share,0.0,1200,0.9998
ALL,ALL,music,music_share,0.01,1200,0.9998312500000001
ALL,ALL,music,music_share,0.025,1200,0.999728125
ALL,ALL,music,music_share,0.05,1200,0.9995656249999999
ALL,ALL,music,music_share,0.075,1200,0.99945
ALL,ALL,music,music_share,0.1,1200,0.999321875
ALL,ALL,music,music_share,0.15,1200,0.9990687500000001
ALL,ALL,music,music_share,0.2,1200,0.998846875
ALL,ALL,music,music_composite,0.0,1200,0.9998
ALL,ALL,music,music_composite,0.01,1200,0.9997968749999999
ALL,ALL,music,music_composite,0.025,1200,0.999615625
ALL,ALL,music,music_composite,0.05,1200,0.9992375
ALL,ALL,music,music_composite,0.075,1200,0.9988937499999999
ALL,ALL,music,music_composite,0.1,1200,0.998665625
ALL,ALL,music,music_composite,0.15,1200,0.998134375
ALL,ALL,music,music_composite,0.2,1200,0.997740625
CHANNEL,g711_ulaw,voice,voice_energy,0.0,300,0.9998
CHANNEL,g711_ulaw,voice,voice_energy,0.01,300,0.9998
CHANNEL,g711_ulaw,voice,voice_energy,0.025,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_energy,0.05,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_energy,0.075,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_energy,0.1,300,0.9995999999999999
CHANNEL,g711_ulaw,voice,voice_energy,0.15,300,0.9995499999999999
CHANNEL,g711_ulaw,voice,voice_energy,0.2,300,0.9995
CHANNEL,g711_ulaw,voice,voice_q90,0.0,300,0.9998
CHANNEL,g711_ulaw,voice,voice_q90,0.01,300,0.9998
CHANNEL,g711_ulaw,voice,voice_q90,0.025,300,0.9998
CHANNEL,g711_ulaw,voice,voice_q90,0.05,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_q90,0.075,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_q90,0.1,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_q90,0.15,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_q90,0.2,300,0.9996999999999999
CHANNEL,g711_ulaw,voice,voice_max,0.0,300,0.9998
CHANNEL,g711_ulaw,voice,voice_max,0.01,300,0.9998
CHANNEL,g711_ulaw,voice,voice_max,0.025,300,0.9998
CHANNEL,g711_ulaw,voice,voice_max,0.05,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_max,0.075,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_max,0.1,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_max,0.15,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_max,0.2,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_share,0.0,300,0.9998
CHANNEL,g711_ulaw,voice,voice_share,0.01,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_share,0.025,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_share,0.05,300,0.9995499999999999
CHANNEL,g711_ulaw,voice,voice_share,0.075,300,0.9995999999999999
CHANNEL,g711_ulaw,voice,voice_share,0.1,300,0.9995
CHANNEL,g711_ulaw,voice,voice_share,0.15,300,0.9993
CHANNEL,g711_ulaw,voice,voice_share,0.2,300,0.9989
CHANNEL,g711_ulaw,voice,voice_composite,0.0,300,0.9998
CHANNEL,g711_ulaw,voice,voice_composite,0.01,300,0.9998
CHANNEL,g711_ulaw,voice,voice_composite,0.025,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_composite,0.05,300,0.9997499999999999
CHANNEL,g711_ulaw,voice,voice_composite,0.075,300,0.9996499999999999
CHANNEL,g711_ulaw,voice,voice_composite,0.1,300,0.9995499999999999
CHANNEL,g711_ulaw,voice,voice_composite,0.15,300,0.9994500000000001
CHANNEL,g711_ulaw,voice,voice_composite,0.2,300,0.9994500000000001
CHANNEL,g711_ulaw,music,music_energy,0.0,300,1.0
CHANNEL,g711_ulaw,music,music_energy,0.01,300,0.9999
CHANNEL,g711_ulaw,music,music_energy,0.025,300,0.9994999999999999
CHANNEL,g711_ulaw,music,music_energy,0.05,300,0.9991
CHANNEL,g711_ulaw,music,music_energy,0.075,300,0.9988
CHANNEL,g711_ulaw,music,music_energy,0.1,300,0.9984500000000001
CHANNEL,g711_ulaw,music,music_energy,0.15,300,0.9982
CHANNEL,g711_ulaw,music,music_energy,0.2,300,0.99795
CHANNEL,g711_ulaw,music,music_q90,0.0,300,1.0
CHANNEL,g711_ulaw,music,music_q90,0.01,300,0.9994
CHANNEL,g711_ulaw,music,music_q90,0.025,300,0.9984000000000001
CHANNEL,g711_ulaw,music,music_q90,0.05,300,0.9976
CHANNEL,g711_ulaw,music,music_q90,0.075,300,0.9969
CHANNEL,g711_ulaw,music,music_q90,0.1,300,0.9964500000000001
CHANNEL,g711_ulaw,music,music_q90,0.15,300,0.9951
CHANNEL,g711_ulaw,music,music_q90,0.2,300,0.9945499999999999
CHANNEL,g711_ulaw,music,music_max,0.0,300,1.0
CHANNEL,g711_ulaw,music,music_max,0.01,300,0.9994
CHANNEL,g711_ulaw,music,music_max,0.025,300,0.9984000000000001
CHANNEL,g711_ulaw,music,music_max,0.05,300,0.99755
CHANNEL,g711_ulaw,music,music_max,0.075,300,0.9973
CHANNEL,g711_ulaw,music,music_max,0.1,300,0.9964
CHANNEL,g711_ulaw,music,music_max,0.15,300,0.9952
CHANNEL,g711_ulaw,music,music_max,0.2,300,0.9946999999999999
CHANNEL,g711_ulaw,music,music_share,0.0,300,1.0
CHANNEL,g711_ulaw,music,music_share,0.01,300,0.9999
CHANNEL,g711_ulaw,music,music_share,0.025,300,0.9994999999999999
CHANNEL,g711_ulaw,music,music_share,0.05,300,0.9991
CHANNEL,g711_ulaw,music,music_share,0.075,300,0.9988
CHANNEL,g711_ulaw,music,music_share,0.1,300,0.9985
CHANNEL,g711_ulaw,music,music_share,0.15,300,0.9982
CHANNEL,g711_ulaw,music,music_share,0.2,300,0.998
