ID,EAT_VOICE_PRESENT_PROB,EAT_MUSIC_PRESENT_PROB
sdm_fake_0000__phonefact_resample8k,0.29734787344932556,0.8867142200469971
sdm_fake_0002__phonefact_resample8k,0.036058418452739716,0.9141936302185059
sdm_fake_0004__phonefact_resample8k,0.019413910806179047,0.879938006401062
sdm_fake_0006__phonefact_resample8k,0.0803360641002655,0.8790571093559265
sdm_fake_0008__phonefact_resample8k,0.07003839313983917,0.8478442430496216
sdm_fake_0010__phonefact_resample8k,0.06732875108718872,0.861656904220581
sdm_fake_0012__phonefact_resample8k,0.1216197982430458,0.9438043832778931
sdm_fake_0014__phonefact_resample8k,0.6173505187034607,0.9511213898658752
sdm_fake_0016__phonefact_resample8k,0.16232165694236755,0.8699604868888855
sdm_fake_0018__phonefact_resample8k,0.04393130913376808,0.8770366311073303
sdm_fake_0020__phonefact_resample8k,0.33691632747650146,0.9448867440223694
sdm_fake_0022__phonefact_resample8k,0.03438527137041092,0.9276371598243713
sdm_fake_0024__phonefact_resample8k,0.07622931152582169,0.8757201433181763
sdm_fake_0026__phonefact_resample8k,0.022732684388756752,0.8751622438430786
sdm_fake_0028__phonefact_resample8k,0.0203615203499794,0.8004792332649231
sdm_fake_0030__phonefact_resample8k,0.09096569567918777,0.9303687214851379
sdm_fake_0032__phonefact_resample8k,0.006913826335221529,0.8752058148384094
sdm_fake_0034__phonefact_resample8k,0.03731748089194298,0.7986582517623901
sdm_fake_0036__phonefact_resample8k,0.12840598821640015,0.9237037301063538
sdm_fake_0038__phonefact_resample8k,0.10217875242233276,0.8804891109466553
sdm_fake_0040__phonefact_resample8k,0.7202040553092957,0.9268526434898376
sdm_fake_0042__phonefact_resample8k,0.027643609791994095,0.7499123215675354
sdm_fake_0044__phonefact_resample8k,0.19557525217533112,0.9270681738853455
sdm_fake_0046__phonefact_resample8k,0.05804675072431564,0.7891248464584351
sdm_fake_0048__phonefact_resample8k,0.02460409142076969,0.8995345830917358
sdm_real_0000__phonefact_resample8k,0.010447487235069275,0.8365192413330078
sdm_real_0002__phonefact_resample8k,0.24259166419506073,0.8561281561851501
sdm_real_0004__phonefact_resample8k,0.043865762650966644,0.9193322658538818
sdm_real_0006__phonefact_resample8k,0.42826297879219055,0.9219993948936462
sdm_real_0008__phonefact_resample8k,0.20208585262298584,0.9344823360443115
sdm_real_0010__phonefact_resample8k,0.015443536452949047,0.8338322043418884
sdm_real_0012__phonefact_resample8k,0.21673643589019775,0.7212035059928894
sdm_real_0014__phonefact_resample8k,0.35347887873649597,0.9719423651695251
sdm_real_0016__phonefact_resample8k,0.008727433159947395,0.7315137982368469
sdm_real_0018__phonefact_resample8k,0.2318800389766693,0.9370436668395996
sdm_real_0020__phonefact_resample8k,0.009600864723324776,0.8828383088111877
sdm_real_0022__phonefact_resample8k,0.1981496661901474,0.8977726697921753
sdm_real_0024__phonefact_resample8k,0.008916951715946198,0.7956792712211609
sdm_real_0026__phonefact_resample8k,0.010476252064108849,0.9245189428329468
