EPOCH,LOSS,SELECTION,OVERALL_SELECTION,MEAN_ADS,WORST_ADS
0,0.716392009317875,0.706734693877551,0.7492121819052233,0.8121386495247325,0.6862857142857143
1,0.5519407776594162,0.743405612244898,0.7696483748405987,0.8316863600708078,0.7076103896103896
2,0.45104786902666094,0.7449702380952381,0.7615576348514213,0.8431152697028425,0.68
3,0.3919947950094938,0.7245386904761905,0.7688464436988238,0.836186393891154,0.7015064935064936
4,0.35923245003819465,0.7662074829931973,0.7886767262533978,0.8481846213379645,0.7291688311688311
5,0.33795955319702625,0.7598639455782312,0.7801308637664016,0.8572227664938421,0.7030389610389611
6,0.30495427852869034,0.7539115646258503,0.7833808897215511,0.8534371041184269,0.7133246753246754
7,0.2952779752314091,0.7814880952380953,0.7955752143528306,0.855903675458908,0.7352467532467533
8,0.2711110349744558,0.7586670918367346,0.802754494566722,0.865508989133444,0.74
9,0.25628519167006014,0.7773937074829932,0.8039073246480587,0.8584380259194939,0.7493766233766235
10,0.2513299789875746,0.7788669217687074,0.8056656367191433,0.8589936111006242,0.7523376623376623
11,0.23321809048950673,0.7620493197278911,0.7844996971899225,0.8587136800941306,0.7102857142857143
12,0.23455792671442033,0.7727125850340136,0.7985181229865097,0.8667245576613309,0.7303116883116884
