model,channel,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
cached_anchor,all,600,600,600,600,0.2333333333333333,0.20666666666666667,0.2533333333333333,,,0.766,,
cached_anchor,clean,120,120,120,120,0.09999999999999999,0.11666666666666668,0.11666666666666668,,,0.8916666666666666,,
cached_anchor,g711_ulaw,120,120,120,120,0.19999999999999998,0.09999999999999999,0.19999999999999998,,,0.8200000000000001,,
cached_anchor,g722_wb,120,120,120,120,0.16666666666666663,0.09999999999999999,0.08333333333333334,,,0.8716666666666666,,
cached_anchor,opus_nb_8k,120,120,120,120,0.33333333333333337,0.35,0.3666666666666667,,,0.6533333333333333,,
cached_anchor,transcode_g711_opus,120,120,120,120,0.30000000000000004,0.31666666666666665,0.4,,,0.6666666666666667,,
actual_anchor,all,600,600,600,600,0.2333333333333333,0.20333333333333337,0.2533333333333333,,,0.7666666666666666,,
actual_anchor,clean,120,120,120,120,0.09999999999999999,0.11666666666666668,0.11666666666666668,,,0.8916666666666666,,
actual_anchor,g711_ulaw,120,120,120,120,0.19999999999999998,0.09999999999999999,0.19999999999999998,,,0.8200000000000001,,
actual_anchor,g722_wb,120,120,120,120,0.16666666666666663,0.09999999999999999,0.08333333333333334,,,0.8716666666666666,,
actual_anchor,opus_nb_8k,120,120,120,120,0.33333333333333337,0.35,0.3833333333333333,,,0.6483333333333333,,
actual_anchor,transcode_g711_opus,120,120,120,120,0.30000000000000004,0.31666666666666665,0.4,,,0.6666666666666667,,
v73,all,600,600,600,600,0.1588888888888889,0.14,0.21333333333333337,,,0.8285555555555556,,
v73,clean,120,120,120,120,0.09999999999999999,0.06666666666666665,0.06666666666666665,,,0.9166666666666667,,
v73,g711_ulaw,120,120,120,120,0.09999999999999999,0.11666666666666668,0.11666666666666668,,,0.8916666666666666,,
v73,g722_wb,120,120,120,120,0.09999999999999999,0.08333333333333334,0.08333333333333334,,,0.9083333333333332,,
v73,opus_nb_8k,120,120,120,120,0.2388888888888889,0.21666666666666667,0.2833333333333333,,,0.7522222222222222,,
v73,transcode_g711_opus,120,120,120,120,0.30000000000000004,0.2333333333333333,0.33333333333333337,,,0.7033333333333333,,
