ID,voice_score,music_score,music_v3_score
factorial_0000,0.50725573,0.75971,0.0009735062
factorial_0007,0.29510432,0.22400042,0.0016162512
factorial_0014,0.015492377,0.8650336,0.00027761588
factorial_0021,0.020126523,0.99341595,0.013832289
factorial_0028,0.5912655,0.0029900896,1.8447269e-06
factorial_0035,0.5205342,0.04115435,0.054542985
factorial_0042,0.23265944,0.07158167,0.0005627544
factorial_0049,0.13029106,0.021418255,5.84638e-09
factorial_0056,0.5030507,0.9268,0.0025405202
factorial_0063,0.9858132,0.9790661,0.0036650526
factorial_0070,0.98919743,0.33791664,5.0027946e-05
factorial_0077,0.685411,0.9830872,0.681165
factorial_0084,0.57205325,0.0028566262,0.9114184
factorial_0091,0.0396712,0.050882205,0.0013137758
factorial_0098,0.61909944,0.8674504,0.07476879
factorial_0105,0.3390963,0.017865682,6.0981623e-05
factorial_0112,0.9008854,0.018227708,2.0592113e-06
factorial_0119,0.08550455,0.109049425,0.002040002
factorial_0126,0.32652727,0.2128702,0.028650016
factorial_0133,0.62113863,0.74543625,0.0070182495
factorial_0140,0.65746534,0.96794015,0.009920838
factorial_0147,0.40607855,0.74923104,2.6693238e-05
factorial_0154,0.1861827,0.012016121,0.018820297
factorial_0161,0.09661199,0.020398088,0.71375984
factorial_0168,0.17007479,0.24610814,0.00029792037
factorial_0175,0.583245,0.9865739,0.0035668449
factorial_0182,0.26405108,0.091070436,0.5824727
factorial_0189,0.29419693,0.24393904,0.007352179
factorial_0196,0.56748396,0.8032697,0.03764421
factorial_0203,0.3332892,0.20512451,0.022860955
factorial_0210,0.2923259,0.13137901,0.005010439
factorial_0217,0.4886128,0.02183957,4.0457457e-05
factorial_0224,0.10161282,0.5539853,0.0002146506
factorial_0231,0.927263,0.63479966,0.041907966
factorial_0238,0.39265355,0.05857821,0.011808006
factorial_0245,0.5047076,0.22085732,0.0018856776
factorial_0252,0.821368,0.22619587,0.00079832476
factorial_0259,0.9229047,0.055244688,0.00027383343
factorial_0266,0.17668074,0.0003808164,0.00042593712
factorial_0273,0.6855239,0.5575911,0.0034302527
factorial_0280,0.55548495,0.76709664,0.9938426
factorial_0287,0.6131178,0.94401586,0.88716817
factorial_0294,0.2728683,0.0025788748,0.08248645
factorial_0301,0.004015351,0.2704699,1.4021043e-05
factorial_0308,0.15686546,0.05220079,0.00016484101
factorial_0315,0.20823817,0.99759895,0.006281518
factorial_0322,0.14874184,0.056911997,0.24685718
factorial_0329,0.15870139,0.996988,0.1347904
factorial_0336,0.33692625,0.5427904,0.04400918
factorial_0343,0.73089886,0.977008,0.06265083
factorial_0350,0.08320779,0.03631614,0.00035738776
factorial_0357,0.82051545,0.6368681,0.25624838
factorial_0364,0.9354091,0.36913282,0.03954187
factorial_0371,0.30699465,0.09117058,0.0048798127
factorial_0378,0.9624778,0.11092129,0.038728733
factorial_0385,0.41413748,0.78494763,0.0032069178
factorial_0392,0.71111685,0.92120105,0.87461084
factorial_0399,0.30567208,0.9995871,0.9123938
factorial_0406,0.0015876482,0.9977253,0.00054010144
factorial_0413,0.008926693,0.5554421,0.00023813765
factorial_0420,0.055607133,0.7503186,0.005716809
factorial_0427,0.5130752,1.5030964e-06,0.9724113
factorial_0434,0.44373548,0.0003037494,0.00024511837
factorial_0441,0.028394695,0.057780437,1.0270922e-07
factorial_0448,0.3625651,0.9445882,0.0030638624
factorial_0455,0.7258923,0.9338646,0.00032590373
factorial_0462,0.9348118,0.99773467,0.186641
factorial_0469,0.9701834,0.24408776,1.7672046e-07
factorial_0476,0.67263,0.9999403,0.99999905
factorial_0483,0.7786317,0.00019107044,1.2603982e-06
factorial_0490,0.1754507,0.9788952,0.9935207
factorial_0497,0.14765126,0.99995196,0.060185093
factorial_0504,0.9476306,0.9462431,0.9927511
factorial_0511,0.3977166,1.8291687e-06,6.665415e-07
factorial_0518,0.22161435,1.7187818e-05,0.0005423666
factorial_0525,0.19355176,0.18903255,0.008376887
factorial_0532,0.18270959,0.23722526,0.8711141
factorial_0539,0.31164694,0.07783134,0.012416878
factorial_0546,0.2668076,0.9974976,0.0002930801
factorial_0553,0.45303592,0.16971494,0.07486004
factorial_0560,0.7981199,0.0006320803,0.0019394286
factorial_0567,0.08791535,1.096623e-05,0.0004148285
factorial_0574,0.1453662,0.5836304,0.00013987368
factorial_0581,0.48586494,0.4694829,0.0060149943
factorial_0588,0.27479088,0.984315,0.03532516
factorial_0595,0.54230845,0.7310308,0.0003746295
factorial_0602,0.050366435,0.051047675,0.00018577935
factorial_0609,0.138087,1.6305128e-06,0.0013483712
factorial_0616,0.6755934,0.4832566,8.996347e-07
factorial_0623,0.10603075,0.15850292,0.008645845
factorial_0630,0.27806285,0.99913615,0.0025206797
factorial_0637,0.4989621,0.9309093,0.10268541
factorial_0644,0.118738726,0.9913135,0.0012055628
factorial_0651,0.3573186,0.0023434623,0.0026780155
factorial_0658,0.12106939,0.07515721,0.0011599754
factorial_0665,0.7915608,2.3389882e-06,0.26039517
factorial_0672,0.8529028,0.6287846,0.032240666
factorial_0679,0.19320662,0.24138284,0.028055977
factorial_0686,0.583332,0.9726614,0.0150039485
factorial_0693,0.06545816,0.055556603,0.7748491
factorial_0700,0.032424834,0.13114338,0.001362116
factorial_0707,0.19322336,0.011300411,0.00045009502
