GROUP,VALUE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
ALL,ALL,1200,1200,1050,1050,0.29587878787878785,0.24190476190476193,0.340952380952381,0.9936190476190476,0.9945968253968254,0.7013939393939395,0.9941079365079365,0.7306653391053392
AUDIO_TYPE,mixed,900,900,900,900,0.31999999999999995,0.26,0.34444444444444444,,,0.6846666666666666,,
AUDIO_TYPE,music,150,150,0,150,0.31999999999999995,,0.33333333333333337,,,,,
AUDIO_TYPE,voice,150,150,150,0,0.10666666666666669,0.10666666666666669,,,,,,
SPLIT,dev,400,400,350,350,0.28,0.2571428571428571,0.31999999999999995,0.9962285714285715,0.993257142857143,0.7125714285714286,0.9947428571428572,0.7407885714285716
SPLIT,holdout,400,400,350,350,0.2894545454545454,0.23428571428571432,0.34285714285714286,0.9928,0.9989142857142856,0.7055584415584416,0.9958571428571428,0.7345883116883117
SPLIT,locked,400,400,350,350,0.3123636363636364,0.22285714285714286,0.3771428571428571,0.9902857142857142,0.9938857142857144,0.6861038961038961,0.9920857142857142,0.716702077922078
CHANNEL,clean_flac,199,199,174,175,0.2461392254692326,0.1839080459770115,0.31428011497256336,0.9993103448275862,0.9878571428571429,0.7458647435782124,0.9935837438423645,0.7706366436046277
CHANNEL,mp3_64k,200,200,175,175,0.26630749623450356,0.2857236154649948,0.3657262277951933,0.9885714285714285,0.9984,0.6999836604511913,0.9934857142857143,0.7293338658346437
CHANNEL,noisy_flac,200,200,175,175,0.2594670406732118,0.19429205851619646,0.3314393939393939,0.9958857142857144,0.9986285714285714,0.7319762497783366,0.9972571428571428,0.7585043390862173
CHANNEL,ogg_48k,201,201,176,175,0.31318430656934304,0.2727272727272727,0.3714397700548733,0.99,0.9997802197802197,0.6774304611534119,0.9948901098901098,0.7091764260270816
CHANNEL,stereo_wav,199,199,175,174,0.3015289449112979,0.2971525600835946,0.3045718816067653,0.9928571428571429,0.9965517241379311,0.6984334510456025,0.994704433497537,0.728060549290796
CHANNEL,telephone_flac,201,201,175,176,0.3689371083778139,0.2514367816091954,0.3579362004391063,0.9912087912087911,0.9820454545454544,0.6578632293575222,0.9866271228771228,0.6907396187094823
MIX_MODE,concurrent,300,300,300,300,0.4,0.3733333333333333,0.3533333333333334,,,0.6193333333333333,,
MIX_MODE,music_only,150,150,0,150,0.31999999999999995,,0.33333333333333337,,,,,
