KIND,PATH,ROWS,SHA256
source_hashes,data/eval/all_type_blind_v9/audio_hashes.csv,600,b15a0264c3a74f5fff63089ea8e0fa984bb36afd63b360992f6f0c055eff86bc
source_hashes,data/eval/all_type_blind_v9/source_hashes.csv,192,418405937e05ae5d5eeabcbe8892f732e7ea6927cff5f7136f56d4c12a7c8f6a
source_hashes,data/eval/codec_mixed_blind_v5/audio_hashes.csv,240,2786c8bd034db017e087a4f5af201ceda33af9b8982587db565b4be091710d43
source_hashes,data/eval/codec_mixed_blind_v5/source_hashes.csv,96,6bcd0149f2e6759ce0a15508f2dc00e4e30f1541a0f4bbe3e37ec2b8906d6ae9
source_hashes,data/eval/codec_mixed_blind_v6/audio_hashes.csv,240,9c19511b7afb27f09fd9c12c190fef5c2e370a2b2099d34cf0ca7404759718d7
source_hashes,data/eval/codec_mixed_blind_v6/source_hashes.csv,96,16867ac28e54341c864bcd939c74e76f2da9a0d90b5b62b11d5570a195c6fcbd
source_hashes,data/eval/codec_mixed_blind_v7/audio_hashes.csv,360,f2556161518081297c10855555446152e96e78c40479ee810c25c2448d21a35b
source_hashes,data/eval/codec_mixed_blind_v7/source_hashes.csv,144,f0d8a8d5b149c0fa19522287873ebf7aabfbfcd6c57fb97a28d7366f0bfc4d6b
source_hashes,data/eval/codec_mixed_blind_v8/audio_hashes.csv,360,25949e4ae5c8d8f05419cac154e53093720b507d14bad845e99b0c969fe58622
source_hashes,data/eval/codec_mixed_blind_v8/source_hashes.csv,162,2387799427fc65e59a2a1165368acd65b0a91933074d7520f52d674be84440db
source_hashes,data/eval/codec_mixed_dev_v4/audio_hashes.csv,600,69b07208e2ed7c6f0a0de4367a612190904956b5a958e081a353e4d4837fe341
source_hashes,data/eval/codec_mixed_dev_v4/source_hashes.csv,240,d421901c04baec6a34dae4e8a3e8a3c7b40c4f327bc2c478b1e550bda6893048
source_hashes,data/eval/long_component_stress_v70/audio_hashes.csv,2160,004364b30a461af211e2d664e2b4f0df04a1adaa194bec69145d7341f810b6bb
source_hashes,data/eval/long_voice_sparse_v61/audio_hashes.csv,2160,1e62a1f2b8fea4e47e49cf838d283d4845cdbd16229ab0f8f5553398271e5622
source_hashes,data/eval/long_voice_uniform_v61/audio_hashes.csv,720,b8b212bf2f1141e4a5559e20e306227a680263907642a1fde7e9a8933aacd847
