DATASET,COMPONENT_CASE,METHOD,N,MEAN_SCORE,MEDIAN_SCORE
codec_mixed_dev_v4,FF,ANCHOR,150,0.5310501,0.5726388
codec_mixed_dev_v4,FF,EXPERT,150,0.40547842,0.12261239
codec_mixed_dev_v4,FF,FUSED,150,0.50115705,0.49029195
codec_mixed_dev_v4,FR,ANCHOR,150,0.21799886,0.19417423
codec_mixed_dev_v4,FR,EXPERT,150,0.07529413,0.0014103585
codec_mixed_dev_v4,FR,FUSED,150,0.12388607,0.07771844
codec_mixed_dev_v4,RF,ANCHOR,150,0.55545,0.5771909
codec_mixed_dev_v4,RF,EXPERT,150,0.428355,0.19441456
codec_mixed_dev_v4,RF,FUSED,150,0.518103,0.47221607
codec_mixed_dev_v4,RR,ANCHOR,150,0.1991431,0.16470414
codec_mixed_dev_v4,RR,EXPERT,150,0.056628156,0.0012065897
codec_mixed_dev_v4,RR,FUSED,150,0.117022626,0.070538774
codec_mixed_blind_v5,FF,ANCHOR,60,0.63113254,0.6572295
codec_mixed_blind_v5,FF,EXPERT,60,0.42575958,0.1823698
codec_mixed_blind_v5,FF,FUSED,60,0.5638945,0.5573754
codec_mixed_blind_v5,FR,ANCHOR,60,0.28529173,0.24167961
codec_mixed_blind_v5,FR,EXPERT,60,0.107789904,0.009277916
codec_mixed_blind_v5,FR,FUSED,60,0.20184812,0.12137003
codec_mixed_blind_v5,RF,ANCHOR,60,0.63717836,0.660377
codec_mixed_blind_v5,RF,EXPERT,60,0.3763925,0.1746684
codec_mixed_blind_v5,RF,FUSED,60,0.554738,0.57281506
codec_mixed_blind_v5,RR,ANCHOR,60,0.30074134,0.29024786
codec_mixed_blind_v5,RR,EXPERT,60,0.12636954,0.01122261
codec_mixed_blind_v5,RR,FUSED,60,0.2038335,0.1550102
codec_mixed_blind_v6,FF,ANCHOR,60,0.6729155,0.80558056
codec_mixed_blind_v6,FF,EXPERT,60,0.39831036,0.11968109
codec_mixed_blind_v6,FF,FUSED,60,0.58967215,0.67796195
codec_mixed_blind_v6,FR,ANCHOR,60,0.2772952,0.24399062
codec_mixed_blind_v6,FR,EXPERT,60,0.05227114,0.0038244836
codec_mixed_blind_v6,FR,FUSED,60,0.16607141,0.11209409
codec_mixed_blind_v6,RF,ANCHOR,60,0.5727251,0.63649225
codec_mixed_blind_v6,RF,EXPERT,60,0.18987285,0.015906394
codec_mixed_blind_v6,RF,FUSED,60,0.4352028,0.40953946
codec_mixed_blind_v6,RR,ANCHOR,60,0.28654385,0.26801303
codec_mixed_blind_v6,RR,EXPERT,60,0.15387397,0.0028009268
codec_mixed_blind_v6,RR,FUSED,60,0.20447554,0.11035846
