CANDIDATE,DATASET,MUSIC_EER,MUSIC_SCORE,ROLE
anchor_w0,codec_mixed_blind_v5,0.19166666666666665,0.8083333333333333,retired_blind_nonselection
anchor_w0,codec_mixed_blind_v6,0.2583333333333333,0.7416666666666667,diagnostic_only_nonselection
seed20260904_w0.01,codec_mixed_blind_v5,0.19999999999999998,0.8,retired_blind_nonselection
seed20260904_w0.01,codec_mixed_blind_v6,0.2666666666666667,0.7333333333333333,diagnostic_only_nonselection
seed20260904_w0.025,codec_mixed_blind_v5,0.19999999999999998,0.8,retired_blind_nonselection
seed20260904_w0.025,codec_mixed_blind_v6,0.2583333333333333,0.7416666666666667,diagnostic_only_nonselection
seed20260904_w0.0375,codec_mixed_blind_v5,0.19999999999999998,0.8,retired_blind_nonselection
seed20260904_w0.0375,codec_mixed_blind_v6,0.2583333333333333,0.7416666666666667,diagnostic_only_nonselection
seed20260904_w0.05,codec_mixed_blind_v5,0.19999999999999998,0.8,retired_blind_nonselection
seed20260904_w0.05,codec_mixed_blind_v6,0.2583333333333333,0.7416666666666667,diagnostic_only_nonselection
seed20260904_w0.075,codec_mixed_blind_v5,0.21666666666666667,0.7833333333333333,retired_blind_nonselection
seed20260904_w0.075,codec_mixed_blind_v6,0.2583333333333333,0.7416666666666667,diagnostic_only_nonselection
seed20260904_w0.1,codec_mixed_blind_v5,0.22499999999999998,0.775,retired_blind_nonselection
seed20260904_w0.1,codec_mixed_blind_v6,0.2666666666666667,0.7333333333333333,diagnostic_only_nonselection
seed20260904_w0.15,codec_mixed_blind_v5,0.2333333333333333,0.7666666666666667,retired_blind_nonselection
seed20260904_w0.15,codec_mixed_blind_v6,0.2666666666666667,0.7333333333333333,diagnostic_only_nonselection
seed20260904_w0.2,codec_mixed_blind_v5,0.25,0.75,retired_blind_nonselection
seed20260904_w0.2,codec_mixed_blind_v6,0.2666666666666667,0.7333333333333333,diagnostic_only_nonselection
seed20260904_w1,codec_mixed_blind_v5,0.32499999999999996,0.675,retired_blind_nonselection
seed20260904_w1,codec_mixed_blind_v6,0.3416666666666667,0.6583333333333333,diagnostic_only_nonselection
seed20260905_w0.01,codec_mixed_blind_v5,0.19166666666666665,0.8083333333333333,retired_blind_nonselection
seed20260905_w0.01,codec_mixed_blind_v6,0.2583333333333333,0.7416666666666667,diagnostic_only_nonselection
seed20260905_w0.025,codec_mixed_blind_v5,0.19999999999999998,0.8,retired_blind_nonselection
seed20260905_w0.025,codec_mixed_blind_v6,0.2583333333333333,0.7416666666666667,diagnostic_only_nonselection
seed20260905_w0.0375,codec_mixed_blind_v5,0.20833333333333337,0.7916666666666666,retired_blind_nonselection
seed20260905_w0.0375,codec_mixed_blind_v6,0.2583333333333333,0.7416666666666667,diagnostic_only_nonselection
seed20260905_w0.05,codec_mixed_blind_v5,0.20833333333333337,0.7916666666666666,retired_blind_nonselection
seed20260905_w0.05,codec_mixed_blind_v6,0.2666666666666667,0.7333333333333333,diagnostic_only_nonselection
seed20260905_w0.075,codec_mixed_blind_v5,0.21666666666666667,0.7833333333333333,retired_blind_nonselection
seed20260905_w0.075,codec_mixed_blind_v6,0.2583333333333333,0.7416666666666667,diagnostic_only_nonselection
seed20260905_w0.1,codec_mixed_blind_v5,0.21666666666666667,0.7833333333333333,retired_blind_nonselection
seed20260905_w0.1,codec_mixed_blind_v6,0.2583333333333333,0.7416666666666667,diagnostic_only_nonselection
seed20260905_w0.15,codec_mixed_blind_v5,0.22499999999999998,0.775,retired_blind_nonselection
seed20260905_w0.15,codec_mixed_blind_v6,0.2666666666666667,0.7333333333333333,diagnostic_only_nonselection
seed20260905_w0.2,codec_mixed_blind_v5,0.25,0.75,retired_blind_nonselection
seed20260905_w0.2,codec_mixed_blind_v6,0.2666666666666667,0.7333333333333333,diagnostic_only_nonselection
seed20260905_w1,codec_mixed_blind_v5,0.3375,0.6625,retired_blind_nonselection
seed20260905_w1,codec_mixed_blind_v6,0.2666666666666667,0.7333333333333333,diagnostic_only_nonselection
