DATASET,TASK,MEMBER,MEAN,STD,MIN,MAX
factorial_eval_1200_v2_holdout,VOICE,0,0.20439216,0.04233587,0.18751279,0.43740225
factorial_eval_1200_v2_holdout,VOICE,1,0.25320327,0.08287824,0.18751284,0.4374071
factorial_eval_1200_v2_holdout,VOICE,2,0.20399986,0.04476307,0.18751037,0.43739694
factorial_eval_1200_v2_holdout,VOICE,3,0.33840474,0.08882817,0.18752277,0.4374256
factorial_eval_1200_v2_holdout,MUSIC,0,0.21521866,0.044857714,0.18751262,0.42506588
factorial_eval_1200_v2_holdout,MUSIC,1,0.256597,0.07708248,0.18751259,0.43740377
factorial_eval_1200_v2_holdout,MUSIC,2,0.19626984,0.025568552,0.18751052,0.42491603
factorial_eval_1200_v2_holdout,MUSIC,3,0.3319145,0.075361304,0.18753028,0.43742704
factorial_eval_1200_v2_holdout,FILE,0,0.22115509,0.052480746,0.18751292,0.43729466
factorial_eval_1200_v2_holdout,FILE,1,0.24874134,0.08761321,0.1875113,0.4374103
factorial_eval_1200_v2_holdout,FILE,2,0.21433531,0.049703564,0.18751343,0.43740857
factorial_eval_1200_v2_holdout,FILE,3,0.31576824,0.08735986,0.18752803,0.4374292
phone_factorial_1200_v1,VOICE,0,0.20114583,0.02749944,0.18751234,0.43653584
phone_factorial_1200_v1,VOICE,1,0.23034577,0.06504906,0.18751025,0.43740734
phone_factorial_1200_v1,VOICE,2,0.22614288,0.058647957,0.18751016,0.4373659
phone_factorial_1200_v1,VOICE,3,0.34236553,0.075202316,0.18752606,0.4374206
phone_factorial_1200_v1,MUSIC,0,0.22225462,0.054127842,0.18751232,0.4368747
phone_factorial_1200_v1,MUSIC,1,0.25018638,0.08248722,0.18751863,0.43741184
phone_factorial_1200_v1,MUSIC,2,0.21139635,0.038558833,0.18751405,0.4369359
phone_factorial_1200_v1,MUSIC,3,0.31616268,0.07892539,0.18751895,0.43742278
phone_factorial_1200_v1,FILE,0,0.22626266,0.041150764,0.18751262,0.4370288
phone_factorial_1200_v1,FILE,1,0.23212367,0.07116832,0.18751012,0.43741208
phone_factorial_1200_v1,FILE,2,0.24385186,0.05433899,0.18751389,0.4373932
phone_factorial_1200_v1,FILE,3,0.2977618,0.058696054,0.18751639,0.43742236
yue_cross_component_audit_v1,VOICE,0,0.19860883,0.03419857,0.18751219,0.4337024
yue_cross_component_audit_v1,VOICE,1,0.25132763,0.08522136,0.18751988,0.43739784
yue_cross_component_audit_v1,VOICE,2,0.20558405,0.046961892,0.1875138,0.4373995
yue_cross_component_audit_v1,VOICE,3,0.3444795,0.09197419,0.1875318,0.43741903
yue_cross_component_audit_v1,MUSIC,0,0.22187027,0.046026513,0.18751225,0.38035476
yue_cross_component_audit_v1,MUSIC,1,0.24547355,0.07907784,0.1875173,0.43738478
yue_cross_component_audit_v1,MUSIC,2,0.19790143,0.025360277,0.18751125,0.27358714
yue_cross_component_audit_v1,MUSIC,3,0.33475477,0.078622915,0.18753424,0.43742532
yue_cross_component_audit_v1,FILE,0,0.2253538,0.048288304,0.1875125,0.43729818
yue_cross_component_audit_v1,FILE,1,0.24717894,0.08783532,0.18751635,0.4374061
yue_cross_component_audit_v1,FILE,2,0.22035484,0.052509192,0.18751295,0.43741193
yue_cross_component_audit_v1,FILE,3,0.3071124,0.081997976,0.18752843,0.43742788
