MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_LABEL,MUSIC_ARCHIVE_MEMBER,AUDIO_SHA256,PANNS_VOCAL_MAX,PANNS_SPEECH_MAX,PANNS_ANY_VOICE_MAX,PANNS_SINGING,PANNS_MALE_SINGING,PANNS_FEMALE_SINGING,PANNS_CHILD_SINGING,PANNS_SYNTHETIC_SINGING,PANNS_CHOIR,PANNS_YODELING,PANNS_CHANT,PANNS_RAPPING,PANNS_HUMMING,PANNS_OPERA,PANNS_VOCAL_MUSIC,DEMUCS_VOCAL_TO_MIX_DB,DEMUCS_VOCAL_TO_RESIDUAL_DB,PANNS_THRESHOLD,PANNS_FLAG,DEMUCS_THRESHOLD_DB,DEMUCS_FLAG,ACOUSTIC_SCREEN_PASS
081358,fma:81358,FMA,0,unmixed_dataset/eval/RM_081_081358.wav,86c1e34cded41db6862a9bc50516e76e28ade37e88dc358d9beba7cd08c914ee,0.37955498695373535,0.04723277688026428,0.37955498695373535,0.37955498695373535,0.044177934527397156,0.12953926622867584,0.020507309585809708,0.011787448078393936,0.009814237244427204,0.031770166009664536,0.011591203510761261,0.0005247716326266527,0.2462129145860672,0.004288582596927881,0.0418706089258194,-3.121365091024276,-0.03618228702241598,0.2,True,-1.5,False,False
132134,fma:132134,FMA,0,unmixed_dataset/eval/RM_132_132134.wav,68526e040c0b454612bb1f2187b748891447ff2dc1a3ff4188e8a0e430e31582,0.004245236050337553,0.03218427300453186,0.03218427300453186,0.004245236050337553,0.00033397594233974814,0.0004003793583251536,0.0007884090300649405,0.00034508766839280725,0.0005966483149677515,0.00012054763647029176,0.00024173657584469765,0.0005586684565059841,0.0003372428473085165,0.00027821896946989,0.0005388940335251391,-39.32188886089024,-39.54855237539385,0.2,False,-1.5,False,True
080793,fma:80793,FMA,0,unmixed_dataset/eval/RM_080_080793.wav,9fb019a16af27fe1c2b5b77a40f6e90a34d558993e6cc9b4cf5689895be02241,0.005300695542246103,0.0529484897851944,0.0529484897851944,0.005300695542246103,0.00041614208021201193,0.0007434860453940928,0.00021107334760017693,0.00024284796381834894,0.0007990660960786045,5.224618871579878e-05,0.0008400055812671781,0.0012265769764780998,0.001952884253114462,0.00032014594762586057,0.0014187820488587022,-11.574431466812227,-11.084470215849604,0.2,False,-1.5,False,True
016210,fma:16210,FMA,0,unmixed_dataset/eval/RM_016_016210.wav,8e7116da16db65481d592798b9d19bc02428ba8449b14970823fc11f08f5ed55,0.07246918231248856,0.1309000700712204,0.1309000700712204,0.07246918231248856,0.003054980654269457,0.0007417899905703962,0.0002038463717326522,0.0003891031665261835,0.0049297683872282505,0.00026679207803681493,0.002235871274024248,0.00040951906703412533,0.0003100217436440289,0.0014595759566873312,0.003141110995784402,-8.746443540492884,-7.509113341532992,0.2,False,-1.5,False,True
134754,fma:134754,FMA,0,unmixed_dataset/eval/RM_134_134754.wav,901523a08934ed836408fa2ae04fa5f49109e4c76d5c651a4e09b2d3f73568c8,0.14043556153774261,0.12722359597682953,0.14043556153774261,0.021217381581664085,0.0010007780510932207,0.0007111676386557519,0.0002842072572093457,0.0002011834440054372,0.00075058318907395,0.00014789514534641057,0.003798785852268338,0.14043556153774261,0.0016434650169685483,0.00030812883051112294,0.001857428578659892,-14.183395962404965,-13.845344940147584,0.2,False,-1.5,False,True
153335,fma:153335,FMA,0,unmixed_dataset/eval/RM_153_153335.wav,2434e2691772fe0f3cb8850ffaafa4c42456d64e637b57317f1d73794fafb0a5,0.3210943937301636,0.32229599356651306,0.32229599356651306,0.054187219589948654,0.003167165210470557,0.0013933702139183879,0.0014185557374730706,0.0011798633495345712,0.0027382296975702047,0.0007356537971645594,0.005319337826222181,0.3210943937301636,0.0008768075495027006,0.0010214613284915686,0.010864184238016605,-7.68981766916478,-6.688129257648882,0.2,True,-1.5,False,False
FM_mustango_JpMHnsdsCiY,fmc:JpMHnsdsCiY,mustango,1,unmixed_dataset/eval/FM_mustango_JpMHnsdsCiY.wav,f9656af93a940a7ec0f27b6c13069e93152a16694c1ad2eb2b480bccab7c95dc,0.017991099506616592,0.03816414624452591,0.03816414624452591,0.017991099506616592,0.00036907714093104005,0.0003147423849441111,0.00012123781198170036,0.00023250540834851563,0.0007424084469676018,8.222588076023385e-05,0.00014058785745874047,0.00045407089055515826,0.00021062040468677878,0.00028902251506224275,0.0005884273559786379,-51.69301535312074,-51.397349671280644,0.2,False,-1.5,False,True
FM_stable_audio_open_YyYEzAY2e2I,fmc:YyYEzAY2e2I,stable_audio_open,1,unmixed_dataset/eval/FM_stable_audio_open_YyYEzAY2e2I.wav,0042c824a9e7cd7e985bd44f82288f23f94b005917acfab283f49b515d7fc993,0.046462129801511765,0.044315386563539505,0.046462129801511765,0.046462129801511765,0.006354863289743662,0.004237565211951733,0.0028037477750331163,0.01686808280646801,0.001680060988292098,0.0010913891019299626,0.005472525488585234,0.0008997173281386495,0.010235676541924477,0.0003796075761783868,0.010564017109572887,-8.107165726919149,-7.1255092521983165,0.2,False,-1.5,False,True
FM_audioldm2_fjxD32KIHgE,fmc:fjxD32KIHgE,audioldm2,1,unmixed_dataset/eval/FM_audioldm2_fjxD32KIHgE.wav,51531d10e86c0ced75d24aef4d90060097af90d840d7172cf7f1a9dc30b00e54,0.006109792739152908,0.03946889564394951,0.03946889564394951,0.006109792739152908,0.0004436383896972984,0.0007000173209235072,0.0005175831611268222,0.0003784206637647003,0.0007488623959943652,2.7843425414175726e-05,0.0009680686052888632,0.00029123396961949766,0.00014251418178901076,0.00018218549666926265,0.001026383601129055,-50.099116855372756,-49.94659571845759,0.2,False,-1.5,False,True
FM_MusicGen_medium_a4jcJ7QZ-OQ,fmc:a4jcJ7QZ-OQ,MusicGen_medium,1,unmixed_dataset/eval/FM_MusicGen_medium_a4jcJ7QZ-OQ.wav,bc76582a8fad2cbd0105d8d3b8dc3fedd934a7e3a7b6f245d4ec6f148eaec306,0.009597511030733585,0.022774560377001762,0.022774560377001762,0.009597511030733585,0.00028089198167435825,0.0007684280280955136,0.00041859151679091156,0.00029743905179202557,0.0007501470390707254,0.00036785966949537396,9.873278031591326e-05,0.0001266740873688832,0.0004579017695505172,0.0012668534182012081,0.00046403054147958755,-56.70765497674686,-56.70045805894567,0.2,False,-1.5,False,True
FM_musicldm_IUjzBX2Qm4k,fmc:IUjzBX2Qm4k,musicldm,1,unmixed_dataset/eval/FM_musicldm_IUjzBX2Qm4k.wav,f99ec00f3a2ea551ecd2bf43f5673f4eb264d98cdcc5605c54a0ad76efaba038,0.006309612188488245,0.04563175514340401,0.04563175514340401,0.006309612188488245,0.000711914268322289,0.0006680618389509618,0.00047801833716221154,0.0004932454321533442,0.0010518223280087113,5.773681914433837e-05,0.0006374976946972311,0.0005307239480316639,0.0008835542248561978,0.00038412160938605666,0.000595099525526166,-43.93312789276124,-43.51475703776518,0.2,False,-1.5,False,True
FM_mustango_4yJZ4VX8XQI,fmc:4yJZ4VX8XQI,mustango,1,unmixed_dataset/eval/FM_mustango_4yJZ4VX8XQI.wav,df15c5893cf0047cadd7be513e409f694119ec8480c9124ed45103be73ea2f6c,0.004921116400510073,0.021213073283433914,0.021213073283433914,0.004921116400510073,0.00024013702932279557,0.0003999747568741441,0.0001964973344001919,0.00011637642455752939,0.001467991154640913,4.776625064550899e-05,0.0022159384097903967,0.0002724879886955023,0.0008781160577200353,0.0003358207468409091,0.0013427581870928407,-42.96315823541751,-42.94268563755634,0.2,False,-1.5,False,True
082687,fma:82687,FMA,0,unmixed_dataset/eval/RM_082_082687.wav,85f60ce4fce4d5dc5d42af52c5b9f31b2066f0cea0b6f08fdbedc115f31e66f7,0.2541753649711609,0.2730046510696411,0.2730046510696411,0.2541753649711609,0.013476310297846794,0.002249141689389944,0.000642492261249572,0.002703498350456357,0.0030618358869105577,0.00280954921618104,0.0015002127038314939,0.0018252566223964095,0.000411207671277225,0.0013110308209434152,0.003923181444406509,-1.4661022250605162,6.540252659399074,0.2,True,-1.5,True,False
084790,fma:84790,FMA,0,unmixed_dataset/eval/RM_084_084790.wav,e09fed235751827b748f751d86be4516a480461917f2576a128ae214195abb72,0.14893950521945953,0.1803896129131317,0.1803896129131317,0.14893950521945953,0.006037572864443064,0.0032396474853157997,0.0009522970067337155,0.0014569249469786882,0.0017248883377760649,0.0006434255628846586,0.0005950703052803874,0.0006851418875157833,0.000698184478096664,0.0016782009042799473,0.001581611461006105,-15.048158888480462,-14.764944286437858,0.2,False,-1.5,False,True
121278,fma:121278,FMA,0,unmixed_dataset/eval/RM_121_121278.wav,404d492a18f052e31c5904cc65fb84df9bf7561b51e13d719d7adf8e602708dd,0.01112133078277111,0.09181921184062958,0.09181921184062958,0.01112133078277111,0.0010622360277920961,0.0018517350545153022,0.0008230507373809814,0.0020670590456575155,0.001712804427370429,0.00017058529192581773,0.0010752667440101504,0.0003449872019700706,0.0005125759053044021,0.00036287051625549793,0.0007353071705438197,-12.288890160920094,-11.649455767823568,0.2,False,-1.5,False,True
108533,fma:108533,FMA,0,unmixed_dataset/eval/RM_108_108533.wav,7d457094223a7dd689a10324089b32a7c745d2a1668c07e05d02741048a706aa,0.006104157771915197,0.0345800407230854,0.0345800407230854,0.006104157771915197,0.0011025350540876389,0.0010185809805989265,0.0005804072134196758,0.0012994521530345082,0.0006914571858942509,0.00017592631047591567,0.0003791047492995858,0.0015649921260774136,0.00040002702735364437,0.0002933213545475155,0.0022358065471053123,-23.502391059281518,-23.47052700237391,0.2,False,-1.5,False,True
093518,fma:93518,FMA,0,unmixed_dataset/eval/RM_093_093518.wav,e8f66bb118e3cf5cfa4cf95f1d7813dc3152bd99926aded314ccb2c5b5887100,0.011430827900767326,0.05458114296197891,0.05458114296197891,0.011430827900767326,0.000883507018443197,0.0018125760834664106,0.0019818583969026804,0.0007363439071923494,0.0012996545992791653,0.0002666969958227128,0.0033880360424518585,0.00031049357494339347,0.008742578327655792,0.001549181411974132,0.0033598339650779963,-29.34143253103883,-29.1533596308533,0.2,False,-1.5,False,True
116754,fma:116754,FMA,0,unmixed_dataset/eval/RM_116_116754.wav,57c2b14e17ebd53ce9beb64610c3fc775ca4629aa825ba2b4bc3577355e56b12,0.0027417149394750595,0.03386477008461952,0.03386477008461952,0.0027417149394750595,0.0003114933497272432,0.00013602011313196272,5.722867354052141e-05,9.256736666429788e-05,0.00022148499556351453,1.82550102181267e-05,0.000876041769515723,0.00038864495581947267,0.000370353227481246,0.0002749040722846985,0.0008771890425123274,-59.172213821992145,-59.01337392929445,0.2,False,-1.5,False,True
FM_stable_audio_open_JL9Xxzf9e2A,fmc:JL9Xxzf9e2A,stable_audio_open,1,unmixed_dataset/eval/FM_stable_audio_open_JL9Xxzf9e2A.wav,931bdf6d59d0d666a12ce2b05827b72d67bf19ade035c9384332848612615e7b,0.004117156844586134,0.03048788011074066,0.03048788011074066,0.004117156844586134,0.0003025761980097741,0.00025738112162798643,0.00013262470019981265,0.0003391229547560215,0.00030391276231966913,5.0374259444652125e-05,0.00020625544129870832,0.0005960716516710818,7.250032649608329e-05,0.00011395122419344261,0.000524039613083005,-55.87985589124897,-55.81044343257088,0.2,False,-1.5,False,True
