BASE_ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,VOICE_SOURCE_KIND,VOICE_SOURCE_ID,VOICE_SPEAKER,VOICE_CONTENT_ID,VOICE_REFERENCE_ID,VOICE_REFERENCE_SPEAKER,VOICE_GENERATOR,VOICE_ARCHIVE_ID,VOICE_ARCHIVE_MEMBER,VOICE_PARQUET_SHARD,REPLAY_PLAYER,REPLAY_RECORDER,REPLAY_DISTANCE,MUSIC_SOURCE_KIND,MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_PLATFORM,MUSIC_ARCHIVE_ID,MUSIC_ARCHIVE_MEMBER,SONICS_ORIGINAL_ARCHIVE_MEMBER,MUSIC_VOCAL_SCREEN,SNR_DB,OVERLAP_FRACTION,ORDER,GAP_SECONDS,SOURCE_DATASET,PROVENANCE_MODE
cmbv8_0000,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,echofake_real,echofake:EF_O_01993,bf643b955f123ef9dcc5e7c5804e9ec6d78907606599bca2e87ca324efef958f062de6d6ce22da7bd9ee4750da72096b7345f65f52343424dbd981244ff8a1f3,common_voice_en_24544614.mp3,,,bonafide,EF_O_01993,echofake_voice/EF_O_01993.flac,open_set_eval-00000-of-00003.parquet,,,,fma_instrumental,046727,fma:46727,FMA,FMA,RM_046_046727,unmixed_dataset/eval/RM_046_046727.wav,,panns_demucs_joint_semantic_pass_v8,0,1.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_existing_truth_source_speaker_song_hash_disjoint
cmbv8_0001,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,echofake_real,echofake:EF_O_00296,b9d5b4440171f27c8828d397e4c5f884fb9711f1578560530cde5b071a4ea9f6ad48c5440d615a01787845135dc029b39a90d3dab7dae653a145c18a993195a0,common_voice_en_19716026.mp3,,,bonafide,EF_O_00296,echofake_voice/EF_O_00296.flac,open_set_eval-00000-of-00003.parquet,,,,fma_instrumental,082319,fma:82319,FMA,FMA,RM_082_082319,unmixed_dataset/eval/RM_082_082319.wav,,panns_demucs_joint_semantic_pass_v8,-10,1.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_existing_truth_source_speaker_song_hash_disjoint
cmbv8_0002,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,echofake_real,echofake:EF_O_00787,45acba30df55b96c38c068fb1dee07547cc851b367b448349d64b9bb644134a4f0a243f38f7a4944d7b161e048fe7a596617e10e154397f4c197ebdb43e7bd95,common_voice_en_20565135.mp3,,,bonafide,EF_O_00787,echofake_voice/EF_O_00787.flac,open_set_eval-00000-of-00003.parquet,,,,fma_instrumental,035946,fma:35946,FMA,FMA,RM_035_035946,unmixed_dataset/eval/RM_035_035946.wav,,panns_demucs_joint_semantic_pass_v8,-10,1.0,music_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_existing_truth_source_speaker_song_hash_disjoint
cmbv8_0003,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,echofake_real,echofake:EF_O_02195,6982271311c90e9d501c7aace2c5604633fb7263a0fbebf4a824a4283c97a2b1235f0f58132d7310aa4fd2a3e1bd87fc9cbd1ae0b8e3a364a7240a1b5e34434b,common_voice_en_35299910.mp3,,,bonafide,EF_O_02195,echofake_voice/EF_O_02195.flac,open_set_eval-00000-of-00003.parquet,,,,fma_instrumental,004791,fma:4791,FMA,FMA,RM_004_004791,unmixed_dataset/eval/RM_004_004791.wav,,panns_demucs_joint_semantic_pass_v8,10,1.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_existing_truth_source_speaker_song_hash_disjoint
cmbv8_0004,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,echofake_real,echofake:EF_O_04731,5cd95c7c22c6fd21f386f93b700187d1559ab9a63eab1b44b4af4717e61bee61dbf54a0de0d35e3014a441bc557f5a0a4d36ad4e3a815d4bd3c395c9e98daade,common_voice_en_22955456.mp3,,,bonafide,EF_O_04731,echofake_voice/EF_O_04731.flac,open_set_eval-00000-of-00003.parquet,,,,fma_instrumental,118737,fma:118737,FMA,FMA,RM_118_118737,unmixed_dataset/eval/RM_118_118737.wav,,panns_demucs_joint_semantic_pass_v8,0,1.0,music_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_existing_truth_source_speaker_song_hash_disjoint
cmbv8_0005,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,echofake_real,echofake:EF_O_00415,ef64809c791f1093961f9affea0ce52fffd208cc7b879f1be4b71f121271e0bde5de5fbbbb8b59834a46aa3730a60f50db796a0aaeca858b9c6868a14bd129db,common_voice_en_691304.mp3,,,bonafide,EF_O_00415,echofake_voice/EF_O_00415.flac,open_set_eval-00000-of-00003.parquet,,,,fma_instrumental,114070,fma:114070,FMA,FMA,RM_114_114070,unmixed_dataset/eval/RM_114_114070.wav,,panns_demucs_joint_semantic_pass_v8,-5,1.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_existing_truth_source_speaker_song_hash_disjoint
cmbv8_0006,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,echofake_real,echofake:EF_O_00894,7eed5f51546fae2080038817562ce164fb250e58a35777aaec15c4cd65efd78e3a163058774b4971bb74c4ff263568e0365813490f870717775f5ab46275d0a0,common_voice_en_19725768.mp3,,,bonafide,EF_O_00894,echofake_voice/EF_O_00894.flac,open_set_eval-00000-of-00003.parquet,,,,fakemusiccaps_instrumental,FM_stable_audio_open_ZV_ZbmjPpkw,fmc:ZV_ZbmjPpkw,stable_audio_open,FakeMusicCaps,FM_stable_audio_open_ZV_ZbmjPpkw,unmixed_dataset/eval/FM_stable_audio_open_ZV_ZbmjPpkw.wav,,panns_demucs_joint_semantic_pass_v8,10,1.0,music_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_existing_truth_source_speaker_song_hash_disjoint
cmbv8_0007,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,echofake_real,echofake:EF_O_05287,3eb15c919d9e440c34ca640c93bc482bb60ca469fd1a5974ef78798440da6d0e22d9fd64b2da4bc89a5e7d617623a74738a3baaaaec199ae51103a163e3f7f10,common_voice_en_26232857.mp3,,,bonafide,EF_O_05287,echofake_voice/EF_O_05287.flac,open_set_eval-00000-of-00003.parquet,,,,fakemusiccaps_instrumental,FM_MusicGen_medium_BI8YQ3ueD24,fmc:BI8YQ3ueD24,MusicGen_medium,FakeMusicCaps,FM_MusicGen_medium_BI8YQ3ueD24,unmixed_dataset/eval/FM_MusicGen_medium_BI8YQ3ueD24.wav,,panns_demucs_joint_semantic_pass_v8,-5,1.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_existing_truth_source_speaker_song_hash_disjoint
cmbv8_0008,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,echofake_real,echofake:EF_O_02856,7d1210bbc425803e523182b373ac66a24bd547140d22a7dbe8c0b111088e439c5496d3e076aad69c68731b9bf73f146fa2214d18b3b9f752ecd0d1ad533d3a6b,common_voice_en_20588768.mp3,,,bonafide,EF_O_02856,echofake_voice/EF_O_02856.flac,open_set_eval-00000-of-00003.parquet,,,,fakemusiccaps_instrumental,FM_musicldm_YAYp2E5vMNw,fmc:YAYp2E5vMNw,musicldm,FakeMusicCaps,FM_musicldm_YAYp2E5vMNw,unmixed_dataset/eval/FM_musicldm_YAYp2E5vMNw.wav,,panns_demucs_joint_semantic_pass_v8,5,1.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_existing_truth_source_speaker_song_hash_disjoint
cmbv8_0009,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,echofake_real,echofake:EF_O_02145,adef2dd49a1fc71a65fe7ce65bbf0bf04f19728e776be78b28a3c6707bd07363d627c5ee97daabb0d48c7c7e8fa67ff6439ae13e2fb6c509ed9cb8a22fe78507,common_voice_en_25072757.mp3,,,bonafide,EF_O_02145,echofake_voice/EF_O_02145.flac,open_set_eval-00000-of-00003.parquet,,,,fakemusiccaps_instrumental,FM_audioldm2_kYrJadZmjm0,fmc:kYrJadZmjm0,audioldm2,FakeMusicCaps,FM_audioldm2_kYrJadZmjm0,unmixed_dataset/eval/FM_audioldm2_kYrJadZmjm0.wav,,panns_demucs_joint_semantic_pass_v8,-10,1.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_existing_truth_source_speaker_song_hash_disjoint
