AXIS,GROUP,N_ANCHOR,FILE_N_ANCHOR,FILE_EER_ANCHOR,VOICE_N_ANCHOR,VOICE_EER_ANCHOR,MUSIC_N_ANCHOR,MUSIC_EER_ANCHOR,AVAILABLE_ADS_ANCHOR,VOICE_PRESENCE_AUC_ANCHOR,MUSIC_PRESENCE_AUC_ANCHOR,CPS_ANCHOR,N_CANDIDATE,FILE_N_CANDIDATE,FILE_EER_CANDIDATE,VOICE_N_CANDIDATE,VOICE_EER_CANDIDATE,MUSIC_N_CANDIDATE,MUSIC_EER_CANDIDATE,AVAILABLE_ADS_CANDIDATE,VOICE_PRESENCE_AUC_CANDIDATE,MUSIC_PRESENCE_AUC_CANDIDATE,CPS_CANDIDATE,ADS_DELTA
CHANNEL,clean,120,120,0.16666666666666663,96,0.22916666666666663,96,0.10416666666666666,0.8395833333333333,0.9904513888888888,1.0,0.9952256944444444,120,120,0.16666666666666663,96,0.22916666666666663,96,0.125,0.8333333333333333,0.9904513888888888,1.0,0.9952256944444444,-0.006250000000000089
CHANNEL,g711_ulaw,120,120,0.16666666666666663,96,0.16666666666666663,96,0.27083333333333337,0.8020833333333334,0.994357638888889,0.9986979166666666,0.9965277777777778,120,120,0.16666666666666663,96,0.16666666666666663,96,0.22916666666666663,0.8145833333333334,0.994357638888889,0.9986979166666666,0.9965277777777778,0.012500000000000067
CHANNEL,g722_wb,120,120,0.19139194139194138,96,0.25,96,0.1875,0.7980540293040294,0.9904513888888888,1.0,0.9952256944444444,120,120,0.19139194139194138,96,0.25,96,0.14583333333333337,0.8105540293040293,0.9904513888888888,1.0,0.9952256944444444,0.012499999999999956
CHANNEL,opus_nb_8k,120,120,0.358058608058608,96,0.33333333333333337,96,0.33333333333333337,0.6543040293040293,0.9956597222222223,0.9986979166666666,0.9971788194444444,120,120,0.358058608058608,96,0.33333333333333337,96,0.29166666666666663,0.6668040293040294,0.9956597222222223,0.9986979166666666,0.9971788194444444,0.012500000000000067
CHANNEL,transcode_g711_opus,120,120,0.3086080586080586,96,0.375,96,0.33333333333333337,0.6706959706959706,0.99609375,0.998263888888889,0.9971788194444444,120,120,0.3086080586080586,96,0.375,96,0.3125,0.6769459706959706,0.99609375,0.998263888888889,0.9971788194444444,0.006249999999999978
PHONE,clean,120,120,0.16666666666666663,96,0.22916666666666663,96,0.10416666666666666,0.8395833333333333,0.9904513888888888,1.0,0.9952256944444444,120,120,0.16666666666666663,96,0.22916666666666663,96,0.125,0.8333333333333333,0.9904513888888888,1.0,0.9952256944444444,-0.006250000000000089
PHONE,phone,480,480,0.2685439560439561,384,0.31770833333333337,384,0.28125,0.7178113553113552,0.9941677517361112,0.9988878038194444,0.9965277777777778,480,480,0.2685439560439561,384,0.31770833333333337,384,0.28125,0.7178113553113552,0.9941677517361112,0.9988878038194444,0.9965277777777778,0.0
AUDIO_TYPE,mixed,360,360,0.28888888888888886,360,0.30000000000000004,360,0.26111111111111107,0.7172222222222222,,,,360,360,0.28888888888888886,360,0.30000000000000004,360,0.25,0.7205555555555555,,,,0.0033333333333332993
AUDIO_TYPE,music_only,120,120,0.2666666666666667,0,,120,0.25,0.7395833333333331,,,,120,120,0.2666666666666667,0,,120,0.2833333333333333,0.7270833333333333,,,,-0.012499999999999845
AUDIO_TYPE,voice_only,120,120,0.16666666666666663,120,0.2833333333333333,0,,0.8000000000000002,,,,120,120,0.16666666666666663,120,0.2833333333333333,0,,0.8000000000000002,,,,0.0
MIX_MODE,concurrent,120,120,0.33333333333333337,120,0.31666666666666665,120,0.19999999999999998,0.71,,,,120,120,0.33333333333333337,120,0.31666666666666665,120,0.19999999999999998,0.71,,,,0.0
MIX_MODE,music_only,120,120,0.2666666666666667,0,,120,0.25,0.7395833333333331,,,,120,120,0.2666666666666667,0,,120,0.2833333333333333,0.7270833333333333,,,,-0.012499999999999845
MIX_MODE,partial_overlap,120,120,0.2666666666666667,120,0.2666666666666667,120,0.2833333333333333,0.7283333333333333,,,,120,120,0.2666666666666667,120,0.2666666666666667,120,0.21666666666666667,0.7483333333333333,,,,0.020000000000000018
MIX_MODE,sequential,120,120,0.2333333333333333,120,0.2833333333333333,120,0.25,0.7516666666666667,,,,120,120,0.2333333333333333,120,0.2833333333333333,120,0.31666666666666665,0.7316666666666667,,,,-0.020000000000000018
MIX_MODE,voice_only,120,120,0.16666666666666663,120,0.2833333333333333,0,,0.8000000000000002,,,,120,120,0.16666666666666663,120,0.2833333333333333,0,,0.8000000000000002,,,,0.0
