DATASET,WEIGHT,N,FILE_EER,VOICE_EER,MUSIC_EER,ADS
competition_v2,0.0,1200,0.16329966329966333,0.0362401370804732,0.36444229529335914,0.801769452346066
competition_v2,0.05,1200,0.16085858585858587,0.0362401370804732,0.3573996925060755,0.8051027719027898
competition_v2,0.1,1200,0.15749158249158252,0.0362401370804732,0.35387839111243363,0.807842664004384
competition_v2,0.2,1200,0.1483164983164983,0.0362401370804732,0.34331448693150823,0.8155993773462038
competition_v2,0.3,1200,0.14663299663299662,0.0362401370804732,0.35035708971879187,0.8143283473517695
competition_v3,0.0,1200,0.07079124579124577,0.07333333333333335,0.08095238095238097,0.9256519961519961
competition_v3,0.05,1200,0.06835016835016838,0.07333333333333335,0.08333333333333334,0.9261582491582492
competition_v3,0.1,1200,0.06329966329966327,0.07333333333333335,0.08571428571428573,0.9279692159692159
competition_v3,0.2,1200,0.06329966329966327,0.07333333333333335,0.10952380952380955,0.9208263588263588
competition_v3,0.3,1200,0.07003367003367003,0.07333333333333335,0.14285714285714288,0.9074593554593555
factorial_v2,0.0,1200,0.3707878787878788,0.2723809523809524,0.3866666666666667,0.6441298701298701
factorial_v2,0.05,1200,0.36509090909090913,0.2723809523809524,0.3733333333333333,0.650978354978355
factorial_v2,0.1,1200,0.36254545454545456,0.2723809523809524,0.36571428571428577,0.6545367965367965
factorial_v2,0.2,1200,0.35175757575757577,0.2723809523809524,0.3504761904761905,0.6645021645021645
factorial_v2,0.3,1200,0.3282424242424242,0.2723809523809524,0.340952380952381,0.6791168831168831
yue_primary,0.0,96,0.375,0.14583333333333337,0.39583333333333337,0.6645833333333333
yue_primary,0.05,96,0.375,0.14583333333333337,0.375,0.6708333333333334
yue_primary,0.1,96,0.3680555555555556,0.14583333333333337,0.33333333333333337,0.6868055555555556
yue_primary,0.2,96,0.29166666666666663,0.14583333333333337,0.22916666666666663,0.7562500000000001
yue_primary,0.3,96,0.25,0.14583333333333337,0.1875,0.7895833333333334
