EPOCH,LOSS,SELECTION,MEAN_VOICE_EER,WORST_VOICE_EER,WORST_GENERATOR_EER
0,0.8294324401546928,0.6499947322446276,0.3226130952380953,0.41000000000000003,0.4547619047619047
2,0.43794262409210205,0.6879994870279438,0.2745535714285714,0.39428571428571424,0.44093023255813957
4,0.35185181919266195,0.707575075052933,0.2594434523809524,0.3771428571428571,0.39481727574750836
6,0.30551397318349166,0.714610904603987,0.24758333333333332,0.36,0.4178737541528239
8,0.2789726456736817,0.7228161456368649,0.2418154761904762,0.34857142857142853,0.4
10,0.2585637532174587,0.7305457465593302,0.2451428571428571,0.3314285714285714,0.3746179401993356
12,0.2332929815439617,0.7195745911824365,0.24583333333333335,0.3666666666666667,0.4
14,0.217231894898064,0.7238398033716783,0.2505654761904762,0.34857142857142853,0.3717607973421927
16,0.20073612801292362,0.7255710343625341,0.23982440476190475,0.3542857142857143,0.3717607973421927
18,0.19292258734212203,0.7345895212173645,0.24018452380952376,0.3314285714285714,0.35
20,0.18618189499658697,0.7197986685768449,0.24102083333333338,0.36,0.4
22,0.17559914992136114,0.7357270297844423,0.22989285714285712,0.3314285714285714,0.4
24,0.16889150221558177,0.7136276365052417,0.24255059523809525,0.36571428571428577,0.4666666666666667
26,0.15994595319909208,0.7323386111237995,0.23728571428571432,0.34285714285714286,0.3608510638297872
28,0.15579303156803637,0.7323283434990394,0.2399345238095238,0.3314285714285714,0.3717607973421927
30,0.14824316026095083,0.7274005307620794,0.2348184523809524,0.3371428571428572,0.4
