DATASET,GATE,W,ROUTED,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,base,0.0,0,400,400,350,350,0.25527272727272726,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7609350649350649,0.9958571428571428,0.7844272727272728
factorial,all,0.4,400,400,400,350,350,0.24,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7685714285714286,0.9958571428571428,0.7913
factorial,music_p07,0.3,323,400,400,350,350,0.24763636363636365,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7647532467532467,0.9958571428571428,0.7878636363636363
factorial,music_p07,0.4,323,400,400,350,350,0.24,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7685714285714286,0.9958571428571428,0.7913
factorial,all,0.3,400,400,400,350,350,0.24,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7685714285714286,0.9958571428571428,0.7913
factorial,all,0.5,400,400,400,350,350,0.24,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7685714285714286,0.9958571428571428,0.7913
factorial,music_p07,0.5,323,400,400,350,350,0.24,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7685714285714286,0.9958571428571428,0.7913
factorial,music_p07,0.7,323,400,400,350,350,0.24763636363636365,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7647532467532467,0.9958571428571428,0.7878636363636363
factorial,all,0.7,400,400,400,350,350,0.24763636363636365,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7647532467532467,0.9958571428571428,0.7878636363636363
phone,base,0.0,0,1200,1200,800,800,0.2017142857142857,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8131428571428571,0.9703312500000001,0.8288616964285714
phone,all,0.4,1200,1200,1200,800,800,0.18000000000000002,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.824,0.9703312500000001,0.838633125
phone,music_p07,0.3,645,1200,1200,800,800,0.18414285714285714,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8219285714285713,0.9703312500000001,0.8367688392857143
phone,music_p07,0.4,645,1200,1200,800,800,0.1817142857142857,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8231428571428571,0.9703312500000001,0.8378616964285714
phone,all,0.3,1200,1200,1200,800,800,0.1817142857142857,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8231428571428571,0.9703312500000001,0.8378616964285714
phone,all,0.5,1200,1200,1200,800,800,0.18414285714285714,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8219285714285713,0.9703312500000001,0.8367688392857143
phone,music_p07,0.5,645,1200,1200,800,800,0.18757142857142858,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8202142857142857,0.9703312500000001,0.8352259821428571
phone,music_p07,0.7,645,1200,1200,800,800,0.20414285714285713,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8119285714285713,0.9703312500000001,0.8277688392857143
phone,all,0.7,1200,1200,1200,800,800,0.2017142857142857,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8131428571428571,0.9703312500000001,0.8288616964285714
yue,base,0.0,0,124,124,108,124,0.12771739130434784,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8673375409069658,,
yue,all,0.4,124,124,124,108,124,0.09578804347826086,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8833022148200094,,
yue,music_p07,0.3,100,124,124,108,124,0.09578804347826086,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8833022148200094,,
yue,music_p07,0.4,100,124,124,108,124,0.09578804347826086,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8833022148200094,,
yue,all,0.3,124,124,124,108,124,0.09578804347826086,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8833022148200094,,
yue,all,0.5,124,124,124,108,124,0.10122282608695654,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8805848235156615,,
yue,music_p07,0.5,100,124,124,108,124,0.10122282608695654,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8805848235156615,,
yue,music_p07,0.7,100,124,124,108,124,0.15421195652173914,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8540902582982702,,
yue,all,0.7,124,124,124,108,124,0.12771739130434784,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8673375409069658,,
