DATASET,EVIDENCE,W,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,raw_max,0.0,400,400,350,350,0.2781818181818182,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7386233766233765,0.9947428571428572,0.7642353246753246
dev,raw_max,0.05,400,400,350,350,0.27054545454545453,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7424415584415585,0.9947428571428572,0.7676716883116884
dev,raw_max,0.1,400,400,350,350,0.2570909090909091,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7491688311688312,0.9947428571428572,0.7737262337662338
dev,raw_max,0.15,400,400,350,350,0.25527272727272726,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7500779220779221,0.9947428571428572,0.7745444155844157
dev,raw_max,0.2,400,400,350,350,0.24181818181818182,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7568051948051948,0.9947428571428572,0.7805989610389611
dev,raw_max,0.25,400,400,350,350,0.23236363636363638,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7615324675324675,0.9947428571428572,0.7848535064935065
dev,raw_max,0.3,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,raw_max,0.35,400,400,350,350,0.21527272727272728,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7700779220779221,0.9947428571428572,0.7925444155844157
dev,raw_max,0.4,400,400,350,350,0.2229090909090909,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7662597402597402,0.9947428571428572,0.7891080519480519
dev,raw_max,0.45,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,raw_max,0.5,400,400,350,350,0.23054545454545455,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7624415584415585,0.9947428571428572,0.7856716883116884
dev,raw_max,0.6,400,400,350,350,0.24,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7577142857142858,0.9947428571428572,0.7814171428571429
dev,raw_max,0.7,400,400,350,350,0.23236363636363638,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7615324675324675,0.9947428571428572,0.7848535064935065
dev,hard_p05,0.0,400,400,350,350,0.2781818181818182,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7386233766233765,0.9947428571428572,0.7642353246753246
dev,hard_p05,0.05,400,400,350,350,0.26472727272727276,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7453506493506494,0.9947428571428572,0.7702898701298703
dev,hard_p05,0.1,400,400,350,350,0.2570909090909091,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7491688311688312,0.9947428571428572,0.7737262337662338
