ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,CONDITION,SOURCE,CODEC,VOICE_SOURCE_ID,MUSIC_SOURCE_ID,SNR_DB,PARENT_ID,CHANNEL,SOURCE_DATASET,GENERATOR,GROUP_ID,SPLIT,VOCODER,SPEAKER,DURATION,SOFIA_MERT_FAKE_PROB
sdxeq_0000__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0022,sdm_real_0032,-6.0,sdxeq_0000,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.013636630028486252
sdxeq_0000__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0022,sdm_real_0032,-6.0,sdxeq_0000,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.029292630031704903
sdxeq_0000__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0022,sdm_real_0032,-6.0,sdxeq_0000,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.03521072492003441
sdxeq_0000__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0022,sdm_real_0032,-6.0,sdxeq_0000,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.015445276163518429
sdxeq_0001__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0063,sdm_real_0094,0.0,sdxeq_0001,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.04245617985725403
sdxeq_0001__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0063,sdm_real_0094,0.0,sdxeq_0001,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.04759831354022026
sdxeq_0001__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0063,sdm_real_0094,0.0,sdxeq_0001,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.05147955194115639
sdxeq_0001__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0063,sdm_real_0094,0.0,sdxeq_0001,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.01073999423533678
sdxeq_0002__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0033,sdm_real_0069,6.0,sdxeq_0002,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.02935165725648403
sdxeq_0002__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0033,sdm_real_0069,6.0,sdxeq_0002,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.0742325484752655
