DATASET,METHOD,PHONE_COUNT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,anchor_v28,67,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,soft_moe_w40,67,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,domain_weight_router_w70,67,400,400,350,350,0.21709090909090906,0.2857142857142857,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7725974025974027,0.9947428571428572,0.7948119480519482
dev,domain_head_router_seed04_w70,67,400,400,350,350,0.21709090909090906,0.2857142857142857,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7725974025974027,0.9947428571428572,0.7948119480519482
dev,hard_phone_router,67,400,400,350,350,0.21709090909090906,0.2857142857142857,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7743116883116884,0.9947428571428572,0.7963548051948053
dev,content_presence_hard,67,400,400,350,350,0.22472727272727272,0.2857142857142857,0.22285714285714286,0.9962285714285715,0.993257142857143,0.7636363636363637,0.9947428571428572,0.7867470129870131
dev,confidence_hard,67,400,400,350,350,0.21709090909090906,0.2857142857142857,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7760259740259741,0.9947428571428572,0.7978976623376625
factorial,anchor_v28,67,400,400,350,350,0.23818181818181816,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7694805194805194,0.9958571428571428,0.7921181818181818
factorial,soft_moe_w40,67,400,400,350,350,0.21709090909090906,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7851688311688312,0.9958571428571428,0.8062376623376624
factorial,domain_weight_router_w70,67,400,400,350,350,0.21527272727272728,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7860779220779222,0.9958571428571428,0.8070558441558442
factorial,domain_head_router_seed04_w70,67,400,400,350,350,0.21709090909090906,0.22285714285714286,0.19999999999999998,0.9928,0.9989142857142856,0.786883116883117,0.9958571428571428,0.8077805194805195
factorial,hard_phone_router,67,400,400,350,350,0.21527272727272728,0.22285714285714286,0.19999999999999998,0.9928,0.9989142857142856,0.7877922077922078,0.9958571428571428,0.8085987012987014
factorial,content_presence_hard,67,400,400,350,350,0.23236363636363638,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7723896103896104,0.9958571428571428,0.7947363636363637
factorial,confidence_hard,67,400,400,350,350,0.23054545454545455,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7767272727272727,0.9958571428571428,0.7986402597402598
phone,anchor_v28,1200,1200,1200,800,800,0.17585714285714285,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8260714285714286,0.9703312500000001,0.8404974107142857
phone,soft_moe_w40,1200,1200,1200,800,800,0.16828571428571432,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8411071428571428,0.9703312500000001,0.8540295535714286
