epoch,loss,clean_eer,phone_eer,selection_error,seconds
0,0.8697651016433336,0.22357821598256705,0.36643238190500005,0.3200047779802093,176.50990066304803
1,0.651260166837458,0.14191196608675977,0.32587908881982397,0.2660897739315781,336.2874990031123
2,0.611976645407621,0.11020909989402114,0.3222829516903035,0.25335894985651175,554.4850072795525
3,0.5798039056404293,0.10718899963086012,0.27038158349111086,0.21734399373652938,734.5061544086784
4,0.5512531430662027,0.10287690970361638,0.28008787911263533,0.22249431405470418,918.9239583583549
5,0.5289912279150639,0.09928077257409593,0.2709576203574703,0.21516264482787362,1100.462525674142
6,0.5203398279627861,0.10416889936769905,0.2698055466247514,0.21597363626620938,1300.1802745684981
7,0.4856377753336527,0.09259457721573253,0.258161266507103,0.2043520924874076,1501.7084440421313
8,0.4747504103079177,0.08404035532692697,0.27282564688791244,0.21147042713059216,1699.9214130491018
9,0.4385847698199993,0.09619071434525299,0.24910096571761992,0.19940513402160068,1880.056170515716
10,0.42788537887976186,0.09252461925005062,0.25334309767918173,0.20107709218971412,2046.5683233560994
11,0.41931116384895223,0.08648441872372853,0.2613212827016278,0.20449930190881055,2212.465677387081
12,0.3986028417596343,0.09863477774205456,0.26009925100322695,0.2076232971933459,2383.12347751949
13,0.35177847987029986,0.08770645042212935,0.26125132473594587,0.20484924058395548,2551.510714055039
14,0.36317290703368466,0.09072655068529036,0.25219102394646287,0.1997150701365818,2722.384296182543
