DATASET,FILE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,0.0,400,400,350,350,0.2781818181818182,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7386233766233765,0.9947428571428572,0.7642353246753246
dev,0.3,400,400,350,350,0.24763636363636365,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7538961038961038,0.9947428571428572,0.7779807792207792
dev,0.4,400,400,350,350,0.23236363636363638,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7615324675324675,0.9947428571428572,0.7848535064935065
dev,0.5,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.6,400,400,350,350,0.23054545454545455,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7624415584415585,0.9947428571428572,0.7856716883116884
dev,0.7,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
factorial,0.0,400,400,350,350,0.25527272727272726,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7609350649350649,0.9958571428571428,0.7844272727272728
factorial,0.3,400,400,350,350,0.24945454545454543,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7638441558441559,0.9958571428571428,0.7870454545454546
factorial,0.4,400,400,350,350,0.24,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7685714285714286,0.9958571428571428,0.7913
factorial,0.5,400,400,350,350,0.23818181818181816,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7694805194805194,0.9958571428571428,0.7921181818181818
factorial,0.6,400,400,350,350,0.23236363636363638,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7723896103896104,0.9958571428571428,0.7947363636363637
factorial,0.7,400,400,350,350,0.23236363636363638,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7723896103896104,0.9958571428571428,0.7947363636363637
phone,0.0,1200,1200,800,800,0.2017142857142857,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8131428571428571,0.9703312500000001,0.8288616964285714
phone,0.3,1200,1200,800,800,0.1782857142857143,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8248571428571428,0.9703312500000001,0.8394045535714286
phone,0.4,1200,1200,800,800,0.17171428571428568,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8281428571428571,0.9703312500000001,0.8423616964285714
phone,0.5,1200,1200,800,800,0.17585714285714285,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8260714285714286,0.9703312500000001,0.8404974107142857
phone,0.6,1200,1200,800,800,0.1782857142857143,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8248571428571428,0.9703312500000001,0.8394045535714286
phone,0.7,1200,1200,800,800,0.17585714285714285,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8260714285714286,0.9703312500000001,0.8404974107142857
yue,0.0,124,124,108,124,0.12771739130434784,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8673375409069658,,
yue,0.3,124,124,108,124,0.09578804347826086,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8833022148200094,,
yue,0.4,124,124,108,124,0.10122282608695654,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8805848235156615,,
yue,0.5,124,124,108,124,0.10122282608695654,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8805848235156615,,
yue,0.6,124,124,108,124,0.12771739130434784,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8673375409069658,,
yue,0.7,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,
factorial_plus_phone,0.0,1600,1600,1150,1150,0.21620512820512822,0.18956521739130439,0.20173913043478264,0.9602415458937198,0.9882376811594205,0.7934626532887401,0.9742396135265701,0.8115403493125231
factorial_plus_phone,0.3,1600,1600,1150,1150,0.19503589743589744,0.18956521739130439,0.20173913043478264,0.9602415458937198,0.9882376811594205,0.8040472686733555,0.9742396135265701,0.821066503158677
factorial_plus_phone,0.4,1600,1600,1150,1150,0.18875897435897432,0.18956521739130439,0.20173913043478264,0.9602415458937198,0.9882376811594205,0.807185730211817,0.9742396135265701,0.8238911185432924
factorial_plus_phone,0.5,1600,1600,1150,1150,0.1905846153846154,0.18956521739130439,0.20173913043478264,0.9602415458937198,0.9882376811594205,0.8062729096989967,0.9742396135265701,0.823069580081754
factorial_plus_phone,0.6,1600,1600,1150,1150,0.18875897435897432,0.18956521739130439,0.20173913043478264,0.9602415458937198,0.9882376811594205,0.807185730211817,0.9742396135265701,0.8238911185432924
factorial_plus_phone,0.7,1600,1600,1150,1150,0.18875897435897432,0.18956521739130439,0.20173913043478264,0.9602415458937198,0.9882376811594205,0.807185730211817,0.9742396135265701,0.8238911185432924
