ID,XLSR_ORIGINAL_PROB
factorial_0000,0.7160451412
factorial_0007,0.0002353655
factorial_0014,0.000794871
factorial_0021,0.0060447315
factorial_0028,0.0251600221
factorial_0035,0.0321684405
factorial_0042,0.0027228906
factorial_0049,0.0071461108
factorial_0056,0.9988396764
factorial_0063,0.9988441467
factorial_0070,0.0006246352
factorial_0077,0.1697511971
factorial_0084,0.1831217706
factorial_0091,0.5318477154
factorial_0098,0.0161689613
factorial_0105,0.001754484
factorial_0112,0.0022774704
factorial_0119,0.0127936741
factorial_0126,0.0431168377
factorial_0133,0.0050676884
factorial_0140,0.0838285983
factorial_0147,0.071392864
factorial_0154,0.0040608449
factorial_0161,0.5694550872
factorial_0168,0.7444623113
factorial_0175,0.0011679076
factorial_0182,0.8332250118
factorial_0189,0.0815599412
factorial_0196,0.999776423
factorial_0203,0.0012636537
factorial_0210,0.6122076511
factorial_0217,0.0018133277
factorial_0224,0.4648286998
factorial_0231,0.2309007049
factorial_0238,0.6487091184
factorial_0245,0.0020868201
factorial_0252,0.9989917874
factorial_0259,0.9999492168
factorial_0266,0.0046098698
factorial_0273,0.9364599586
factorial_0280,0.9978666902
factorial_0287,0.1221934929
factorial_0294,0.9939264655
factorial_0301,0.0049528922
factorial_0308,0.0061096824
factorial_0315,0.0217447896
factorial_0322,0.1841723621
factorial_0329,0.2448455095
factorial_0336,0.6921339035
factorial_0343,0.0056789527
factorial_0350,0.0006341971
factorial_0357,0.9999767542
factorial_0364,0.9972589016
factorial_0371,0.9981635213
factorial_0378,0.9998408556
factorial_0385,0.9911065698
factorial_0392,0.9315079451
factorial_0399,0.9187679887
factorial_0406,0.0008587491
factorial_0413,0.0011207435
factorial_0420,0.1592202485
factorial_0427,0.0240787081
factorial_0434,0.1217284724
factorial_0441,0.0020868629
factorial_0448,0.0260187443
factorial_0455,0.009995766
factorial_0462,0.9989388585
factorial_0469,0.9839689732
factorial_0476,0.7995167375
factorial_0483,0.0104625775
factorial_0490,0.9961744547
factorial_0497,0.0433519557
factorial_0504,0.1593105942
factorial_0511,0.0007837341
factorial_0518,0.0005110484
factorial_0525,0.0474034064
factorial_0532,0.0009952717
factorial_0539,0.0006887118
factorial_0546,0.0017625282
factorial_0553,0.0119339665
factorial_0560,0.0034112954
factorial_0567,0.1067983285
factorial_0574,0.0155526614
factorial_0581,0.0008532152
factorial_0588,0.1199220195
factorial_0595,0.0388208516
factorial_0602,0.1000381112
factorial_0609,0.0123421792
factorial_0616,0.0017304659
factorial_0623,0.1404816657
factorial_0630,0.2450177073
factorial_0637,0.0156651028
factorial_0644,0.1753820479
factorial_0651,0.981779635
factorial_0658,0.6949964762
factorial_0665,0.999309659
factorial_0672,0.1878596246
factorial_0679,0.4052884579
factorial_0686,0.9979521632
factorial_0693,0.0240041949
factorial_0700,0.0040955688
factorial_0707,0.0051824758
factorial_0714,0.0341904685
factorial_0721,0.0079095811
factorial_0728,0.0312572345
factorial_0735,0.9987749457
factorial_0742,0.5228874683
factorial_0749,0.6545462012
factorial_0756,0.0634318963
factorial_0763,0.9993713498
factorial_0770,0.9978384376
factorial_0777,0.9999085665
factorial_0784,0.9993071556
factorial_0791,0.0483412705
factorial_0798,0.7688868642
factorial_0805,0.6768115163
factorial_0812,0.0003130358
factorial_0819,0.0005474179
factorial_0826,0.1813870072
factorial_0833,0.027940603
factorial_0840,0.0769520998
factorial_0847,0.0333093964
factorial_0854,0.9999660254
factorial_0861,0.9670550823
factorial_0868,0.997251451
factorial_0875,0.0168138053
factorial_0882,0.0636220127
factorial_0889,0.003551618
factorial_0896,0.371140182
factorial_0903,0.0400196053
factorial_0910,0.0020968234
factorial_0917,0.0040824767
factorial_0924,0.1999465525
factorial_0931,0.000717069
factorial_0938,0.0663928315
factorial_0945,0.0907923952
factorial_0952,0.0012342586
factorial_0959,0.0097932769
factorial_0966,0.1593509167
factorial_0973,0.000471764
factorial_0980,0.0174469613
factorial_0987,0.0041625621
factorial_0994,0.7879136801
factorial_1001,0.0027740903
factorial_1008,0.0951079652
factorial_1015,0.0092507135
factorial_1022,0.8217104077
factorial_1029,0.0648451969
factorial_1036,0.0284489971
factorial_1043,0.0042180703
factorial_1050,0.0050532334
factorial_1057,0.999987483
factorial_1064,0.5895038247
factorial_1071,0.5299428701
factorial_1078,0.2986327112
factorial_1085,0.4189966321
factorial_1092,0.0653158948
factorial_1099,0.9999244213
factorial_1106,0.0083543016
factorial_1113,0.1474422663
factorial_1120,0.0236255918
factorial_1127,0.003347245
factorial_1134,0.888011694
factorial_1141,0.0417765938
factorial_1148,0.7709738016
factorial_1155,0.9987065792
factorial_1162,0.9995630383
factorial_1169,0.9961833358
factorial_1176,0.9994847775
factorial_1183,0.8763789535
factorial_1190,0.9983026981
factorial_1197,0.8150268793
factorial_0001,0.0145747634
factorial_0008,0.000296092
factorial_0015,0.2555494606
factorial_0022,0.1487708539
factorial_0029,0.0416880138
factorial_0036,0.0181383379
factorial_0043,0.0195077416
factorial_0050,0.7055856586
factorial_0057,0.9989237189
factorial_0064,0.0017106786
factorial_0071,0.9999414682
factorial_0078,0.3004842103
factorial_0085,0.0077820057
factorial_0092,0.0012154545
factorial_0099,0.0371030718
factorial_0106,0.0005311529
factorial_0113,0.0180786029
factorial_0120,0.0115400562
factorial_0127,0.3672749102
factorial_0134,0.0077812211
factorial_0141,0.3282403052
factorial_0148,0.001170423
factorial_0155,0.2664670646
factorial_0162,0.2708569169
factorial_0169,0.0026068275
factorial_0176,0.0007988225
factorial_0183,0.0160585511
factorial_0190,0.1233979017
factorial_0197,0.0030090171
factorial_0204,0.019643411
factorial_0211,0.4479936659
factorial_0218,0.0016817813
factorial_0225,0.2216045707
factorial_0232,0.0610044599
factorial_0239,0.0444084592
factorial_0246,0.0131015452
factorial_0253,0.999974966
factorial_0260,0.9999086857
factorial_0267,0.999956131
factorial_0274,0.998537302
factorial_0281,0.9909318686
factorial_0288,0.9459756017
factorial_0295,0.250159055
factorial_0302,0.005399141
factorial_0309,0.0877937227
factorial_0316,0.007432505
factorial_0323,0.1853863448
factorial_0330,0.0039175022
factorial_0337,0.916844964
factorial_0344,0.022059517
factorial_0351,0.9987395406
factorial_0358,0.999530077
factorial_0365,0.0106209768
factorial_0372,0.0627541095
factorial_0379,0.3067836463
factorial_0386,0.9947951436
factorial_0393,0.9998568296
factorial_0400,0.001278002
factorial_0407,0.0043220446
factorial_0414,0.0038414779
factorial_0421,0.0910893083
factorial_0428,0.894566834
factorial_0435,0.0058928728
factorial_0442,0.0053665834
factorial_0449,0.3457071483
factorial_0456,0.910588026
factorial_0463,0.999940753
factorial_0470,0.9894743562
factorial_0477,0.1435605288
factorial_0484,0.4122125506
factorial_0491,0.0078494996
factorial_0498,0.177614525
factorial_0505,0.0047951736
factorial_0512,0.0139034772
factorial_0519,0.012935807
factorial_0526,0.0008196529
factorial_0533,0.1555621177
factorial_0540,0.0852546543
factorial_0547,0.2699403465
factorial_0554,0.0095525309
factorial_0561,0.0059620384
factorial_0568,0.0003656364
factorial_0575,0.0183344167
factorial_0582,0.049229458
factorial_0589,0.910202086
factorial_0596,0.3731266558
factorial_0603,0.0446706936
factorial_0610,0.1231534556
factorial_0617,0.0017429861
factorial_0624,0.905174017
factorial_0631,0.0055002468
factorial_0638,0.0021087825
factorial_0645,0.3485456109
factorial_0652,0.080215618
factorial_0659,0.0559508763
factorial_0666,0.1373205781
factorial_0673,0.8033361435
factorial_0680,0.9918361306
factorial_0687,0.9999063015
factorial_0694,0.7028287649
factorial_0701,0.0117919091
factorial_0708,0.2829276025
factorial_0715,0.0053228387
factorial_0722,0.0147897713
factorial_0729,0.5574066043
factorial_0736,0.6486606598
factorial_0743,0.7602436543
factorial_0750,0.9993415475
factorial_0757,0.7934231758
factorial_0764,0.9999576807
factorial_0771,0.9737493396
factorial_0778,0.9998993874
factorial_0785,0.6110032201
factorial_0792,0.999977231
factorial_0799,0.999910593
factorial_0806,0.0056963898
factorial_0813,0.0007306854
factorial_0820,0.0029604153
factorial_0827,0.0409310758
factorial_0834,0.0300212409
factorial_0841,0.0041413326
factorial_0848,0.0061993389
factorial_0855,0.9999722242
factorial_0862,0.9991806149
factorial_0869,0.9999486208
factorial_0876,0.0546912514
factorial_0883,0.6691758037
factorial_0890,0.816311419
factorial_0897,0.0832902342
factorial_0904,0.0013789586
factorial_0911,0.0019449153
factorial_0918,0.2135603875
factorial_0925,0.0008251675
factorial_0932,0.0005343034
factorial_0939,0.4043396413
factorial_0946,0.0017099654
factorial_0953,0.0012027171
factorial_0960,0.5552636385
factorial_0967,0.1445653141
factorial_0974,0.004732246
factorial_0981,0.5154932141
factorial_0988,0.0001428554
factorial_0995,0.1572224945
factorial_1002,0.0843036696
factorial_1009,0.0020263833
factorial_1016,0.0055661728
factorial_1023,0.8634176254
factorial_1030,0.0295039844
factorial_1037,0.013770042
factorial_1044,0.3111575544
factorial_1051,0.0056685614
factorial_1058,0.1610697806
factorial_1065,0.9977785945
factorial_1072,0.9991722107
factorial_1079,0.0422495678
factorial_1086,0.9909680486
factorial_1093,0.9998621941
factorial_1100,0.7212204933
factorial_1107,0.1043760031
factorial_1114,0.3169821203
factorial_1121,0.0677349865
factorial_1128,0.8376629353
factorial_1135,0.6310032606
factorial_1142,0.0038529395
factorial_1149,0.0076914895
factorial_1156,0.9999871254
factorial_1163,0.0048527913
factorial_1170,0.9989778996
factorial_1177,0.7179970145
factorial_1184,0.9999722242
factorial_1191,0.9340208173
factorial_1198,0.9983502626
factorial_0002,0.0055129952
factorial_0009,0.0058614416
factorial_0016,0.0009260605
factorial_0023,0.0012768485
factorial_0030,0.0019089354
factorial_0037,0.0259289797
factorial_0044,0.0122909183
factorial_0051,0.7706879973
factorial_0058,0.999506712
factorial_0065,0.9996978045
factorial_0072,0.9974911213
factorial_0079,0.058133658
factorial_0086,0.0341354534
factorial_0093,0.2910963595
factorial_0100,0.0057264664
factorial_0107,0.0672811568
factorial_0114,0.0039944593
factorial_0121,0.0206835568
factorial_0128,0.2423853874
factorial_0135,0.0104914876
factorial_0142,0.0065687061
factorial_0149,0.0098730568
factorial_0156,0.0129755633
factorial_0163,0.0013111464
factorial_0170,0.0084156664
factorial_0177,0.0095980586
factorial_0184,0.1850700676
factorial_0191,0.0006374603
factorial_0198,0.0006043611
factorial_0205,0.0032475623
factorial_0212,0.0468907543
factorial_0219,0.6470964551
factorial_0226,0.2794448137
factorial_0233,0.9866791368
factorial_0240,0.0502637327
factorial_0247,0.932941854
factorial_0254,0.9999542236
factorial_0261,0.1001356989
factorial_0268,0.2677004635
factorial_0275,0.979966104
factorial_0282,0.0080637112
factorial_0289,0.6067839861
factorial_0296,0.1109388173
factorial_0303,0.0063342741
factorial_0310,0.0809050351
factorial_0317,0.0214603357
factorial_0324,0.9949532151
factorial_0331,0.9932316542
factorial_0338,0.1490129679
factorial_0345,0.0285423733
factorial_0352,0.9999325275
factorial_0359,0.9968102574
factorial_0366,0.9733842611
factorial_0373,0.7046035528
factorial_0380,0.1520446539
factorial_0387,0.9981769323
factorial_0394,0.997620523
factorial_0401,0.0005958464
factorial_0408,0.0330948085
factorial_0415,0.0005882717
factorial_0422,0.005195043
factorial_0429,0.078352645
factorial_0436,0.0094816145
factorial_0443,0.5875771642
factorial_0450,0.9999659061
factorial_0457,0.9987066984
factorial_0464,0.9988467693
factorial_0471,0.9992704988
factorial_0478,0.6020802259
factorial_0485,0.8981073499
factorial_0492,0.4616773129
factorial_0499,0.1438902467
factorial_0506,0.1132194027
factorial_0513,0.0416436903
factorial_0520,0.0033785638
factorial_0527,0.0064195138
factorial_0534,0.0011445867
factorial_0541,0.0673930496
factorial_0548,0.0012462386
factorial_0555,0.2348207831
factorial_0562,0.0026949765
factorial_0569,0.0024978754
