ID,PROBE_VOICE_PRESENT_PROB,PROBE_MUSIC_PRESENT_PROB
sdm_fake_0000__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0001__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0002__phonefact_g711_ulaw,8.349785e-27,1.0
sdm_fake_0003__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0004__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0005__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0006__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0007__phonefact_g711_ulaw,1.5056646e-35,1.0
sdm_fake_0008__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0009__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0010__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0011__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0012__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0013__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0014__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0015__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0016__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0017__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0018__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0019__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0020__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0021__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0022__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0023__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0024__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0025__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0026__phonefact_g711_ulaw,3.4949112e-31,1.0
sdm_fake_0027__phonefact_g711_ulaw,3.0912826e-37,1.0
sdm_fake_0028__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0029__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0030__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0031__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0032__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0033__phonefact_g711_ulaw,2.2900789e-38,1.0
sdm_fake_0034__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0035__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0036__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0037__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0038__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0039__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0040__phonefact_g711_ulaw,1.9457726e-26,1.0
sdm_fake_0041__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0042__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0043__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0044__phonefact_g711_ulaw,1.5313134e-35,1.0
sdm_fake_0045__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0046__phonefact_g711_ulaw,3.678246e-39,1.0
sdm_fake_0047__phonefact_g711_ulaw,1.1581644e-28,1.0
sdm_fake_0048__phonefact_g711_ulaw,0.0,1.0
sdm_fake_0049__phonefact_g711_ulaw,0.0,1.0
sdm_real_0000__phonefact_g711_ulaw,9.0257544e-35,1.0
sdm_real_0001__phonefact_g711_ulaw,0.0,1.0
