EPOCH,SELECTION,MEAN_MUSIC_SCORE,WORST_MUSIC_SCORE,LOSS_TOTAL,LOSS_MUSIC_BCE,LOSS_RANK,LOSS_AUXILIARY,LOSS_CHANNEL
0,0.7523418898809524,0.8113504464285713,0.6933333333333334,0.5097414389208048,0.3986114479244469,0.24745835700702523,0.5954721402265355,0.06372942491228871
1,0.770703125,0.8180729166666667,0.7233333333333334,0.24971893460986144,0.16834369749053865,0.042362573852127876,0.5445836698580645,0.09134707687799763
2,0.7804296875000001,0.8475260416666668,0.7133333333333334,0.17940054043101336,0.11880320982594868,0.02258608635604029,0.5340069277200871,0.058759533245077086
3,0.7593563988095238,0.8453794642857143,0.6733333333333333,0.14686601841543429,0.09434835858152298,0.013500207606020541,0.5178041988147233,0.047854816031856706
4,0.7656473214285715,0.8429613095238095,0.6883333333333334,0.11973720113607403,0.07126989232063918,0.0074477359205203045,0.49749126842992747,0.044206394954929916
5,0.7978273809523809,0.8606547619047619,0.735,0.09761897162227573,0.05985539420654239,0.005716861813502492,0.4722370259062259,0.026016706411274064
6,0.7832514880952381,0.8598363095238095,0.7066666666666667,0.10225323512927144,0.06612332987154326,0.00640794848206349,0.43364574354208874,0.026332056012855203
7,0.8232217261904762,0.8714434523809524,0.7749999999999999,0.09091922088141391,0.05836021817501211,0.005059704792737601,0.36942135078642896,0.026151987801030712
8,0.7578571428571429,0.8523809523809525,0.6633333333333333,0.07831455320733303,0.04566956184609949,0.003926678465631675,0.3196905983868473,0.03175025092394549
9,0.7762499999999999,0.8524999999999999,0.7,0.06992652316850995,0.045906024714192924,0.0029801899354427335,0.28568023358454964,0.018280897838087232
10,0.7953794642857143,0.8607589285714285,0.73,0.07074710631096166,0.05052145676545152,0.0035013644455658324,0.2530400264272076,0.013746750951442207
11,0.8201785714285714,0.8670238095238095,0.7733333333333333,0.058714677102886095,0.0402841079886201,0.0026584274569380452,0.22226040277206255,0.01357172681048609
12,0.7846372767857144,0.852607886904762,0.7166666666666667,0.06007985865507654,0.0426671609689773,0.0022700540131718443,0.21228642758361238,0.01268873126048288
13,0.7870647321428572,0.8574627976190476,0.7166666666666667,0.0733008646917903,0.0417096566398939,0.0027619624175640174,0.1995976804504673,0.04211786220829079
