MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_LABEL,MUSIC_ARCHIVE_MEMBER,AUDIO_SHA256,PANNS_VOCAL_MAX,PANNS_SPEECH_MAX,PANNS_ANY_VOICE_MAX,PANNS_SINGING,PANNS_MALE_SINGING,PANNS_FEMALE_SINGING,PANNS_CHILD_SINGING,PANNS_SYNTHETIC_SINGING,PANNS_CHOIR,PANNS_YODELING,PANNS_CHANT,PANNS_RAPPING,PANNS_HUMMING,PANNS_OPERA,PANNS_VOCAL_MUSIC,DEMUCS_VOCAL_TO_MIX_DB,DEMUCS_VOCAL_TO_RESIDUAL_DB,PANNS_THRESHOLD,PANNS_FLAG,DEMUCS_THRESHOLD_DB,DEMUCS_FLAG,ACOUSTIC_SCREEN_PASS
064547,fma:64547,FMA,0,unmixed_dataset/eval/RM_064_064547.wav,e5fce4251b6321741e55e6640ec8ee2edd26251917f2fbcf1ba0c98a1fa26ead,0.023760134354233742,0.732020914554596,0.732020914554596,0.023760134354233742,0.00839069951325655,0.00625242805108428,0.006042522843927145,0.002727061975747347,0.004828525707125664,0.00041729785152710974,0.0010861782357096672,0.0014458760851994157,0.0016128079732879996,0.001896142028272152,0.0012031105579808354,-15.36012814121015,-15.106081851761179,0.2,True,-1.5,False,False
132134,fma:132134,FMA,0,unmixed_dataset/eval/RM_132_132134.wav,68526e040c0b454612bb1f2187b748891447ff2dc1a3ff4188e8a0e430e31582,0.004245236050337553,0.03218427300453186,0.03218427300453186,0.004245236050337553,0.00033397594233974814,0.0004003793583251536,0.0007884090300649405,0.00034508766839280725,0.0005966483149677515,0.00012054763647029176,0.00024173657584469765,0.0005586684565059841,0.0003372428473085165,0.00027821896946989,0.0005388940335251391,-39.32188886089024,-39.54855237539385,0.2,False,-1.5,False,True
080793,fma:80793,FMA,0,unmixed_dataset/eval/RM_080_080793.wav,9fb019a16af27fe1c2b5b77a40f6e90a34d558993e6cc9b4cf5689895be02241,0.005300695542246103,0.0529484897851944,0.0529484897851944,0.005300695542246103,0.00041614208021201193,0.0007434860453940928,0.00021107334760017693,0.00024284796381834894,0.0007990660960786045,5.224618871579878e-05,0.0008400055812671781,0.0012265769764780998,0.001952884253114462,0.00032014594762586057,0.0014187820488587022,-11.574431466812227,-11.084470215849604,0.2,False,-1.5,False,True
016210,fma:16210,FMA,0,unmixed_dataset/eval/RM_016_016210.wav,8e7116da16db65481d592798b9d19bc02428ba8449b14970823fc11f08f5ed55,0.07246918231248856,0.1309000700712204,0.1309000700712204,0.07246918231248856,0.003054980654269457,0.0007417899905703962,0.0002038463717326522,0.0003891031665261835,0.0049297683872282505,0.00026679207803681493,0.002235871274024248,0.00040951906703412533,0.0003100217436440289,0.0014595759566873312,0.003141110995784402,-8.746443540492884,-7.509113341532992,0.2,False,-1.5,False,True
134754,fma:134754,FMA,0,unmixed_dataset/eval/RM_134_134754.wav,901523a08934ed836408fa2ae04fa5f49109e4c76d5c651a4e09b2d3f73568c8,0.14043556153774261,0.12722359597682953,0.14043556153774261,0.021217381581664085,0.0010007780510932207,0.0007111676386557519,0.0002842072572093457,0.0002011834440054372,0.00075058318907395,0.00014789514534641057,0.003798785852268338,0.14043556153774261,0.0016434650169685483,0.00030812883051112294,0.001857428578659892,-14.183395962404965,-13.845344940147584,0.2,False,-1.5,False,True
056036,fma:56036,FMA,0,unmixed_dataset/eval/RM_056_056036.wav,c73ee5b2c8ab2b89a4feb25f5c3766fde85b669a8568e99f691bcf222cb9752e,0.35115814208984375,0.8523920178413391,0.8523920178413391,0.14985217154026031,0.01998336799442768,0.014521467499434948,0.006985969375818968,0.005166672170162201,0.008341984823346138,0.0010153817711398005,0.0009189011179842055,0.35115814208984375,0.001291851862333715,0.0011536930687725544,0.003389016492292285,-9.137549533641053,-8.353928105440248,0.2,True,-1.5,False,False
FM_mustango_JpMHnsdsCiY,fmc:JpMHnsdsCiY,mustango,1,unmixed_dataset/eval/FM_mustango_JpMHnsdsCiY.wav,f9656af93a940a7ec0f27b6c13069e93152a16694c1ad2eb2b480bccab7c95dc,0.017991099506616592,0.03816414624452591,0.03816414624452591,0.017991099506616592,0.00036907714093104005,0.0003147423849441111,0.00012123781198170036,0.00023250540834851563,0.0007424084469676018,8.222588076023385e-05,0.00014058785745874047,0.00045407089055515826,0.00021062040468677878,0.00028902251506224275,0.0005884273559786379,-51.69301535312074,-51.397349671280644,0.2,False,-1.5,False,True
FM_stable_audio_open_YyYEzAY2e2I,fmc:YyYEzAY2e2I,stable_audio_open,1,unmixed_dataset/eval/FM_stable_audio_open_YyYEzAY2e2I.wav,0042c824a9e7cd7e985bd44f82288f23f94b005917acfab283f49b515d7fc993,0.046462129801511765,0.044315386563539505,0.046462129801511765,0.046462129801511765,0.006354863289743662,0.004237565211951733,0.0028037477750331163,0.01686808280646801,0.001680060988292098,0.0010913891019299626,0.005472525488585234,0.0008997173281386495,0.010235676541924477,0.0003796075761783868,0.010564017109572887,-8.107165726919149,-7.1255092521983165,0.2,False,-1.5,False,True
FM_audioldm2_fjxD32KIHgE,fmc:fjxD32KIHgE,audioldm2,1,unmixed_dataset/eval/FM_audioldm2_fjxD32KIHgE.wav,51531d10e86c0ced75d24aef4d90060097af90d840d7172cf7f1a9dc30b00e54,0.006109792739152908,0.03946889564394951,0.03946889564394951,0.006109792739152908,0.0004436383896972984,0.0007000173209235072,0.0005175831611268222,0.0003784206637647003,0.0007488623959943652,2.7843425414175726e-05,0.0009680686052888632,0.00029123396961949766,0.00014251418178901076,0.00018218549666926265,0.001026383601129055,-50.099116855372756,-49.94659571845759,0.2,False,-1.5,False,True
FM_MusicGen_medium_a4jcJ7QZ-OQ,fmc:a4jcJ7QZ-OQ,MusicGen_medium,1,unmixed_dataset/eval/FM_MusicGen_medium_a4jcJ7QZ-OQ.wav,bc76582a8fad2cbd0105d8d3b8dc3fedd934a7e3a7b6f245d4ec6f148eaec306,0.009597511030733585,0.022774560377001762,0.022774560377001762,0.009597511030733585,0.00028089198167435825,0.0007684280280955136,0.00041859151679091156,0.00029743905179202557,0.0007501470390707254,0.00036785966949537396,9.873278031591326e-05,0.0001266740873688832,0.0004579017695505172,0.0012668534182012081,0.00046403054147958755,-56.70765497674686,-56.70045805894567,0.2,False,-1.5,False,True
