GROUP,VALUE,WEIGHT,N,FILE_EER,VOICE_EER,MUSIC_EER,ADS
ALL,ALL,0.0,1200,0.31000000000000005,0.1825,0.4175,0.6832499999999999
ALL,ALL,0.05,1200,0.3117142857142857,0.1825,0.4075,0.6853928571428571
ALL,ALL,0.1,1200,0.3082857142857143,0.1825,0.4,0.6893571428571428
ALL,ALL,0.15,1200,0.3058571428571428,0.1825,0.40249999999999997,0.6898214285714286
ALL,ALL,0.2,1200,0.3075714285714286,0.1825,0.38749999999999996,0.6934642857142856
ALL,ALL,0.25,1200,0.2958571428571428,0.1825,0.375,0.7030714285714286
ALL,ALL,0.3,1200,0.2958571428571428,0.1825,0.36750000000000005,0.7053214285714285
CHANNEL,g711_ulaw,0.0,300,0.24,0.08999999999999998,0.38,0.748
CHANNEL,g711_ulaw,0.05,300,0.24,0.08999999999999998,0.36,0.754
CHANNEL,g711_ulaw,0.1,300,0.24685714285714283,0.08999999999999998,0.33999999999999997,0.7565714285714287
CHANNEL,g711_ulaw,0.15,300,0.24685714285714283,0.08999999999999998,0.33999999999999997,0.7565714285714287
CHANNEL,g711_ulaw,0.2,300,0.24971428571428572,0.08999999999999998,0.31999999999999995,0.7611428571428571
CHANNEL,g711_ulaw,0.25,300,0.24685714285714283,0.08999999999999998,0.31999999999999995,0.7625714285714287
CHANNEL,g711_ulaw,0.3,300,0.24685714285714283,0.08999999999999998,0.32999999999999996,0.7595714285714286
CHANNEL,g726_24k,0.0,300,0.22342857142857142,0.08999999999999998,0.38,0.7562857142857142
CHANNEL,g726_24k,0.05,300,0.22342857142857142,0.08999999999999998,0.37,0.7592857142857143
CHANNEL,g726_24k,0.1,300,0.23028571428571426,0.08999999999999998,0.35,0.761857142857143
CHANNEL,g726_24k,0.15,300,0.23314285714285715,0.08999999999999998,0.32999999999999996,0.7664285714285715
CHANNEL,g726_24k,0.2,300,0.22342857142857142,0.08999999999999998,0.31999999999999995,0.7742857142857142
CHANNEL,g726_24k,0.25,300,0.22342857142857142,0.08999999999999998,0.31999999999999995,0.7742857142857142
CHANNEL,g726_24k,0.3,300,0.21657142857142858,0.08999999999999998,0.31000000000000005,0.7807142857142857
CHANNEL,opus_nb_8k,0.0,300,0.45657142857142863,0.26,0.39,0.6027142857142858
CHANNEL,opus_nb_8k,0.05,300,0.45657142857142863,0.26,0.39,0.6027142857142858
CHANNEL,opus_nb_8k,0.1,300,0.44971428571428573,0.26,0.39,0.6061428571428571
CHANNEL,opus_nb_8k,0.15,300,0.44685714285714284,0.26,0.38,0.6105714285714285
CHANNEL,opus_nb_8k,0.2,300,0.44685714285714284,0.26,0.38,0.6105714285714285
CHANNEL,opus_nb_8k,0.25,300,0.44685714285714284,0.26,0.37,0.6135714285714287
CHANNEL,opus_nb_8k,0.3,300,0.43999999999999995,0.26,0.36,0.6200000000000001
CHANNEL,resample8k,0.0,300,0.25657142857142856,0.050000000000000024,0.43000000000000005,0.7327142857142857
CHANNEL,resample8k,0.05,300,0.25657142857142856,0.050000000000000024,0.43000000000000005,0.7327142857142857
CHANNEL,resample8k,0.1,300,0.24685714285714283,0.050000000000000024,0.42000000000000004,0.7405714285714284
CHANNEL,resample8k,0.15,300,0.24685714285714283,0.050000000000000024,0.42000000000000004,0.7405714285714284
CHANNEL,resample8k,0.2,300,0.24,0.050000000000000024,0.4,0.75
CHANNEL,resample8k,0.25,300,0.24685714285714283,0.050000000000000024,0.36,0.7585714285714285
CHANNEL,resample8k,0.3,300,0.24685714285714283,0.050000000000000024,0.35,0.7615714285714286
AUDIO_TYPE,mixed,0.0,400,0.38833333333333336,0.235,0.46499999999999997,0.6193333333333333
AUDIO_TYPE,mixed,0.05,400,0.3983333333333333,0.235,0.46499999999999997,0.6143333333333334
AUDIO_TYPE,mixed,0.1,400,0.4,0.235,0.475,0.6105
AUDIO_TYPE,mixed,0.15,400,0.4,0.235,0.46499999999999997,0.6135
AUDIO_TYPE,mixed,0.2,400,0.38166666666666665,0.235,0.45499999999999996,0.6256666666666667
AUDIO_TYPE,mixed,0.25,400,0.38,0.235,0.43000000000000005,0.634
AUDIO_TYPE,mixed,0.3,400,0.36,0.235,0.42000000000000004,0.647
AUDIO_TYPE,music,0.0,400,0.355,,0.37,0.5115000000000001
AUDIO_TYPE,music,0.05,400,0.35,,0.355,0.5185
AUDIO_TYPE,music,0.1,400,0.35,,0.33499999999999996,0.5245
AUDIO_TYPE,music,0.15,400,0.35,,0.32999999999999996,0.526
AUDIO_TYPE,music,0.2,400,0.355,,0.31999999999999995,0.5265
AUDIO_TYPE,music,0.25,400,0.36,,0.32999999999999996,0.521
AUDIO_TYPE,music,0.3,400,0.345,,0.33499999999999996,0.527
AUDIO_TYPE,voice,0.0,400,0.06999999999999998,0.06999999999999998,,0.651
AUDIO_TYPE,voice,0.05,400,0.050000000000000024,0.06999999999999998,,0.661
AUDIO_TYPE,voice,0.1,400,0.05500000000000002,0.06999999999999998,,0.6585
AUDIO_TYPE,voice,0.15,400,0.04500000000000002,0.06999999999999998,,0.6635
AUDIO_TYPE,voice,0.2,400,0.04500000000000002,0.06999999999999998,,0.6635
AUDIO_TYPE,voice,0.25,400,0.04500000000000002,0.06999999999999998,,0.6635
AUDIO_TYPE,voice,0.3,400,0.04500000000000002,0.06999999999999998,,0.6635
