MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_SOURCE_KIND,MUSIC_AUDIO_SHA256,SEMANTIC_RULE,PANNS_ANY_VOICE_MAX,DEMUCS_VOCAL_TO_MIX_DB,INSTRUMENTAL_PANNS_MAX,DEMUCS_MAX_DB,JOINT_PANNS_MIN,JOINT_DEMUCS_MIN_DB,SEMANTIC_SCREEN_PASS
021707,fma:21707,FMA,fma_instrumental,d26b96b3fa5c7f47a5734222178039c23e80eb32557bf1e63eaad7fe110b176f,instrumental_voice_absence,0.522908091545105,-7.605260301413241,0.2,-1.5,0.2,-20.0,False
148981,fma:148981,FMA,fma_instrumental,4e5d84837a0c68978f335721f1bf280644dcc067e9b1bcbd2ad0eb41e24d7f16,instrumental_voice_absence,0.04813040420413017,-10.0373687843077,0.2,-1.5,0.2,-20.0,True
057381,fma:57381,FMA,fma_instrumental,310e039a8e640694d702982f5ab12e8967d079010bcbc9ed04f31acb2baff835,instrumental_voice_absence,0.029939984902739525,-39.16611687836229,0.2,-1.5,0.2,-20.0,True
075893,fma:75893,FMA,fma_instrumental,48342d9860bbde44bdefa786588ea5da31d9c75c17e56857cc5898555878792b,instrumental_voice_absence,0.029129691421985626,-59.68373777228272,0.2,-1.5,0.2,-20.0,True
007488,fma:7488,FMA,fma_instrumental,77e46287efc2842fd2a8a7cd6a186a8c7942e559950bfd28b40ecc8d617973de,instrumental_voice_absence,0.7789776921272278,-5.054243799894848,0.2,-1.5,0.2,-20.0,False
000148,fma:148,FMA,fma_instrumental,c8cde8e5d0319f796e286ca0f915fb0341bf7b877c499557aed17693c2b83cd1,instrumental_voice_absence,0.19065624475479126,-30.543239946510646,0.2,-1.5,0.2,-20.0,True
035002,fma:35002,FMA,fma_instrumental,5e2ba256f459c551f836c3d9b417bea5a188e97fe9185c09326719b0b78d5bb9,instrumental_voice_absence,0.0393470898270607,-22.863077238513636,0.2,-1.5,0.2,-20.0,True
041964,fma:41964,FMA,fma_instrumental,b96e350854632cbd0754af70784561e9c527ea0050f72aaa0491c61873a4cde6,instrumental_voice_absence,0.07662373036146164,-15.338195796016805,0.2,-1.5,0.2,-20.0,True
054734,fma:54734,FMA,fma_instrumental,d352fe1441c649369c4272204bace2703ac2b84664ce54b77c44510584b91a34,instrumental_voice_absence,0.24274641275405884,-5.1200339687904055,0.2,-1.5,0.2,-20.0,False
084622,fma:84622,FMA,fma_instrumental,7f9b5b111a753b7d396de8fccc878867d86ed15432c96b6dfbb286697764aad2,instrumental_voice_absence,0.04231621325016022,-61.630868861956706,0.2,-1.5,0.2,-20.0,True
076664,fma:76664,FMA,fma_instrumental,6a599b5baf82fbdb839de523d7f28ce5905cebdb2167c375657d1660fc126162,instrumental_voice_absence,0.030450886115431786,-6.758070560086125,0.2,-1.5,0.2,-20.0,True
098220,fma:98220,FMA,fma_instrumental,8c0633f90ecdc5e2b45f212befa319cc77878a77f4bb8f92996538a0f51620a4,instrumental_voice_absence,0.4050314426422119,-3.824438369336886,0.2,-1.5,0.2,-20.0,False
FM_audioldm2_xMsgBL9Sunw,fmc:xMsgBL9Sunw,audioldm2,fakemusiccaps_instrumental,98c8ce39aea4c43399de506ecdf9b22414734e5242b8fab9b22fe56a3447cc59,instrumental_voice_absence,0.023528628051280975,-50.07327045783336,0.2,-1.5,0.2,-20.0,True
FM_musicldm_Ip6FptuXHyk,fmc:Ip6FptuXHyk,musicldm,fakemusiccaps_instrumental,e7410bea02beb68515a3655caa9ef30fa9968d85d3a2e7008a1698eac866db8f,instrumental_voice_absence,0.01842968538403511,-50.47987683527387,0.2,-1.5,0.2,-20.0,True
FM_MusicGen_medium_NlCfScKw_Mk,fmc:NlCfScKw_Mk,MusicGen_medium,fakemusiccaps_instrumental,eeff0060f6cd2afaf9128f234a584fb6663f40c3a1da2aa343e66b676ad5fb52,instrumental_voice_absence,0.024649973958730698,-58.239577308054095,0.2,-1.5,0.2,-20.0,True
FM_mustango_-BIMKnb3tlo,fmc:-BIMKnb3tlo,mustango,fakemusiccaps_instrumental,97c695b6f0cc3158b779d56bf99c82ca063f0f7fb8267dde933368df3265b2d8,instrumental_voice_absence,0.05068117752671242,-29.92315574218461,0.2,-1.5,0.2,-20.0,True
FM_stable_audio_open_VB82vMSTYK0,fmc:VB82vMSTYK0,stable_audio_open,fakemusiccaps_instrumental,017a1ea7a94d4bbfb190ef739e59e2b9a17baca8bf6428b05b5d1645695f07a6,instrumental_voice_absence,0.029915373772382736,-41.355373923787056,0.2,-1.5,0.2,-20.0,True
FM_audioldm2_2iFgXSXdqLo,fmc:2iFgXSXdqLo,audioldm2,fakemusiccaps_instrumental,fa287841eb8e992dc0c68987fbc7d555c1326d1b6705853f5e1bcc85caebaf1b,instrumental_voice_absence,0.01908249408006668,-54.97222731678585,0.2,-1.5,0.2,-20.0,True
FM_musicldm_6elnFyuUnaU,fmc:6elnFyuUnaU,musicldm,fakemusiccaps_instrumental,a6ba3ac5fe9e4c3ba0561a96f0cfdafb4b31f229d900e917474ec1817b65b88a,instrumental_voice_absence,0.024234235286712646,-46.97331655518771,0.2,-1.5,0.2,-20.0,True
FM_MusicGen_medium_WQsuFvw43RA,fmc:WQsuFvw43RA,MusicGen_medium,fakemusiccaps_instrumental,cfb04755ec8d3777fb3f642e3774c4b08a77e62bea7506d05c1b7e5e97d98b4e,instrumental_voice_absence,0.02932497300207615,-53.99800576808293,0.2,-1.5,0.2,-20.0,True
FM_mustango_XYOnq7ju7o0,fmc:XYOnq7ju7o0,mustango,fakemusiccaps_instrumental,e9ef9d1270b83f66f20320da9a66e8686333a2322ec826896f838d15a4ff8094,instrumental_voice_absence,0.12776634097099304,-5.845052923941768,0.2,-1.5,0.2,-20.0,True
FM_stable_audio_open_HXG8DnTpyPc,fmc:HXG8DnTpyPc,stable_audio_open,fakemusiccaps_instrumental,396fd9709d6607f13cdde5be0009bab2e04320680ec703f628c4c172b911f989,instrumental_voice_absence,0.030499635264277458,-62.666766724877554,0.2,-1.5,0.2,-20.0,True
FM_audioldm2_tsdNl72WVs4,fmc:tsdNl72WVs4,audioldm2,fakemusiccaps_instrumental,f4b46f37eb5404c2b13a76d035950f10d8304885fd72681dc9b6a0d12b67147e,instrumental_voice_absence,0.0779595896601677,-20.23230318099971,0.2,-1.5,0.2,-20.0,True
FM_musicldm_Q0VVfneN8MI,fmc:Q0VVfneN8MI,musicldm,fakemusiccaps_instrumental,0bc260c407702d6883beab5c78f8243ab0dd832745d22b0df4c02de3b31fbbf9,instrumental_voice_absence,0.02609645389020443,-41.25167878057978,0.2,-1.5,0.2,-20.0,True
118056,fma:118056,FMA,fma_instrumental,4fd426423479f0fab751ea78dac6ebe9f2bce8b1bdee7076ab8c24a8cbcb0263,instrumental_voice_absence,0.12837259471416473,-37.31040373931235,0.2,-1.5,0.2,-20.0,True
112495,fma:112495,FMA,fma_instrumental,967ad56ceba2a478efab28b438bdd476a5a9181f8bdd4c7dce7f3979d3b8479c,instrumental_voice_absence,0.028316745534539223,-30.335443527365726,0.2,-1.5,0.2,-20.0,True
072007,fma:72007,FMA,fma_instrumental,d7cdd3417886e98d35417b960d1fca34c61ccff9b96779ecbd9dcbd074772e05,instrumental_voice_absence,0.03723954036831856,-54.09853830948491,0.2,-1.5,0.2,-20.0,True
030689,fma:30689,FMA,fma_instrumental,51c3175dc0f4493f8a4c4efbf1795eb7637342ce8054094d7d4d137be80d49b9,instrumental_voice_absence,0.04294627159833908,-47.69421445492536,0.2,-1.5,0.2,-20.0,True
059580,fma:59580,FMA,fma_instrumental,24b934699712e19d9a48751a40911027a15c78faaf94720bb54a9479bfdf798e,instrumental_voice_absence,0.03528361767530441,-49.67819824026591,0.2,-1.5,0.2,-20.0,True
075414,fma:75414,FMA,fma_instrumental,8ff021088789b9c389c42d255ea806556f19cf0089d0d61ea5ee128340a70b42,instrumental_voice_absence,0.12857888638973236,-6.277472560328232,0.2,-1.5,0.2,-20.0,True
FM_MusicGen_medium_Vci2eZYzA-c,fmc:Vci2eZYzA-c,MusicGen_medium,fakemusiccaps_instrumental,96f4b34377caf2b04cffe207de6c4bf3fac9ad96c59528828a5c4d6c7c533c3e,instrumental_voice_absence,0.030618425458669662,-23.017973100966632,0.2,-1.5,0.2,-20.0,True
FM_mustango_tnJb9WyhCUc,fmc:tnJb9WyhCUc,mustango,fakemusiccaps_instrumental,15977ca9c74aa4da3300f062e877e3a3118b58c5712252fc3099428074b39539,instrumental_voice_absence,0.03120686113834381,-46.04443774085795,0.2,-1.5,0.2,-20.0,True
FM_stable_audio_open_uUNlJ4KZTPE,fmc:uUNlJ4KZTPE,stable_audio_open,fakemusiccaps_instrumental,5117b21c9137678ed0c0801ef6bdde7f2708342fabc288c1a858d2b61a86cacf,instrumental_voice_absence,0.021135317161679268,-40.71210358980452,0.2,-1.5,0.2,-20.0,True
FM_audioldm2_cX926M1_LqM,fmc:cX926M1_LqM,audioldm2,fakemusiccaps_instrumental,4b3c58cad89ae4f86443e0413c7c8eb560ca1bd79b3380fe6f485e29338bb1dc,instrumental_voice_absence,0.13330481946468353,-24.2342382930735,0.2,-1.5,0.2,-20.0,True
