ID,EAT_VOICE_PRESENT_PROB,EAT_MUSIC_PRESENT_PROB
factorial_0001,0.9004597067832947,0.025960668921470642
factorial_0009,0.7015707492828369,0.028516238555312157
factorial_0017,0.6436886787414551,0.02660500444471836
factorial_0025,0.017992381006479263,0.8364687561988831
factorial_0033,0.011827708221971989,0.8724043965339661
factorial_0041,0.028146935626864433,0.8660596609115601
factorial_0049,0.03753804787993431,0.8822265863418579
factorial_0057,0.8101709485054016,0.03699125722050667
factorial_0065,0.7722718119621277,0.024163654074072838
factorial_0073,0.9162517189979553,0.040598321706056595
factorial_0081,0.015578024089336395,0.8432081937789917
factorial_0089,0.03650210052728653,0.9057307243347168
factorial_0097,0.005824685096740723,0.8765316605567932
factorial_0105,0.7010360956192017,0.9421192407608032
factorial_0113,0.3325314223766327,0.9020983576774597
factorial_0121,0.558152437210083,0.9527932405471802
factorial_0129,0.932991623878479,0.9063094258308411
factorial_0137,0.8182845711708069,0.9259980320930481
factorial_0145,0.5048646926879883,0.9417980909347534
factorial_0153,0.6729010939598083,0.6951500177383423
factorial_0161,0.7165676355361938,0.8976852297782898
factorial_0169,0.7926077842712402,0.7614098787307739
factorial_0177,0.7639697194099426,0.5704621076583862
factorial_0185,0.9049010872840881,0.0856812596321106
factorial_0193,0.8732015490531921,0.9226734042167664
factorial_0201,0.9350250363349915,0.8334950804710388
factorial_0209,0.8404984474182129,0.9236968159675598
factorial_0217,0.8065627217292786,0.8367722034454346
factorial_0225,0.5639376044273376,0.5528784394264221
factorial_0233,0.8302633166313171,0.1833241879940033
factorial_0241,0.813353955745697,0.8439888954162598
factorial_0249,0.8980642557144165,0.7711081504821777
factorial_0257,0.9015626907348633,0.8904047012329102
factorial_0265,0.7754938006401062,0.88713139295578
factorial_0273,0.7967907190322876,0.9528319835662842
factorial_0281,0.6659582853317261,0.8989023566246033
factorial_0289,0.7928755879402161,0.8976254463195801
factorial_0297,0.9218196868896484,0.9135051369667053
factorial_0305,0.8411123156547546,0.8300415873527527
factorial_0313,0.9064504504203796,0.9137071967124939
factorial_0321,0.8059512376785278,0.8784812688827515
factorial_0329,0.7435247302055359,0.7239298224449158
factorial_0337,0.8808223009109497,0.9098309874534607
factorial_0345,0.8842353224754333,0.9603090882301331
factorial_0353,0.7886004447937012,0.9156618714332581
factorial_0361,0.843487560749054,0.9301109313964844
factorial_0369,0.7611449360847473,0.7981011867523193
factorial_0377,0.8873429298400879,0.8990620970726013
factorial_0385,0.8315504193305969,0.9132290482521057
factorial_0393,0.7571964859962463,0.6665202379226685
factorial_0401,0.9066194295883179,0.025862127542495728
factorial_0409,0.8283370137214661,0.014368465170264244
factorial_0417,0.8994271159172058,0.047013506293296814
factorial_0425,0.02125490829348564,0.8823337554931641
factorial_0433,0.02739335596561432,0.9023725986480713
factorial_0441,0.022927094250917435,0.41821059584617615
factorial_0449,0.040997639298439026,0.6939817667007446
factorial_0457,0.6834414601325989,0.026506826281547546
factorial_0465,0.7441408634185791,0.018737275153398514
factorial_0473,0.7704354524612427,0.02701609395444393
factorial_0481,0.007961313240230083,0.8526787757873535
factorial_0489,0.0709853321313858,0.7012003660202026
factorial_0497,0.015783466398715973,0.8914351463317871
factorial_0505,0.7880138754844666,0.9126891493797302
factorial_0513,0.45710036158561707,0.9331532120704651
factorial_0521,0.7319677472114563,0.9172913432121277
