ROUTE,FILE_NONPHONE_W,FILE_PHONE_W,VOICE_NONPHONE_W,VOICE_PHONE_W,dev,factorial,phone,yue,factorial_plus_phone,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,factorial_plus_phone_DELTA,MIN_AUDIT_DELTA,MEAN_AUDIT_DELTA
hard,0.15,0.3,0.15,0.2,0.7891428571428571,0.7836363636363637,0.8808214285714286,0.8918909244974288,0.8424900780379041,0.008779220779220775,0.0034285714285715585,0.004714285714285893,0.03837862318840579,-0.0021342251950947633,0.0034285714285715585,0.013825175277621005
soft,0.15,0.3,0.15,0.2,0.7891428571428571,0.7836363636363637,0.8808214285714286,0.8918909244974288,0.8424900780379041,0.008779220779220775,0.0034285714285715585,0.004714285714285893,0.03837862318840579,-0.0021342251950947633,0.0034285714285715585,0.013825175277621005
soft,0.15,0.275,0.15,0.2,0.7891428571428571,0.7836363636363637,0.8796071428571428,0.8918909244974288,0.8431464882943145,0.008779220779220775,0.0034285714285715585,0.0035000000000000586,0.03837862318840579,-0.0014778149386843742,0.0034285714285715585,0.013521603849049546
hard,0.15,0.3,0.2,0.275,0.788,0.7836363636363637,0.8838214285714285,0.8881409244974288,0.8421422519509476,0.007636363636363663,0.0034285714285715585,0.007714285714285785,0.03462862318840576,-0.0024820512820512564,0.0034285714285715585,0.013351960991906692
soft,0.15,0.3,0.2,0.275,0.788,0.7836363636363637,0.8838214285714285,0.8881409244974288,0.8421422519509476,0.007636363636363663,0.0034285714285715585,0.007714285714285785,0.03462862318840576,-0.0024820512820512564,0.0034285714285715585,0.013351960991906692
soft,0.15,0.275,0.2,0.275,0.788,0.7836363636363637,0.8826071428571429,0.8881409244974288,0.8427986622073579,0.007636363636363663,0.0034285714285715585,0.006500000000000172,0.03462862318840576,-0.0018256410256409783,0.0034285714285715585,0.013048389563335289
hard,0.15,0.3,0.2,0.25,0.788,0.7836363636363637,0.8823214285714285,0.8881409244974288,0.8424900780379041,0.007636363636363663,0.0034285714285715585,0.006214285714285728,0.03462862318840576,-0.0021342251950947633,0.0034285714285715585,0.012976960991906678
soft,0.15,0.3,0.2,0.25,0.788,0.7836363636363637,0.8823214285714285,0.8881409244974288,0.8424900780379041,0.007636363636363663,0.0034285714285715585,0.006214285714285728,0.03462862318840576,-0.0021342251950947633,0.0034285714285715585,0.012976960991906678
hard,0.1,0.3,0.15,0.2,0.7853246753246753,0.7836363636363637,0.8808214285714286,0.8918909244974288,0.8431464882943145,0.004961038961038944,0.0034285714285715585,0.004714285714285893,0.03837862318840579,-0.0014778149386843742,0.0034285714285715585,0.012870629823075547
soft,0.1,0.3,0.15,0.2,0.7853246753246753,0.7836363636363637,0.8808214285714286,0.8918909244974288,0.8440593088071349,0.004961038961038944,0.0034285714285715585,0.004714285714285893,0.03837862318840579,-0.0005649944258639961,0.0034285714285715585,0.012870629823075547
