MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_ARCHIVE_MEMBER,AUDIO_SHA256,PANNS_VOCAL_MAX,PANNS_SPEECH_MAX,PANNS_ANY_VOICE_MAX,PANNS_SINGING,PANNS_MALE_SINGING,PANNS_FEMALE_SINGING,PANNS_CHILD_SINGING,PANNS_SYNTHETIC_SINGING,PANNS_CHOIR,PANNS_YODELING,PANNS_CHANT,PANNS_RAPPING,PANNS_HUMMING,PANNS_OPERA,PANNS_VOCAL_MUSIC,DEMUCS_VOCAL_TO_MIX_DB,DEMUCS_VOCAL_TO_RESIDUAL_DB,PANNS_THRESHOLD,PANNS_FLAG,DEMUCS_THRESHOLD_DB,DEMUCS_FLAG,ACOUSTIC_SCREEN_PASS,REVIEW_REASON
FM_audioldm2_lDABsoatahM,fmc:lDABsoatahM,audioldm2,unmixed_dataset/eval/FM_audioldm2_lDABsoatahM.wav,0ee52e5cac7578615cdbc2668b3fe577f5306e614a424c24b266efe05a29ab3a,0.038603127002716064,0.044840969145298004,0.044840969145298004,0.038603127002716064,0.0018837489187717438,0.007564042694866657,0.0058418381959199905,0.002921611536294222,0.0013768700882792473,0.002386460080742836,0.0008392639574594796,0.00025388854555785656,0.0014236938441172242,0.002430608728900552,0.00204064860008657,-51.33398001712254,-51.29055144208161,0.2,False,-1.5,False,True,
FM_audioldm2_aq3vov8-fw8,fmc:aq3vov8-fw8,audioldm2,unmixed_dataset/eval/FM_audioldm2_aq3vov8-fw8.wav,ded2b4d2dcc38eb599624396a2e9f3a89de8333125c9e7898cf89365cd28a94d,0.005958066321909428,0.0386505126953125,0.0386505126953125,0.0046653663739562035,0.0008382972446270287,0.0007014771108515561,0.0005629344377666712,0.0005613891407847404,0.0023848176933825016,0.0002516662352718413,0.0012383784633129835,0.00032275632838718593,0.0023563336580991745,0.005958066321909428,0.0013505020178854465,-50.7265737532165,-50.68920454403702,0.2,False,-1.5,False,True,
FM_audioldm2_KUE_I30--AY,fmc:KUE_I30--AY,audioldm2,unmixed_dataset/eval/FM_audioldm2_KUE_I30--AY.wav,8f6d551f7192dcb12541e6581209daf13a4f40b0666c96439e76a9ae518d920f,0.005532517097890377,0.09516661614179611,0.09516661614179611,0.005532517097890377,0.0003032039967365563,0.00028649167506955564,0.00013592923642136157,0.0003674908948596567,0.0007203309214673936,9.461840090807527e-05,0.00042958566336892545,0.0024678842164576054,0.00013140692317392677,0.00028252575430087745,0.002113513881340623,-5.765130740197125,-3.1169817713244092,0.2,False,-1.5,False,True,
FM_audioldm2_grisjVTZeTk,fmc:grisjVTZeTk,audioldm2,unmixed_dataset/eval/FM_audioldm2_grisjVTZeTk.wav,251455ad3fea2ba8bdf4bf4dca498c3d525b304d662e3fb03429a425d9e58e02,0.004042258486151695,0.04666485637426376,0.04666485637426376,0.004042258486151695,0.0005837486824020743,0.0003804359585046768,0.00030189877725206316,0.00036188281956128776,0.00045310668065212667,0.00011693350097630173,0.0002913447970058769,0.0004713466332759708,8.274747233372182e-05,0.00042259827023372054,0.0004652328207157552,-53.14043191806937,-53.094252587710464,0.2,False,-1.5,False,True,
FM_audioldm2_nxdHojfss_A,fmc:nxdHojfss_A,audioldm2,unmixed_dataset/eval/FM_audioldm2_nxdHojfss_A.wav,51d8e6f7e3dcd17ca4d8bcdc92c43a0bb7aa5df0455bfbb9d0ba6219aff07456,0.005527400877326727,0.029823506250977516,0.029823506250977516,0.005527400877326727,0.0006391573115251958,0.0004583577101584524,0.000282218330539763,0.00017613645468372852,0.003750190371647477,0.00011377891496522352,0.0016564406687393785,0.00035486402339302003,0.0008906216244213283,0.0023681530728936195,0.0014875541673973203,-51.9048223851629,-51.87778221410526,0.2,False,-1.5,False,True,
FM_audioldm2_5a_Qxd4ECTo,fmc:5a_Qxd4ECTo,audioldm2,unmixed_dataset/eval/FM_audioldm2_5a_Qxd4ECTo.wav,f8139cdcd03a0d04b6889c3949e13d822c16858fa20057320ce7f1b6a0ae77dc,0.0016760333674028516,0.09368056803941727,0.09368056803941727,0.0016760333674028516,0.00017891841707751155,5.898442032048479e-05,4.192525375401601e-05,8.449589222436771e-05,0.00012166504166088998,3.162767461617477e-05,0.00022809288930147886,0.0006234661559574306,4.336719212005846e-05,8.560113201383501e-05,0.0004041296197101474,-47.583914803552474,-47.47798467511067,0.2,False,-1.5,False,True,
FM_audioldm2_9gkppwB5CXA,fmc:9gkppwB5CXA,audioldm2,unmixed_dataset/eval/FM_audioldm2_9gkppwB5CXA.wav,dcbd3f00633d9048ee09d9f127c8ae4b139947e68dc8e2a63bacc1f81c2f419d,0.012880094349384308,0.03528207540512085,0.03528207540512085,0.012880094349384308,0.0002226794749731198,0.00020283837511669844,9.750941535457969e-05,6.975652649998665e-05,0.0004878206236753613,2.949894405901432e-05,9.882376616587862e-05,0.0002301544591318816,0.00012207793770357966,0.0001592254120623693,0.00022910138068255037,-48.44578729850654,-48.31409441206312,0.2,False,-1.5,False,True,
FM_audioldm2_Ls6qMcgpdlM,fmc:Ls6qMcgpdlM,audioldm2,unmixed_dataset/eval/FM_audioldm2_Ls6qMcgpdlM.wav,90ef8b0ba9459dac0d04eff3e73fc35894ea03295dd5b7fbd0b2049b26dcd470,0.014866895973682404,0.025925133377313614,0.025925133377313614,0.014866895973682404,0.0003011791850440204,0.0002085907181026414,0.00010447860404383391,0.00015126245853025466,0.0006344044813886285,7.336075213970616e-05,0.00018391972116660327,0.0007577275391668081,0.00019416798022575676,0.0003651500737760216,0.0004804506024811417,-54.42360567111811,-53.87460171785065,0.2,False,-1.5,False,True,
FM_MusicGen_medium_VwkRHbqpHqk,fmc:VwkRHbqpHqk,MusicGen_medium,unmixed_dataset/eval/FM_MusicGen_medium_VwkRHbqpHqk.wav,9418d2abff336c925f78b83babfaf2a38d18b08a1f4540a01192da6fea4a98bc,0.004380699247121811,0.018866663798689842,0.018866663798689842,0.0016312444349750876,0.00016885953664314002,0.0006327842711471021,0.0004212553321849555,0.0005624761106446385,0.0007560923113487661,0.00013919273624196649,0.00019149776198901236,0.000247355957981199,3.706608185893856e-05,0.004380699247121811,0.00015348130546044558,-49.79670372946816,-49.77867046469234,0.2,False,-1.5,False,True,
FM_MusicGen_medium_nL4zx0-mi14,fmc:nL4zx0-mi14,MusicGen_medium,unmixed_dataset/eval/FM_MusicGen_medium_nL4zx0-mi14.wav,789671402e9e0955bee6988853396333261b1807bdbdab48cf84705e00f92005,0.017815707251429558,0.02066194824874401,0.02066194824874401,0.017815707251429558,0.0008412387687712908,0.001798331388272345,0.0007348844083026052,0.00021013939112890512,0.002056203782558441,0.00018668339180294424,0.00048041995614767075,0.00017028918955475092,0.008879761211574078,0.0016207773005589843,0.0009085533092729747,-53.16379617793998,-53.160726679693894,0.2,False,-1.5,False,True,
