axis,group,model,n,real_n,fake_n,FILE_EER
ALL,ALL,parent,2160,630,1530,0.24267040149393093
ALL,ALL,global,2160,630,1530,0.2318860877684407
ALL,ALL,local,2160,630,1530,0.265219421101774
ALL,ALL,eat_control,2160,630,1530,0.2616713352007469
ALL,ALL,eat_adapted,2160,630,1530,0.2541083099906629
DURATION,10,parent,720,210,510,0.27535014005602243
DURATION,10,global,720,210,510,0.26232492997198875
DURATION,10,local,720,210,510,0.31400560224089635
DURATION,10,eat_control,720,210,510,0.2473389355742297
DURATION,10,eat_adapted,720,210,510,0.2473389355742297
DURATION,30,parent,720,210,510,0.2343137254901961
DURATION,30,global,720,210,510,0.21400560224089638
DURATION,30,local,720,210,510,0.26232492997198875
DURATION,30,eat_control,720,210,510,0.23235294117647057
DURATION,30,eat_adapted,720,210,510,0.2343137254901961
DURATION,60,parent,720,210,510,0.20868347338935578
DURATION,60,global,720,210,510,0.18067226890756305
DURATION,60,local,720,210,510,0.21400560224089638
DURATION,60,eat_control,720,210,510,0.2439775910364146
DURATION,60,eat_adapted,720,210,510,0.21932773109243697
CHANNEL,clean,parent,720,210,510,0.1816526610644258
CHANNEL,clean,global,720,210,510,0.18599439775910365
CHANNEL,clean,local,720,210,510,0.22366946778711483
CHANNEL,clean,eat_control,720,210,510,0.19999999999999998
CHANNEL,clean,eat_adapted,720,210,510,0.1903361344537815
CHANNEL,g711_ulaw,parent,720,210,510,0.1903361344537815
CHANNEL,g711_ulaw,global,720,210,510,0.19467787114845936
CHANNEL,g711_ulaw,local,720,210,510,0.18935574229691876
CHANNEL,g711_ulaw,eat_control,720,210,510,0.22464985994397757
CHANNEL,g711_ulaw,eat_adapted,720,210,510,0.23767507002801122
CHANNEL,opus_nb_8k,parent,720,210,510,0.36232492997198884
CHANNEL,opus_nb_8k,global,720,210,510,0.30532212885154064
CHANNEL,opus_nb_8k,local,720,210,510,0.3666666666666667
CHANNEL,opus_nb_8k,eat_control,720,210,510,0.2903361344537815
CHANNEL,opus_nb_8k,eat_adapted,720,210,510,0.280672268907563
AUDIO_TYPE,mixed,parent,1800,450,1350,0.24444444444444446
AUDIO_TYPE,mixed,global,1800,450,1350,0.2485185185185185
AUDIO_TYPE,mixed,local,1800,450,1350,0.28629629629629627
AUDIO_TYPE,mixed,eat_control,1800,450,1350,0.27555555555555555
AUDIO_TYPE,mixed,eat_adapted,1800,450,1350,0.2733333333333333
AUDIO_TYPE,music,parent,180,90,90,0.3111111111111111
AUDIO_TYPE,music,global,180,90,90,0.25555555555555554
AUDIO_TYPE,music,local,180,90,90,0.34444444444444444
AUDIO_TYPE,music,eat_control,180,90,90,0.28888888888888886
