WPT_WEIGHT,FILE_EER,ADS_WITH_V24_VOICE,clean,g711_ulaw,g722_wb,opus_nb_8k,transcode_g711_opus
0.0,0.21944444444444444,0.8094444444444444,0.09722222222222224,0.2638888888888889,0.08333333333333334,0.33333333333333337,0.33333333333333337
0.1,0.23055555555555554,0.8038888888888889,0.09722222222222224,0.25,0.08333333333333334,0.33333333333333337,0.33333333333333337
0.2,0.23055555555555554,0.8038888888888889,0.08333333333333334,0.25,0.08333333333333334,0.3472222222222222,0.2638888888888889
0.3,0.21944444444444444,0.8094444444444444,0.08333333333333334,0.25,0.08333333333333334,0.41666666666666663,0.25
0.4,0.21666666666666667,0.8108333333333333,0.08333333333333334,0.25,0.09722222222222224,0.41666666666666663,0.2638888888888889
0.5,0.2333333333333333,0.8025,0.16666666666666663,0.25,0.09722222222222224,0.4027777777777778,0.2638888888888889
0.6,0.25,0.7941666666666667,0.16666666666666663,0.25,0.09722222222222224,0.4027777777777778,0.3194444444444444
0.7,0.2666666666666667,0.7858333333333334,0.16666666666666663,0.25,0.16666666666666663,0.3472222222222222,0.33333333333333337
0.8,0.2666666666666667,0.7858333333333334,0.2361111111111111,0.25,0.25,0.4027777777777778,0.33333333333333337
0.9,0.2833333333333333,0.7775000000000001,0.25,0.25,0.25,0.33333333333333337,0.33333333333333337
1.0,0.2666666666666667,0.7858333333333334,0.25,0.25,0.25,0.33333333333333337,0.33333333333333337
