TASK,EXPERT,WEIGHT,EER,WORST_CHANNEL_EER,MEAN_CHANNEL_EER
FILE,v24,0.0,0.21944444444444444,0.33333333333333337,0.22222222222222224
FILE,v24,0.05,0.23055555555555554,0.33333333333333337,0.23333333333333334
FILE,v24,0.1,0.23055555555555554,0.33333333333333337,0.2361111111111111
FILE,v24,0.15,0.2333333333333333,0.33333333333333337,0.25
FILE,v24,0.2,0.2333333333333333,0.33333333333333337,0.25
FILE,v24,0.25,0.23611111111111113,0.33333333333333337,0.25
FILE,v24,0.3,0.23611111111111113,0.33333333333333337,0.2611111111111111
FILE,v24,0.35,0.23611111111111113,0.3472222222222222,0.26666666666666666
FILE,v24,0.4,0.24722222222222223,0.3472222222222222,0.25555555555555554
FILE,v24,0.45,0.24722222222222223,0.3472222222222222,0.25555555555555554
FILE,v24,0.5,0.23611111111111113,0.3472222222222222,0.25555555555555554
FILE,v24,0.55,0.23611111111111113,0.4027777777777778,0.26666666666666666
FILE,v24,0.6,0.23611111111111113,0.4027777777777778,0.26666666666666666
FILE,v24,0.65,0.23611111111111113,0.41666666666666663,0.27222222222222225
FILE,v24,0.7,0.23611111111111113,0.41666666666666663,0.27222222222222225
FILE,v24,0.75,0.23611111111111113,0.41666666666666663,0.29444444444444445
FILE,v24,0.8,0.2333333333333333,0.41666666666666663,0.2972222222222222
FILE,v24,0.85,0.2333333333333333,0.41666666666666663,0.2972222222222222
FILE,v24,0.9,0.23611111111111113,0.41666666666666663,0.3
FILE,v24,0.95,0.25,0.41666666666666663,0.3
FILE,v24,1.0,0.25277777777777777,0.41666666666666663,0.3
FILE,v39,0.0,0.21944444444444444,0.33333333333333337,0.22222222222222224
FILE,v39,0.05,0.21944444444444444,0.33333333333333337,0.21944444444444447
FILE,v39,0.1,0.21944444444444444,0.33333333333333337,0.21944444444444447
FILE,v39,0.15,0.23611111111111113,0.33333333333333337,0.21944444444444447
FILE,v39,0.2,0.24722222222222223,0.33333333333333337,0.2166666666666667
FILE,v39,0.25,0.23611111111111113,0.33333333333333337,0.21388888888888893
FILE,v39,0.3,0.2333333333333333,0.33333333333333337,0.21388888888888893
FILE,v39,0.35,0.2333333333333333,0.3472222222222222,0.21944444444444447
FILE,v39,0.4,0.23611111111111113,0.3472222222222222,0.21388888888888888
FILE,v39,0.45,0.23611111111111113,0.33333333333333337,0.21388888888888893
FILE,v39,0.5,0.2333333333333333,0.3194444444444444,0.20833333333333331
FILE,v39,0.55,0.23611111111111113,0.3194444444444444,0.19722222222222224
FILE,v39,0.6,0.23611111111111113,0.3194444444444444,0.20833333333333331
FILE,v39,0.65,0.21944444444444444,0.33333333333333337,0.23333333333333334
FILE,v39,0.7,0.2333333333333333,0.33333333333333337,0.23333333333333334
FILE,v39,0.75,0.2333333333333333,0.33333333333333337,0.24722222222222223
FILE,v39,0.8,0.2333333333333333,0.33333333333333337,0.24722222222222223
FILE,v39,0.85,0.2333333333333333,0.33333333333333337,0.24722222222222223
FILE,v39,0.9,0.23611111111111113,0.33333333333333337,0.24722222222222223
FILE,v39,0.95,0.25,0.33333333333333337,0.24722222222222223
FILE,v39,1.0,0.26388888888888884,0.33333333333333337,0.25
FILE,v41,0.0,0.21944444444444444,0.33333333333333337,0.22222222222222224
FILE,v41,0.05,0.21666666666666667,0.33333333333333337,0.21944444444444447
FILE,v41,0.1,0.21944444444444444,0.33333333333333337,0.22222222222222224
FILE,v41,0.15,0.23055555555555554,0.33333333333333337,0.21944444444444447
FILE,v41,0.2,0.2333333333333333,0.33333333333333337,0.2166666666666667
FILE,v41,0.25,0.2333333333333333,0.33333333333333337,0.2166666666666667
