COMBINED_ID,DATASET_KEY,ROLE,ROW_INDEX,ORIGINAL_ID,AUDIO_FILENAME,SOURCE_AUDIO,AUDIO_SHA256
v47c_000_0000000_efa4ab4dfe58d717f362,codec_mixed_blind_v5,locked_eval,0,cmbv5_0000__clean,v47c_000_0000000_efa4ab4dfe58d717f362.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0000__clean.flac,ede92ec5bc1bb3e61ebd4c2fb6d9b3203791ac7c4078cd017697c703c492bd4a
v47c_000_0000001_5070c9160d1a4a069e36,codec_mixed_blind_v5,locked_eval,1,cmbv5_0000__g711_ulaw,v47c_000_0000001_5070c9160d1a4a069e36.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0000__g711_ulaw.flac,fe237768b6c68d06da38033a9f6c78a74bd39ab4367d52465baa445d7147dadc
v47c_000_0000002_8c2347781386c60ca1e4,codec_mixed_blind_v5,locked_eval,2,cmbv5_0000__g722_wb,v47c_000_0000002_8c2347781386c60ca1e4.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0000__g722_wb.flac,caff5a4948cd70e3892f382b229187005d56ba7ca1be453f0d001550e06840aa
v47c_000_0000003_f3a2fe34b1a4d26acc4c,codec_mixed_blind_v5,locked_eval,3,cmbv5_0000__opus_nb_8k,v47c_000_0000003_f3a2fe34b1a4d26acc4c.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0000__opus_nb_8k.flac,483bc7e5e6ea3e1f55b45907c494b7b2646bddb84a50253821955f81998ad323
v47c_000_0000004_d1f20101513501408728,codec_mixed_blind_v5,locked_eval,4,cmbv5_0000__transcode_g711_opus,v47c_000_0000004_d1f20101513501408728.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0000__transcode_g711_opus.flac,8d03b860be36f869e5aebcca83a0445346fd180f6317a9b426cba98e56033a5e
v47c_000_0000005_9193ba6ca0b3c1b0d9c4,codec_mixed_blind_v5,locked_eval,5,cmbv5_0001__clean,v47c_000_0000005_9193ba6ca0b3c1b0d9c4.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0001__clean.flac,4bfca018c724bcffa46c06c8ea539e582b4131dcdcb8ecf6be11faa54480202b
v47c_000_0000006_f8ea71b7014b110c89d2,codec_mixed_blind_v5,locked_eval,6,cmbv5_0001__g711_ulaw,v47c_000_0000006_f8ea71b7014b110c89d2.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0001__g711_ulaw.flac,862b94fe4b3ab5048e948c5ffaf65dfb66c8948ccdc0279fa38c82b47597c830
v47c_000_0000007_19264da43e2fc0d450c1,codec_mixed_blind_v5,locked_eval,7,cmbv5_0001__g722_wb,v47c_000_0000007_19264da43e2fc0d450c1.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0001__g722_wb.flac,b22b6f0f1a1065b6e10feaecfa51a2ce6f42b286a24c78e2347f91ccddc11557
v47c_000_0000008_93933c3e1412387549b6,codec_mixed_blind_v5,locked_eval,8,cmbv5_0001__opus_nb_8k,v47c_000_0000008_93933c3e1412387549b6.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0001__opus_nb_8k.flac,ef47f3ac0aaf4139abb3d3f7aad7153070ad2e078ba51917e36572e80b6d957d
v47c_000_0000009_db92f30d549a42364503,codec_mixed_blind_v5,locked_eval,9,cmbv5_0001__transcode_g711_opus,v47c_000_0000009_db92f30d549a42364503.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0001__transcode_g711_opus.flac,a85c6f5f0f888e811b4c87600db7d8316ac87ccbd03fa4ec538c782e368f0187
v47c_000_0000010_73767a738e1a937b9f4a,codec_mixed_blind_v5,locked_eval,10,cmbv5_0002__clean,v47c_000_0000010_73767a738e1a937b9f4a.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0002__clean.flac,53ffc0f045513de3818faae59d8e89888e1aa3accd9f086cc5bd1fe9375570bb
v47c_000_0000011_cbebfb76590f2319511b,codec_mixed_blind_v5,locked_eval,11,cmbv5_0002__g711_ulaw,v47c_000_0000011_cbebfb76590f2319511b.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0002__g711_ulaw.flac,c254a4878636cf64d8781e13083490a7579f070deb9751862d0bc267214aef73
v47c_000_0000012_d33414e03e50d7302fef,codec_mixed_blind_v5,locked_eval,12,cmbv5_0002__g722_wb,v47c_000_0000012_d33414e03e50d7302fef.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0002__g722_wb.flac,aad7d083c283fc9a22a406f3af1ea91ea3b1fc3f2ee5d13da2f70b3f55db7b63
v47c_000_0000013_55a94c788056fd484351,codec_mixed_blind_v5,locked_eval,13,cmbv5_0002__opus_nb_8k,v47c_000_0000013_55a94c788056fd484351.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0002__opus_nb_8k.flac,0484afbadde291c8137ca5564eaf25c78d4d42e4a6ea7992ecb4f80a129b2ecc
v47c_000_0000014_59e0ef9cc5379dea7884,codec_mixed_blind_v5,locked_eval,14,cmbv5_0002__transcode_g711_opus,v47c_000_0000014_59e0ef9cc5379dea7884.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0002__transcode_g711_opus.flac,ca42364f016cc7271262631f430b4195ae981374a8365bfd63526a5677ac7c0b
v47c_000_0000015_685efa421a986e247f8d,codec_mixed_blind_v5,locked_eval,15,cmbv5_0003__clean,v47c_000_0000015_685efa421a986e247f8d.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0003__clean.flac,5659d71643b950e6cc020c7169187436b8e88893a3f1e92ce9730ee6d0bc64c3
v47c_000_0000016_828332db7edf851ca9f6,codec_mixed_blind_v5,locked_eval,16,cmbv5_0003__g711_ulaw,v47c_000_0000016_828332db7edf851ca9f6.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0003__g711_ulaw.flac,a5da8ab9a864854f62f92addcd3f715a816d87d88b820c140cda9c528a80c051
v47c_000_0000017_988b93eab6d59e6e497e,codec_mixed_blind_v5,locked_eval,17,cmbv5_0003__g722_wb,v47c_000_0000017_988b93eab6d59e6e497e.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0003__g722_wb.flac,8aee1df1b4b88a451e80ada8bab06209b4dfc64f2f073646bf8bbb160ce23c04
v47c_000_0000018_4f3bd5e343116bed9949,codec_mixed_blind_v5,locked_eval,18,cmbv5_0003__opus_nb_8k,v47c_000_0000018_4f3bd5e343116bed9949.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0003__opus_nb_8k.flac,9f807bd87d6e179a1379ea8b98f2ff5cff393f941001ba1070ac58ca41becfbe
v47c_000_0000019_bfc04b383c49a1d2a52e,codec_mixed_blind_v5,locked_eval,19,cmbv5_0003__transcode_g711_opus,v47c_000_0000019_bfc04b383c49a1d2a52e.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0003__transcode_g711_opus.flac,622e3e273e11c6d772c075ae0df8061b7a9712a3a67201b19f0066ef75c5dfe7
v47c_000_0000020_20fec99c72c2ca72dbc6,codec_mixed_blind_v5,locked_eval,20,cmbv5_0004__clean,v47c_000_0000020_20fec99c72c2ca72dbc6.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0004__clean.flac,ce2c04cffacea097610302334f50049db5455fa98d8f9cea26be558b9bc57570
v47c_000_0000021_471daa15cc8455a6cfdf,codec_mixed_blind_v5,locked_eval,21,cmbv5_0004__g711_ulaw,v47c_000_0000021_471daa15cc8455a6cfdf.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0004__g711_ulaw.flac,449b100e5e2b0b64206624afa8a7f8b6bcc8c4196215df2e16293287d79063bc
v47c_000_0000022_02a0ef454400780c1f48,codec_mixed_blind_v5,locked_eval,22,cmbv5_0004__g722_wb,v47c_000_0000022_02a0ef454400780c1f48.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0004__g722_wb.flac,b2ebc5377009eafd69334864a9a2db89b16a4bfac8f50db8ed6e70f4a51af811
v47c_000_0000023_674e3f9f48c68b75ecc1,codec_mixed_blind_v5,locked_eval,23,cmbv5_0004__opus_nb_8k,v47c_000_0000023_674e3f9f48c68b75ecc1.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0004__opus_nb_8k.flac,f10e603a82f584cd98c05b60f9f1ecd006d909f04f5e388b5c7ea8703494eba7
v47c_000_0000024_f10b3e93fe7933fba901,codec_mixed_blind_v5,locked_eval,24,cmbv5_0004__transcode_g711_opus,v47c_000_0000024_f10b3e93fe7933fba901.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0004__transcode_g711_opus.flac,3a02742d7a776b1de9258bb7c645866ed5566cab571c31817a0ed7897fca88bc
v47c_000_0000025_81bbf283161e19b5a09c,codec_mixed_blind_v5,locked_eval,25,cmbv5_0005__clean,v47c_000_0000025_81bbf283161e19b5a09c.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0005__clean.flac,b42a3866fd237125218cc10f21b965f79e766f1eab3559fb50faacbc6c1016fe
v47c_000_0000026_3f5d45863e2ce6918166,codec_mixed_blind_v5,locked_eval,26,cmbv5_0005__g711_ulaw,v47c_000_0000026_3f5d45863e2ce6918166.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0005__g711_ulaw.flac,219d27e72a6f265fb57616d40bdc0de542ce5baa47a67d6d30f13fba63e70ee8
v47c_000_0000027_1c860cd9909b00486bd9,codec_mixed_blind_v5,locked_eval,27,cmbv5_0005__g722_wb,v47c_000_0000027_1c860cd9909b00486bd9.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0005__g722_wb.flac,a8ad8d605005ea3e6f9926f027ed29c5db5fcd0bbd45359a3f10f563b363df2b
v47c_000_0000028_795b964af674aee61cc8,codec_mixed_blind_v5,locked_eval,28,cmbv5_0005__opus_nb_8k,v47c_000_0000028_795b964af674aee61cc8.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0005__opus_nb_8k.flac,3511dab21e977432d0d4f7f135c2ddaba90bf3698af7880f9fd05123b7e9d514
v47c_000_0000029_95994544ee8238c0fdc7,codec_mixed_blind_v5,locked_eval,29,cmbv5_0005__transcode_g711_opus,v47c_000_0000029_95994544ee8238c0fdc7.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0005__transcode_g711_opus.flac,f5423e32ad2429d3cd9b730b273de36090fe7c01e02b6402594ad9d2f005cca5
v47c_000_0000030_3f3df0796d0d70b697f4,codec_mixed_blind_v5,locked_eval,30,cmbv5_0006__clean,v47c_000_0000030_3f3df0796d0d70b697f4.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0006__clean.flac,4346f5f5a9e71b5d6ac5908dd9b88cc5cec38c45d37291e8fd4fe00b498bc609
v47c_000_0000031_d508781663a57d9ac09c,codec_mixed_blind_v5,locked_eval,31,cmbv5_0006__g711_ulaw,v47c_000_0000031_d508781663a57d9ac09c.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0006__g711_ulaw.flac,48005eb9c1293aabe871f4c3862bce90216fca2881635d1b1aaec29dd66eaf16
v47c_000_0000032_14a1a6a8af2469ee4400,codec_mixed_blind_v5,locked_eval,32,cmbv5_0006__g722_wb,v47c_000_0000032_14a1a6a8af2469ee4400.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0006__g722_wb.flac,2453813811c8a74a7e3076218ccdb0a399c49eed959b4c38bf18916ac071d2e5
v47c_000_0000033_2d7b2e437216e89a1a90,codec_mixed_blind_v5,locked_eval,33,cmbv5_0006__opus_nb_8k,v47c_000_0000033_2d7b2e437216e89a1a90.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0006__opus_nb_8k.flac,276ed43f4c0355330d7790a789107ddbfc99fc6f4f52dea46ab4dab1e5297fa4
v47c_000_0000034_59e3f586bd3ff9286854,codec_mixed_blind_v5,locked_eval,34,cmbv5_0006__transcode_g711_opus,v47c_000_0000034_59e3f586bd3ff9286854.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_blind_v5/audio/cmbv5_0006__transcode_g711_opus.flac,2c504387b24bc95888eaed27113d8acb74d4702766a837be9cf38691f4e00a7d
