DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
mixfake_music_dev_v1,1600,1600,1600,1600,0.057499999999999996,0.08374999999999999,0.07250000000000001,,,0.9327500000000001,,,0.9327500000000001
factorial_eval_1200_v2,400,400,350,350,0.21527272727272728,0.2628571428571429,0.17714285714285716,0.9992571428571428,1.0,0.7866493506493506,0.9996285714285714,0.8079472727272727,0.7866493506493506
external_mixed_v1,400,400,400,400,0.12833333333333335,0.20999999999999996,0.09499999999999999,,,0.8653333333333333,,,0.8653333333333333
source_disjoint_mixed_v1,200,200,200,200,0.19999999999999998,0.18000000000000002,0.08999999999999998,,,0.8370000000000001,,,0.8370000000000001
source_disjoint_mixed_equal_v1,200,200,200,200,0.12,0.08999999999999998,0.08999999999999998,,,0.895,,,0.895
source_disjoint_music_v1,400,400,0,400,0.030000000000000013,,0.04500000000000002,,,,,,0.9643749999999999
asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
external_mixed_v1_telephone_v1,400,400,400,400,0.14166666666666666,0.235,0.11499999999999999,,,0.8476666666666668,,,0.8476666666666668
source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.26,0.18999999999999997,0.22999999999999998,,,0.763,,,0.763
telephone_mixed_dev_v1,600,600,600,600,0.18000000000000002,0.19999999999999998,0.15666666666666665,,,0.8230000000000001,,,0.8230000000000001
multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09166666666666669,,,,,,,0.9261904761904762
echoes_fma_paired_v3,111,111,0,111,0.09009740259740262,,0.09009740259740262,,,,,,0.9099025974025973
codec_mixed_dev_v4,600,600,600,600,0.21999999999999997,0.20666666666666667,0.26,,,0.7706666666666666,,,0.7706666666666666
