SOURCE_ID,CANONICAL_GROUP,GENERATOR,ARCHIVE_MEMBER,ARCHIVE_TARGET
FM_MusicGen_medium_Ac4M-EkdkDs,fmc:Ac4M-EkdkDs,MusicGen_medium,unmixed_dataset/eval/FM_MusicGen_medium_Ac4M-EkdkDs.wav,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_Ac4M-EkdkDs.wav
FM_MusicGen_medium_BI8YQ3ueD24,fmc:BI8YQ3ueD24,MusicGen_medium,unmixed_dataset/eval/FM_MusicGen_medium_BI8YQ3ueD24.wav,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_BI8YQ3ueD24.wav
FM_MusicGen_medium_SEHE3WGui30,fmc:SEHE3WGui30,MusicGen_medium,unmixed_dataset/eval/FM_MusicGen_medium_SEHE3WGui30.wav,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_SEHE3WGui30.wav
FM_MusicGen_medium_qp4Ubx7WOAQ,fmc:qp4Ubx7WOAQ,MusicGen_medium,unmixed_dataset/eval/FM_MusicGen_medium_qp4Ubx7WOAQ.wav,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_qp4Ubx7WOAQ.wav
FM_audioldm2_8hT2G2ew6-c,fmc:8hT2G2ew6-c,audioldm2,unmixed_dataset/eval/FM_audioldm2_8hT2G2ew6-c.wav,MixFake/unmixed_dataset/eval/FM_audioldm2_8hT2G2ew6-c.wav
FM_audioldm2_XnMokzAE5kk,fmc:XnMokzAE5kk,audioldm2,unmixed_dataset/eval/FM_audioldm2_XnMokzAE5kk.wav,MixFake/unmixed_dataset/eval/FM_audioldm2_XnMokzAE5kk.wav
FM_audioldm2_kYrJadZmjm0,fmc:kYrJadZmjm0,audioldm2,unmixed_dataset/eval/FM_audioldm2_kYrJadZmjm0.wav,MixFake/unmixed_dataset/eval/FM_audioldm2_kYrJadZmjm0.wav
sonics-music:FM_fake_songs_wav_fake_06204_suno_0,sonics:6204,sonics:chirp-v3.5,unmixed_dataset/eval/FM_fake_songs_wav_fake_06204_suno_0.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_06204_suno_0.wav
sonics-music:FM_fake_songs_wav_fake_10571_udio_0,sonics:10571,sonics:udio-30s,unmixed_dataset/eval/FM_fake_songs_wav_fake_10571_udio_0.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_10571_udio_0.wav
sonics-music:FM_fake_songs_wav_fake_11266_suno_1,sonics:11266,sonics:chirp-v3,unmixed_dataset/eval/FM_fake_songs_wav_fake_11266_suno_1.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_11266_suno_1.wav
sonics-music:FM_fake_songs_wav_fake_11891_suno_1,sonics:11891,sonics:chirp-v2-xxl-alpha,unmixed_dataset/eval/FM_fake_songs_wav_fake_11891_suno_1.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_11891_suno_1.wav
sonics-music:FM_fake_songs_wav_fake_12528_suno_0,sonics:12528,sonics:chirp-v3,unmixed_dataset/eval/FM_fake_songs_wav_fake_12528_suno_0.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_12528_suno_0.wav
sonics-music:FM_fake_songs_wav_fake_15368_suno_1,sonics:15368,sonics:chirp-v3.5,unmixed_dataset/eval/FM_fake_songs_wav_fake_15368_suno_1.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_15368_suno_1.wav
sonics-music:FM_fake_songs_wav_fake_16967_udio_1,sonics:16967,sonics:udio-120s,unmixed_dataset/eval/FM_fake_songs_wav_fake_16967_udio_1.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_16967_udio_1.wav
sonics-music:FM_fake_songs_wav_fake_17683_udio_1,sonics:17683,sonics:udio-120s,unmixed_dataset/eval/FM_fake_songs_wav_fake_17683_udio_1.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_17683_udio_1.wav
sonics-music:FM_fake_songs_wav_fake_18832_suno_1,sonics:18832,sonics:chirp-v3,unmixed_dataset/eval/FM_fake_songs_wav_fake_18832_suno_1.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_18832_suno_1.wav
sonics-music:FM_fake_songs_wav_fake_20709_suno_0,sonics:20709,sonics:chirp-v2-xxl-alpha,unmixed_dataset/eval/FM_fake_songs_wav_fake_20709_suno_0.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_20709_suno_0.wav
sonics-music:FM_fake_songs_wav_fake_22178_udio_0,sonics:22178,sonics:udio-30s,unmixed_dataset/eval/FM_fake_songs_wav_fake_22178_udio_0.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_22178_udio_0.wav
sonics-music:FM_fake_songs_wav_fake_37356_suno_1,sonics:37356,sonics:chirp-v2-xxl-alpha,unmixed_dataset/eval/FM_fake_songs_wav_fake_37356_suno_1.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_37356_suno_1.wav
sonics-music:FM_fake_songs_wav_fake_39244_udio_1,sonics:39244,sonics:udio-120s,unmixed_dataset/eval/FM_fake_songs_wav_fake_39244_udio_1.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_39244_udio_1.wav
sonics-music:FM_fake_songs_wav_fake_42889_udio_0,sonics:42889,sonics:udio-120s,unmixed_dataset/eval/FM_fake_songs_wav_fake_42889_udio_0.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_42889_udio_0.wav
sonics-music:FM_fake_songs_wav_fake_43454_suno_1,sonics:43454,sonics:chirp-v3.5,unmixed_dataset/eval/FM_fake_songs_wav_fake_43454_suno_1.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_43454_suno_1.wav
sonics-music:FM_fake_songs_wav_fake_47792_suno_1,sonics:47792,sonics:chirp-v3.5,unmixed_dataset/eval/FM_fake_songs_wav_fake_47792_suno_1.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_47792_suno_1.wav
sonics-music:FM_fake_songs_wav_fake_48414_udio_1,sonics:48414,sonics:udio-30s,unmixed_dataset/eval/FM_fake_songs_wav_fake_48414_udio_1.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_48414_udio_1.wav
sonics-music:FM_fake_songs_wav_fake_50343_suno_1,sonics:50343,sonics:chirp-v3,unmixed_dataset/eval/FM_fake_songs_wav_fake_50343_suno_1.wav,MixFake/unmixed_dataset/eval/FM_fake_songs_wav_fake_50343_suno_1.wav
FM_musicldm_-_OzT7Xyvok,fmc:-_OzT7Xyvok,musicldm,unmixed_dataset/eval/FM_musicldm_-_OzT7Xyvok.wav,MixFake/unmixed_dataset/eval/FM_musicldm_-_OzT7Xyvok.wav
FM_musicldm_9ZinCW4jTeE,fmc:9ZinCW4jTeE,musicldm,unmixed_dataset/eval/FM_musicldm_9ZinCW4jTeE.wav,MixFake/unmixed_dataset/eval/FM_musicldm_9ZinCW4jTeE.wav
FM_musicldm_INBx8CrIWcg,fmc:INBx8CrIWcg,musicldm,unmixed_dataset/eval/FM_musicldm_INBx8CrIWcg.wav,MixFake/unmixed_dataset/eval/FM_musicldm_INBx8CrIWcg.wav
FM_musicldm_YAYp2E5vMNw,fmc:YAYp2E5vMNw,musicldm,unmixed_dataset/eval/FM_musicldm_YAYp2E5vMNw.wav,MixFake/unmixed_dataset/eval/FM_musicldm_YAYp2E5vMNw.wav
FM_mustango_-uaTK8sa5Ms,fmc:-uaTK8sa5Ms,mustango,unmixed_dataset/eval/FM_mustango_-uaTK8sa5Ms.wav,MixFake/unmixed_dataset/eval/FM_mustango_-uaTK8sa5Ms.wav
FM_mustango_Fy51z2RwH3E,fmc:Fy51z2RwH3E,mustango,unmixed_dataset/eval/FM_mustango_Fy51z2RwH3E.wav,MixFake/unmixed_dataset/eval/FM_mustango_Fy51z2RwH3E.wav
FM_mustango_hkWOAj09_dY,fmc:hkWOAj09_dY,mustango,unmixed_dataset/eval/FM_mustango_hkWOAj09_dY.wav,MixFake/unmixed_dataset/eval/FM_mustango_hkWOAj09_dY.wav
FM_stable_audio_open_8LYWfpPUokc,fmc:8LYWfpPUokc,stable_audio_open,unmixed_dataset/eval/FM_stable_audio_open_8LYWfpPUokc.wav,MixFake/unmixed_dataset/eval/FM_stable_audio_open_8LYWfpPUokc.wav
FM_stable_audio_open_ZV_ZbmjPpkw,fmc:ZV_ZbmjPpkw,stable_audio_open,unmixed_dataset/eval/FM_stable_audio_open_ZV_ZbmjPpkw.wav,MixFake/unmixed_dataset/eval/FM_stable_audio_open_ZV_ZbmjPpkw.wav
FM_stable_audio_open_cqeVEFFzz7E,fmc:cqeVEFFzz7E,stable_audio_open,unmixed_dataset/eval/FM_stable_audio_open_cqeVEFFzz7E.wav,MixFake/unmixed_dataset/eval/FM_stable_audio_open_cqeVEFFzz7E.wav
FM_stable_audio_open_mfZMcNmLxWM,fmc:mfZMcNmLxWM,stable_audio_open,unmixed_dataset/eval/FM_stable_audio_open_mfZMcNmLxWM.wav,MixFake/unmixed_dataset/eval/FM_stable_audio_open_mfZMcNmLxWM.wav
001652,fma:1652,FMA,unmixed_dataset/eval/RM_001_001652.wav,MixFake/unmixed_dataset/eval/RM_001_001652.wav
003533,fma:3533,FMA,unmixed_dataset/eval/RM_003_003533.wav,MixFake/unmixed_dataset/eval/RM_003_003533.wav
004264,fma:4264,FMA,unmixed_dataset/eval/RM_004_004264.wav,MixFake/unmixed_dataset/eval/RM_004_004264.wav
013596,fma:13596,FMA,unmixed_dataset/eval/RM_013_013596.wav,MixFake/unmixed_dataset/eval/RM_013_013596.wav
019634,fma:19634,FMA,unmixed_dataset/eval/RM_019_019634.wav,MixFake/unmixed_dataset/eval/RM_019_019634.wav
032217,fma:32217,FMA,unmixed_dataset/eval/RM_032_032217.wav,MixFake/unmixed_dataset/eval/RM_032_032217.wav
035394,fma:35394,FMA,unmixed_dataset/eval/RM_035_035394.wav,MixFake/unmixed_dataset/eval/RM_035_035394.wav
036533,fma:36533,FMA,unmixed_dataset/eval/RM_036_036533.wav,MixFake/unmixed_dataset/eval/RM_036_036533.wav
042865,fma:42865,FMA,unmixed_dataset/eval/RM_042_042865.wav,MixFake/unmixed_dataset/eval/RM_042_042865.wav
