GROUP,VALUE,N,AUC,EER,THRESHOLD,TPR,FPR
ALL,ALL,4109,0.9934467446921131,0.025056607657472186,0.5157916856121989,0.953067105804858,0.008333333333333333
VARIANT,clean,587,1.0,0.0,0.5157916856121989,1.0,0.010714285714285714
VARIANT,double_g726_g711,587,,,0.5157916856121989,0.8364565587734242,
VARIANT,fft_narrowband,587,,,0.5157916856121989,1.0,
VARIANT,g726_postnoise_25,587,,,0.5157916856121989,0.9914821124361158,
VARIANT,lowpass_5k,587,1.0,0.0,0.5157916856121989,1.0,0.0035714285714285713
VARIANT,opus_audio_32k,587,1.0,0.0,0.5157916856121989,1.0,0.010714285714285714
VARIANT,opus_nb_clipped,587,,,0.5157916856121989,0.9778534923339012,
DATASET,echoes_fma_paired_v3,1050,0.9936777777777778,0.013333333333333322,0.5157916856121989,0.9716666666666667,0.011111111111111112
DATASET,factorial_eval_1200_v2,1050,0.9979704642861406,0.01055955493475638,0.5157916856121989,0.9750367107195301,0.0
DATASET,multigen_voice_v2,1050,0.9838037037037036,0.060000000000000026,0.5157916856121989,0.885,0.008888888888888889
DATASET,suno_vocals_v1,91,1.0,0.0,0.5157916856121989,1.0,0.0
DATASET,yue_cross_component_audit_v1,868,0.9957726326742976,0.01612903225806451,0.5157916856121989,0.9778225806451613,0.013440860215053764
AUDIO_TYPE,mixed,1631,0.9982838721911443,0.006662242027748789,0.5157916856121989,0.9809045226130654,0.0
AUDIO_TYPE,music,1295,0.994244935543278,0.018516613769052916,0.5157916856121989,0.9747340425531915,0.01841620626151013
AUDIO_TYPE,voice,1183,0.9840758365966016,0.05826762896494399,0.5157916856121989,0.8885630498533724,0.007984031936127744
