MODEL,GROUP,VALUE,N,AUC,EER,THRESHOLD,TPR,FPR
global_band_ratio,ALL,ALL,18624,0.9434153698420396,0.16967353951890032,5.2211995124816895,0.0861254295532646,0.0009664948453608248
global_band_ratio,VARIANT,aac_48k,776,,,5.2211995124816895,,0.001288659793814433
global_band_ratio,VARIANT,clean,2328,,,5.2211995124816895,,0.001288659793814433
global_band_ratio,VARIANT,g711_alaw,776,,,5.2211995124816895,0.3904639175257732,
global_band_ratio,VARIANT,g711_clipped,776,,,5.2211995124816895,0.02577319587628866,
global_band_ratio,VARIANT,g711_postnoise_20,776,,,5.2211995124816895,0.0,
global_band_ratio,VARIANT,g722_wb,776,,,5.2211995124816895,,0.001288659793814433
global_band_ratio,VARIANT,g726_24k,776,,,5.2211995124816895,0.11082474226804123,
global_band_ratio,VARIANT,lowpass_6k,776,,,5.2211995124816895,,0.001288659793814433
global_band_ratio,VARIANT,mp3_64k,776,,,5.2211995124816895,,0.001288659793814433
global_band_ratio,VARIANT,mulaw_numpy,776,,,5.2211995124816895,0.18427835051546393,
global_band_ratio,VARIANT,ogg_48k,776,,,5.2211995124816895,,0.001288659793814433
global_band_ratio,VARIANT,opus_audio_48k,776,,,5.2211995124816895,,0.001288659793814433
global_band_ratio,VARIANT,opus_nb_12k,776,,,5.2211995124816895,0.055412371134020616,
global_band_ratio,VARIANT,opus_nb_postnoise_20,776,,,5.2211995124816895,0.0,
global_band_ratio,VARIANT,opus_wb_12k,776,,,5.2211995124816895,,0.0
global_band_ratio,VARIANT,opus_wb_16k,776,,,5.2211995124816895,,0.0
global_band_ratio,VARIANT,packetloss_g711,776,,,5.2211995124816895,0.003865979381443299,
global_band_ratio,VARIANT,packetloss_g722,776,,,5.2211995124816895,,0.0
global_band_ratio,VARIANT,packetloss_opus_nb,776,,,5.2211995124816895,0.001288659793814433,
global_band_ratio,VARIANT,packetloss_opus_nb_heavy,776,,,5.2211995124816895,0.0,
global_band_ratio,VARIANT,pstn_bandpass,776,,,5.2211995124816895,0.19072164948453607,
global_band_ratio,VARIANT,transcode_g711_opus,776,,,5.2211995124816895,0.07087628865979381,
global_band_ratio,DATASET,asvspoof_voice_wav_dev_v1,4224,0.9204038789887512,0.17021780303030298,5.2211995124816895,0.16666666666666666,0.0
global_band_ratio,DATASET,external_mixed_v1,4800,0.9593022569444445,0.17125,5.2211995124816895,0.06333333333333334,0.0
global_band_ratio,DATASET,source_disjoint_mixed_v1,4800,0.9551405381944444,0.16666666666666663,5.2211995124816895,0.06833333333333333,0.0
global_band_ratio,DATASET,source_disjoint_music_v1,4800,0.9358262152777779,0.17000000000000004,5.2211995124816895,0.05583333333333333,0.00375
global_band_ratio,AUDIO_TYPE,mixed,9600,0.957397287326389,0.16937500000000003,5.2211995124816895,0.06583333333333333,0.0
global_band_ratio,AUDIO_TYPE,music,4800,0.9358262152777779,0.17000000000000004,5.2211995124816895,0.05583333333333333,0.00375
global_band_ratio,AUDIO_TYPE,voice,4224,0.9204038789887512,0.17021780303030298,5.2211995124816895,0.16666666666666666,0.0
robust_frame_band,ALL,ALL,18624,0.8310596117709403,0.19426546391752575,5.932097911834717,0.04939862542955326,0.0009664948453608248
robust_frame_band,VARIANT,aac_48k,776,,,5.932097911834717,,0.001288659793814433
robust_frame_band,VARIANT,clean,2328,,,5.932097911834717,,0.001288659793814433
