SUBSET,DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
0,mixfake_music_dev_v1,1600,1600,1600,1600,0.09499999999999999,0.08875,0.09250000000000001,,,0.907,,
0,external_mixed_v1,400,400,400,400,0.18833333333333332,0.22499999999999998,0.17000000000000004,,,0.8098333333333333,,
0,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.19999999999999998,0.13,,,0.811,,
0,source_disjoint_mixed_equal_v1,200,200,200,200,0.14,0.18999999999999997,0.10999999999999999,,,0.8590000000000001,,
0,source_disjoint_music_v1,400,400,0,400,0.050000000000000024,,0.04000000000000002,,,,,
0,factorial_eval_1200_v2_dev,400,400,350,350,0.24763636363636365,0.34285714285714286,0.27428571428571424,,,0.7253246753246754,,
0,telephone_mixed_dev_v1,600,600,600,600,0.22555555555555556,0.21333333333333337,0.21999999999999997,,,0.7785555555555556,,
1,mixfake_music_dev_v1,1600,1600,1600,1600,0.10250000000000001,0.08625000000000002,0.10624999999999998,,,0.8996249999999999,,
1,external_mixed_v1,400,400,400,400,0.20999999999999996,0.245,0.17000000000000004,,,0.795,,
1,source_disjoint_mixed_v1,200,200,200,200,0.24,0.19999999999999998,0.13,,,0.801,,
1,source_disjoint_mixed_equal_v1,200,200,200,200,0.18000000000000002,0.22999999999999998,0.12,,,0.8280000000000001,,
1,source_disjoint_music_v1,400,400,0,400,0.050000000000000024,,0.04000000000000002,,,,,
1,factorial_eval_1200_v2_dev,400,400,350,350,0.22472727272727272,0.34857142857142853,0.19999999999999998,,,0.757922077922078,,
1,telephone_mixed_dev_v1,600,600,600,600,0.24,0.2466666666666667,0.18666666666666665,,,0.7746666666666666,,
2,mixfake_music_dev_v1,1600,1600,1600,1600,0.09750000000000002,0.09375,0.10124999999999998,,,0.9021250000000001,,
2,external_mixed_v1,400,400,400,400,0.18999999999999997,0.20999999999999996,0.18500000000000003,,,0.8075,,
2,source_disjoint_mixed_v1,200,200,200,200,0.18000000000000002,0.20999999999999996,0.07999999999999999,,,0.8440000000000001,,
2,source_disjoint_mixed_equal_v1,200,200,200,200,0.14,0.20999999999999996,0.08999999999999998,,,0.8610000000000001,,
2,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.04000000000000002,,,,,
2,factorial_eval_1200_v2_dev,400,400,350,350,0.21527272727272728,0.3142857142857143,0.2114285714285714,,,0.766077922077922,,
2,telephone_mixed_dev_v1,600,600,600,600,0.22666666666666668,0.22333333333333336,0.21333333333333337,,,0.778,,
3,mixfake_music_dev_v1,1600,1600,1600,1600,0.09499999999999999,0.08374999999999999,0.09750000000000002,,,0.9065000000000001,,
3,external_mixed_v1,400,400,400,400,0.19166666666666668,0.21999999999999997,0.125,,,0.8226666666666667,,
3,source_disjoint_mixed_v1,200,200,200,200,0.24,0.20999999999999996,0.16000000000000003,,,0.79,,
3,source_disjoint_mixed_equal_v1,200,200,200,200,0.14,0.21999999999999997,0.14,,,0.8440000000000001,,
3,source_disjoint_music_v1,400,400,0,400,0.04500000000000002,,0.04000000000000002,,,,,
3,factorial_eval_1200_v2_dev,400,400,350,350,0.25527272727272726,0.31999999999999995,0.2457142857142857,,,0.7346493506493507,,
3,telephone_mixed_dev_v1,600,600,600,600,0.26,0.2333333333333333,0.19999999999999998,,,0.7633333333333333,,
0+1,mixfake_music_dev_v1,1600,1600,1600,1600,0.08499999999999999,0.07999999999999999,0.07999999999999999,,,0.9175000000000001,,
0+1,external_mixed_v1,400,400,400,400,0.18999999999999997,0.21999999999999997,0.16000000000000003,,,0.8130000000000001,,
0+1,source_disjoint_mixed_v1,200,200,200,200,0.19999999999999998,0.22999999999999998,0.10999999999999999,,,0.8210000000000001,,
0+1,source_disjoint_mixed_equal_v1,200,200,200,200,0.16000000000000003,0.18999999999999997,0.09999999999999999,,,0.8520000000000001,,
0+1,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.03500000000000002,,,,,
0+1,factorial_eval_1200_v2_dev,400,400,350,350,0.23236363636363638,0.3314285714285714,0.23428571428571432,,,0.7472467532467533,,
0+1,telephone_mixed_dev_v1,600,600,600,600,0.21333333333333337,0.22333333333333336,0.19333333333333336,,,0.7906666666666666,,
0+2,mixfake_music_dev_v1,1600,1600,1600,1600,0.07791666666666669,0.07499999999999998,0.08499999999999999,,,0.9205416666666668,,
0+2,external_mixed_v1,400,400,400,400,0.18000000000000002,0.20499999999999996,0.17000000000000004,,,0.818,,
0+2,source_disjoint_mixed_v1,200,200,200,200,0.18000000000000002,0.19999999999999998,0.08999999999999998,,,0.8430000000000001,,
0+2,source_disjoint_mixed_equal_v1,200,200,200,200,0.12,0.18999999999999997,0.08999999999999998,,,0.8750000000000001,,
0+2,source_disjoint_music_v1,400,400,0,400,0.030000000000000013,,0.03500000000000002,,,,,
