DATASET,CELL,TASK,MODEL,N,LABEL_MEAN,GLOBAL_EER_THRESHOLD,ERROR_RATE,SCORE_Q10,SCORE_MEDIAN,SCORE_Q90
phone,source_disjoint,MUSIC,v18,400,0.5,0.187342832390679,0.2825,0.005381341699891505,0.17445420646971194,0.5629750866311422
phone,simultaneous,FILE,patch,400,0.75,0.998582,0.1925,0.414697118,0.99993515,0.9999999
phone,source_disjoint,FILE,patch,400,0.5,0.998582,0.0725,0.008453167770000007,0.991482705,1.0
phone,speech_only,FILE,patch,400,0.5,0.998582,0.24,0.00106404936,0.999433765,0.9999993
phone,simultaneous,VOICE,patch,400,0.5,0.97251105,0.3525,0.1229225806,0.880287125,0.999922132
phone,speech_only,VOICE,patch,400,0.5,0.97251105,0.2475,4.974736000000004e-06,0.999788235,0.9999999
phone,simultaneous,MUSIC,patch,400,0.5,0.9864392,0.085,6.179466520000006e-05,0.98609127,1.0
phone,source_disjoint,MUSIC,patch,400,0.5,0.9864392,0.075,7.028090650000003e-06,0.98674945,1.0
phone,simultaneous,FILE,fused05,400,0.75,0.4391648877952357,0.2875,0.15181316178206128,0.5172493734070929,0.9953226377125654
phone,source_disjoint,FILE,fused05,400,0.5,0.4391648877952357,0.185,0.09143971431921191,0.368763433157388,0.8097389828990922
phone,speech_only,FILE,fused05,400,0.5,0.4391648877952357,0.14,0.10831869007253611,0.9958361232258676,0.9998806475045745
phone,simultaneous,VOICE,fused05,400,0.5,0.936445300011063,0.24,0.00390311916920243,0.849547217656385,0.9991570561923331
phone,speech_only,VOICE,fused05,400,0.5,0.936445300011063,0.095,0.0021194691699426105,0.997785969704081,0.9999221358639689
