DATASET,CONTRAST,TASK,MODEL,N,POS,EER,AUC
factorial,voice_only,VOICE,v18,50,25,0.04000000000000002,0.9776
factorial,voice_only,VOICE,patch,50,25,0.31999999999999995,0.7696000000000001
factorial,voice_only,VOICE,fused05,50,25,0.04000000000000002,0.9776
factorial,voice_only,VOICE,fused15,50,25,0.04000000000000002,0.9776
factorial,music_only,MUSIC,v18,50,25,0.19999999999999998,0.8992
factorial,music_only,MUSIC,patch,50,25,0.24,0.8392000000000001
factorial,music_only,MUSIC,fused05,50,25,0.24,0.9136
factorial,music_only,MUSIC,fused15,50,25,0.19999999999999998,0.904
factorial,concurrent|music_0,VOICE,v18,50,25,0.36,0.6816
factorial,concurrent|music_0,VOICE,patch,50,25,0.4,0.632
factorial,concurrent|music_0,VOICE,fused05,50,25,0.36,0.6816
factorial,concurrent|music_0,VOICE,fused15,50,25,0.36,0.6816
factorial,concurrent|voice_0,MUSIC,v18,50,25,0.28,0.7728
factorial,concurrent|voice_0,MUSIC,patch,50,25,0.16000000000000003,0.848
factorial,concurrent|voice_0,MUSIC,fused05,50,25,0.19999999999999998,0.8064
factorial,concurrent|voice_0,MUSIC,fused15,50,25,0.19999999999999998,0.8463999999999998
factorial,concurrent|music_1,VOICE,v18,50,25,0.24,0.7472000000000001
factorial,concurrent|music_1,VOICE,patch,50,25,0.56,0.47679999999999995
factorial,concurrent|music_1,VOICE,fused05,50,25,0.24,0.7472000000000001
factorial,concurrent|music_1,VOICE,fused15,50,25,0.24,0.7472000000000001
factorial,concurrent|voice_1,MUSIC,v18,50,25,0.24,0.8656
factorial,concurrent|voice_1,MUSIC,patch,50,25,0.04000000000000002,0.964
factorial,concurrent|voice_1,MUSIC,fused05,50,25,0.16000000000000003,0.9279999999999999
factorial,concurrent|voice_1,MUSIC,fused15,50,25,0.07999999999999999,0.9696
factorial,concurrent|file_rr_vs_voice_fake+music_real,FILE,v18,50,25,0.48,0.42560000000000003
factorial,concurrent|file_rr_vs_voice_fake+music_real,FILE,patch,50,25,0.4,0.6335999999999999
factorial,concurrent|file_rr_vs_voice_fake+music_real,FILE,fused05,50,25,0.48,0.4512
factorial,concurrent|file_rr_vs_voice_fake+music_real,FILE,fused15,50,25,0.52,0.46719999999999995
factorial,concurrent|file_rr_vs_voice_real+music_fake,FILE,v18,50,25,0.4,0.616
