DATASET,TASK,GENERATOR,MODEL,POS_N,REAL_N,MATCHED_STRATA,MATCHED_PAIRS,CONDITIONAL_MACRO_AUC,N,POS,EER,AUC
factorial,VOICE,cosyvoice3_0.5b,v18,44,175,7,1100,0.8888367346938776,219,44,0.15954545454545455,0.9009090909090909
factorial,VOICE,cosyvoice3_0.5b,patch,44,175,7,1100,0.8294965986394558,219,44,0.245,0.837922077922078
factorial,VOICE,cosyvoice3_0.5b,fused05,44,175,7,1100,0.8888367346938776,219,44,0.15954545454545455,0.9009090909090909
factorial,VOICE,cosyvoice3_0.5b,fused15,44,175,7,1100,0.8888367346938776,219,44,0.15954545454545455,0.9009090909090909
factorial,VOICE,f5tts_v1_base,v18,37,175,7,925,0.8716326530612245,212,37,0.1667953667953668,0.8996138996138996
factorial,VOICE,f5tts_v1_base,patch,37,175,7,925,0.7254625850340136,212,37,0.32501930501930504,0.7455598455598454
factorial,VOICE,f5tts_v1_base,fused05,37,175,7,925,0.8716326530612245,212,37,0.1667953667953668,0.8996138996138996
factorial,VOICE,f5tts_v1_base,fused15,37,175,7,925,0.8716326530612245,212,37,0.1667953667953668,0.8996138996138996
factorial,VOICE,qwen3tts_custom_0.6b,v18,59,175,7,1475,0.7842832405689549,234,59,0.28692493946731235,0.7876029055690073
factorial,VOICE,qwen3tts_custom_0.6b,patch,59,175,7,1475,0.6065850340136054,234,59,0.4232929782082324,0.6168523002421308
factorial,VOICE,qwen3tts_custom_0.6b,fused05,59,175,7,1475,0.7842832405689549,234,59,0.28692493946731235,0.7876029055690073
factorial,VOICE,qwen3tts_custom_0.6b,fused15,59,175,7,1475,0.7842832405689549,234,59,0.28692493946731235,0.7876029055690073
factorial,VOICE,qwen3tts_finetuned_1.7b,v18,35,175,7,875,0.7204761904761904,210,35,0.3142857142857143,0.724734693877551
factorial,VOICE,qwen3tts_finetuned_1.7b,patch,35,175,7,875,0.8040476190476191,210,35,0.2857142857142857,0.7937142857142857
factorial,VOICE,qwen3tts_finetuned_1.7b,fused05,35,175,7,875,0.7204761904761904,210,35,0.3142857142857143,0.724734693877551
factorial,VOICE,qwen3tts_finetuned_1.7b,fused15,35,175,7,875,0.7204761904761904,210,35,0.3142857142857143,0.724734693877551
factorial,MUSIC,acestep,v18,15,175,7,375,0.7757142857142857,190,15,0.3323809523809524,0.7226666666666666
factorial,MUSIC,acestep,patch,15,175,7,375,0.7752380952380953,190,15,0.26761904761904765,0.7245714285714285
factorial,MUSIC,acestep,fused05,15,175,7,375,0.8142857142857143,190,15,0.3180952380952381,0.7535238095238095
factorial,MUSIC,acestep,fused15,15,175,7,375,0.8038095238095238,190,15,0.26761904761904765,0.7603809523809524
factorial,MUSIC,audioldm,v18,16,175,6,400,0.91,191,16,0.23642857142857143,0.8414285714285714
factorial,MUSIC,audioldm,patch,16,175,6,400,0.9249999999999999,191,16,0.12821428571428573,0.9058928571428573
factorial,MUSIC,audioldm,fused05,16,175,6,400,0.9500000000000001,191,16,0.19089285714285714,0.8846428571428571
factorial,MUSIC,audioldm,fused15,16,175,6,400,0.96,191,16,0.1880357142857143,0.9178571428571429
factorial,MUSIC,brev,v18,17,175,7,425,0.8542857142857143,192,17,0.3536134453781512,0.7747899159663866
factorial,MUSIC,brev,patch,17,175,7,425,0.9066666666666666,192,17,0.17680672268907566,0.9008403361344537
factorial,MUSIC,brev,fused05,17,175,7,425,0.8947619047619048,192,17,0.3042016806722689,0.8319327731092437
factorial,MUSIC,brev,fused15,17,175,7,425,0.910952380952381,192,17,0.2347899159663866,0.8904201680672269
factorial,MUSIC,diffrhythm,v18,12,175,4,300,0.9573333333333334,187,12,0.16619047619047617,0.9238095238095239
factorial,MUSIC,diffrhythm,patch,12,175,4,300,0.9373333333333334,187,12,0.16619047619047617,0.9273809523809524
factorial,MUSIC,diffrhythm,fused05,12,175,4,300,0.9706666666666667,187,12,0.08452380952380954,0.9585714285714285
factorial,MUSIC,diffrhythm,fused15,12,175,4,300,0.98,187,12,0.08452380952380954,0.9728571428571429
factorial,MUSIC,elevenlabs,v18,13,175,7,325,0.719047619047619,188,13,0.310989010989011,0.6896703296703297
factorial,MUSIC,elevenlabs,patch,13,175,7,325,0.8228571428571428,188,13,0.22967032967032963,0.8597802197802198
factorial,MUSIC,elevenlabs,fused05,13,175,7,325,0.758095238095238,188,13,0.3081318681318681,0.767912087912088
factorial,MUSIC,elevenlabs,fused15,13,175,7,325,0.8228571428571428,188,13,0.24967032967032965,0.836043956043956
factorial,MUSIC,mubert,v18,14,175,6,350,0.8466666666666667,189,14,0.3,0.7689795918367347
factorial,MUSIC,mubert,patch,14,175,6,350,0.87,189,14,0.2857142857142857,0.8448979591836735
factorial,MUSIC,mubert,fused05,14,175,6,350,0.8655555555555555,189,14,0.2242857142857143,0.8265306122448979
factorial,MUSIC,mubert,fused15,14,175,6,350,0.918888888888889,189,14,0.21571428571428572,0.8861224489795918
factorial,MUSIC,musicgen,v18,9,175,4,225,0.955,184,9,0.10984126984126986,0.9453968253968255
factorial,MUSIC,musicgen,patch,9,175,4,225,0.94,184,9,0.10984126984126986,0.9355555555555555
factorial,MUSIC,musicgen,fused05,9,175,4,225,0.965,184,9,0.10126984126984129,0.9695238095238096
factorial,MUSIC,musicgen,fused15,9,175,4,225,0.9816666666666667,184,9,0.09269841269841272,0.9841269841269841
factorial,MUSIC,producer,v18,13,175,6,325,0.6927777777777777,188,13,0.44505494505494503,0.6536263736263737
factorial,MUSIC,producer,patch,13,175,6,325,0.721111111111111,188,13,0.36945054945054945,0.7173626373626373
factorial,MUSIC,producer,fused05,13,175,6,325,0.7322222222222222,188,13,0.3081318681318681,0.7085714285714286
factorial,MUSIC,producer,fused15,13,175,6,325,0.7538888888888889,188,13,0.24967032967032965,0.7437362637362637
factorial,MUSIC,songgen,v18,18,175,6,450,0.6941666666666667,193,18,0.22253968253968254,0.7885714285714287
factorial,MUSIC,songgen,patch,18,175,6,450,0.84,193,18,0.16047619047619044,0.8798412698412699
factorial,MUSIC,songgen,fused05,18,175,6,450,0.7383333333333333,193,18,0.22253968253968254,0.8292063492063492
factorial,MUSIC,songgen,fused15,18,175,6,450,0.8016666666666667,193,18,0.17761904761904762,0.8593650793650794
factorial,MUSIC,stableaudio,v18,16,175,5,400,0.8039999999999999,191,16,0.2592857142857143,0.7917857142857143
factorial,MUSIC,stableaudio,patch,16,175,5,400,0.9099999999999999,191,16,0.1880357142857143,0.8925
factorial,MUSIC,stableaudio,fused05,16,175,5,400,0.8766666666666666,191,16,0.2507142857142857,0.8553571428571429
factorial,MUSIC,stableaudio,fused15,16,175,5,400,0.9126666666666667,191,16,0.1880357142857143,0.9164285714285714
factorial,MUSIC,suno,v18,17,175,7,425,0.7038095238095238,192,17,0.3536134453781512,0.7257142857142858
factorial,MUSIC,suno,patch,17,175,7,425,0.9552380952380952,192,17,0.11882352941176472,0.945546218487395
factorial,MUSIC,suno,fused05,17,175,7,425,0.8138095238095238,192,17,0.2927731092436975,0.8110924369747899
factorial,MUSIC,suno,fused15,17,175,7,425,0.9152380952380952,192,17,0.2347899159663866,0.9005042016806724
factorial,MUSIC,udio,v18,15,175,6,375,0.9077777777777777,190,15,0.19999999999999998,0.8921904761904762
factorial,MUSIC,udio,patch,15,175,6,375,0.9208888888888889,190,15,0.13238095238095238,0.9074285714285715
factorial,MUSIC,udio,fused05,15,175,6,375,0.9448888888888889,190,15,0.19714285714285712,0.9283809523809524
factorial,MUSIC,udio,fused15,15,175,6,375,0.9620000000000001,190,15,0.13809523809523808,0.9542857142857143
phone,VOICE,A12,v18,8,400,2,1200,0.9775,408,8,0.11624999999999999,0.9721875
phone,VOICE,A12,patch,8,400,2,1200,0.93125,408,8,0.14375,0.9085937500000001
phone,VOICE,A12,fused05,8,400,2,1200,0.9775,408,8,0.11624999999999999,0.9721875
phone,VOICE,A12,fused15,8,400,2,1200,0.9775,408,8,0.11624999999999999,0.9721875
phone,VOICE,A13,v18,8,400,2,1200,0.9525,408,8,0.13,0.9378124999999999
phone,VOICE,A13,patch,8,400,2,1200,0.8775,408,8,0.25125,0.84375
phone,VOICE,A13,fused05,8,400,2,1200,0.9525,408,8,0.13,0.9378124999999999
phone,VOICE,A13,fused15,8,400,2,1200,0.9525,408,8,0.13,0.9378124999999999
phone,VOICE,A15,v18,8,400,2,1200,0.9675,408,8,0.125,0.95875
phone,VOICE,A15,patch,8,400,2,1200,0.968125,408,8,0.1225,0.9521875
phone,VOICE,A15,fused05,8,400,2,1200,0.9675,408,8,0.125,0.95875
phone,VOICE,A15,fused15,8,400,2,1200,0.9675,408,8,0.125,0.95875
phone,VOICE,A17,v18,16,400,3,2000,0.92875,416,16,0.125,0.93015625
phone,VOICE,A17,patch,16,400,3,2000,0.425,416,16,0.51,0.476875
phone,VOICE,A17,fused05,16,400,3,2000,0.92875,416,16,0.125,0.93015625
phone,VOICE,A17,fused15,16,400,3,2000,0.92875,416,16,0.125,0.93015625
phone,VOICE,A18,v18,8,400,2,800,0.6950000000000001,408,8,0.35750000000000004,0.7106250000000001
phone,VOICE,A18,patch,8,400,2,800,0.4525,408,8,0.4875,0.5237499999999999
phone,VOICE,A18,fused05,8,400,2,800,0.6950000000000001,408,8,0.35750000000000004,0.7106250000000001
phone,VOICE,A18,fused15,8,400,2,800,0.6950000000000001,408,8,0.35750000000000004,0.7106250000000001
