ID,DEMUCS_VOCAL_TO_MIX_DB,DEMUCS_VOCAL_TO_RESIDUAL_DB
efp_extra_real_000690,-47.08160244452324,-47.04788206020688
efp_extra_real_006609,-1.8447325052654981,3.999736090932404
efp_extra_real_010527,-15.647228239745768,-15.483712081178012
efp_extra_real_014358,-66.58548758917668,-66.56423914222587
efp_extra_real_014663,-9.59984696763517,-8.902344195027336
efp_extra_real_016743,-6.2357125880351925,-4.683104322781863
efp_extra_real_016878,-9.963292756151162,-8.919550047816644
efp_extra_real_025033,-9.54722839215395,-8.20345775381987
efp_extra_real_026301,-52.68517043647287,-52.12019763920203
efp_extra_real_026674,-60.396489295621556,-60.247430915462694
efp_extra_real_028480,-20.822271039649113,-20.571783533280904
efp_extra_real_030522,-31.55984041404718,-31.471561066508947
efp_extra_real_035198,-5.779587686247618,-3.292046714943875
efp_extra_real_036959,-8.369454935882821,-7.5429627586417505
efp_extra_real_046058,-48.93244958598666,-48.63028362552865
efp_extra_real_052034,-9.135077633652767,-8.06896280368369
efp_extra_real_054150,-60.62895422413582,-60.631865367682344
efp_extra_real_056648,-54.8064231794124,-54.55055183924942
efp_extra_real_060144,-12.054360049478841,-11.131906059298736
efp_extra_real_064093,-64.39106035814085,-64.36920719881796
efp_extra_real_069201,-24.776328109389738,-24.692359284705468
efp_extra_real_072562,-52.51638598550102,-52.505547737253366
efp_extra_real_073760,-14.63225500779231,-14.444206766012009
efp_extra_real_073763,-23.267298345803,-23.422958823661876
efp_extra_real_076363,-52.969612092964766,-52.95689963097047
efp_extra_real_086116,-7.916820435370911,-6.882991670541041
efp_extra_real_091179,-53.61117741540467,-53.508542516415616
efp_extra_real_092551,-65.80647739683,-65.80928815020211
efp_extra_real_096697,-6.607760062293327,-5.106669268348444
efp_extra_real_097393,-55.70788344840831,-55.673333474612015
efp_extra_real_105917,-56.7866425465803,-56.778691118646414
efp_extra_real_107805,-8.744461380691845,-7.943391091274422
efp_extra_real_107955,-15.024170227527645,-14.661525474922252
efp_extra_real_113788,-53.80240098206887,-53.605505101538704
efp_extra_real_114049,-20.55584693496715,-20.762729038444196
efp_extra_real_115289,-56.37871127505453,-56.37036365058506
efp_extra_real_116870,-50.40505802922904,-50.37842827599364
efp_extra_real_120771,-62.10276745291427,-62.05217191396544
efp_extra_real_121346,-11.594265417740914,-11.013228185789734
efp_extra_real_121653,-10.945130331080463,-10.000735537557116
efp_extra_real_126510,-66.05151387432636,-66.06171386864145
efp_extra_real_126899,-16.416482341582288,-16.228987157208266
efp_extra_real_131791,-49.81777891464407,-49.73561273679809
efp_extra_real_132778,-15.045229513644966,-14.77119451676149
efp_extra_real_136994,-38.39864477430498,-38.30214256831204
efp_extra_real_138041,-5.478019026030628,-3.392857002357665
efp_extra_real_139775,-57.23697725911418,-57.214600290671164
efp_extra_real_144465,-9.621804343913245,-8.825586618172265
efp_extra_real_145607,-4.502029917763699,-1.606069628784022
efp_extra_real_145761,-54.096665563986555,-54.07381727923312
efp_fake_075787_acestep_00,-45.995015724909216,-45.96066043945005
efp_fake_075787_audioldm_01,-8.55488693058198,-7.238927507000387
efp_fake_075787_audioldm_02,-52.166596527748425,-51.930361183099336
efp_fake_075787_diffrhythm_03,-7.814264120576779,-6.826749358369563
efp_fake_075787_diffrhythm_04,-50.14092592266729,-50.11351065923474
efp_fake_075787_musicgen_05,-50.1596806444382,-49.87955817052029
efp_fake_075787_musicgen_06,-39.796005168541086,-39.73182814096755
efp_fake_112315_acestep_00,-40.976989635322994,-40.96658407949563
efp_fake_112315_audioldm_01,-54.15268855840014,-53.964981548256205
efp_fake_112315_audioldm_02,-40.84271118619605,-40.736027535874115
efp_fake_112315_brev_03,-49.207879273645354,-49.131158997270006
efp_fake_112315_brev_04,-58.888826292728915,-58.80951151682553
efp_fake_112315_diffrhythm_05,-2.960140468165657,1.8548479553363375
efp_fake_112315_diffrhythm_06,-49.13319662300829,-49.13873456655932
efp_fake_112315_elevenlabs_07,-58.47571564489215,-58.418546499113226
efp_fake_112315_elevenlabs_08,-54.65912344181593,-54.671671411070136
efp_fake_112315_mubert_09,-21.792525219728596,-21.660748061904766
efp_fake_112315_musicgen_10,-50.19019213902476,-49.56460096980316
efp_fake_112315_musicgen_11,-11.3840638501594,-10.700574563456648
efp_fake_112315_producer_12,-54.360621005319786,-54.32360032550018
efp_fake_112315_producer_13,-47.156400782217716,-47.05079765689508
efp_fake_112315_stableaudio_14,-48.73825168269597,-48.64375013470191
efp_fake_112315_suno_15,-58.64996506350742,-58.6109593592737
efp_fake_112315_suno_16,-57.68699804543434,-57.636348493861725
efp_fake_112315_udio_17,-3.689125412393721,-0.6126352574287168
efp_fake_112315_udio_18,-3.5114404379435857,0.04474520005696968
efp_fake_113019_acestep_00,-47.66431588280527,-47.64694645461045
efp_fake_113019_audioldm_01,-45.803428642729,-45.74591537815499
efp_fake_113019_audioldm_02,-5.259851979764319,-3.075095525702058
efp_fake_113019_diffrhythm_03,-61.74502904903107,-61.701288800309165
efp_fake_113019_diffrhythm_04,-50.79501915911044,-50.73686893263553
efp_fake_113019_musicgen_05,-47.92639339249335,-47.63417613165019
efp_fake_113019_musicgen_06,-12.140338867236773,-11.750046061036588
efp_fake_113019_stableaudio_07,-56.42629987327024,-56.34671782129934
efp_fake_118921_acestep_00,-47.8629524613381,-47.85696989415433
efp_fake_118921_audioldm_01,-52.78773483325246,-52.734546970622446
efp_fake_118921_audioldm_02,-51.973553157381716,-51.99376505505755
efp_fake_118921_diffrhythm_03,-62.95795693682419,-62.95001787545769
efp_fake_118921_musicgen_04,-46.16113316472315,-45.672498382596345
efp_fake_118921_musicgen_05,-54.447875139504845,-54.47669476728605
efp_fake_127303_acestep_00,-32.28777335779186,-32.2274710304235
efp_fake_127303_audioldm_01,-52.899269328385415,-52.913615071174114
efp_fake_127303_audioldm_02,-23.196764613730725,-22.877925736971445
efp_fake_127303_diffrhythm_03,-41.31457870541322,-41.22134579288485
efp_fake_127303_diffrhythm_04,-56.137534760099655,-55.80907703030512
efp_fake_127303_musicgen_05,-8.713517254740568,-7.914070135618628
efp_fake_127303_musicgen_06,-50.164701598900464,-49.89941602257987
efp_fake_127303_songgen_07,-33.53327208970282,-33.50602352654394
efp_fake_140925_acestep_00,-44.721542518541966,-44.740269403883
efp_fake_140925_audioldm_01,-53.061288563654045,-53.02313185541634
efp_fake_140925_audioldm_02,-47.70183954513896,-47.659413680279414
efp_fake_140925_diffrhythm_03,-4.313205692275973,-3.3765070378781017
efp_fake_140925_diffrhythm_04,-59.01413647884639,-58.887403448471886
efp_fake_140925_musicgen_05,-6.7360307604263125,-4.88091938492069
efp_fake_140925_musicgen_06,-46.213416272324714,-46.19153299370897
efp_real_075787,-8.027603963475789,-6.8786839748767505
efp_real_112315,-62.778881105878035,-62.71775961091133
efp_real_113019,-29.73683834112982,-29.78665249280572
efp_real_118921,-65.0004722264026,-64.98082788993442
efp_real_127303,-9.68475894714512,-8.971664720693916
efp_real_140925,-14.488358205142317,-14.250358836158814
