MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_ARCHIVE_MEMBER,AUDIO_SHA256,PANNS_VOCAL_MAX,PANNS_SPEECH_MAX,PANNS_ANY_VOICE_MAX,PANNS_SINGING,PANNS_MALE_SINGING,PANNS_FEMALE_SINGING,PANNS_CHILD_SINGING,PANNS_SYNTHETIC_SINGING,PANNS_CHOIR,PANNS_YODELING,PANNS_CHANT,PANNS_RAPPING,PANNS_HUMMING,PANNS_OPERA,PANNS_VOCAL_MUSIC,DEMUCS_VOCAL_TO_MIX_DB,DEMUCS_VOCAL_TO_RESIDUAL_DB,PANNS_THRESHOLD,PANNS_FLAG,DEMUCS_THRESHOLD_DB,DEMUCS_FLAG,ACOUSTIC_SCREEN_PASS,REVIEW_REASON
FM_mustango_4vsI0Kwn8jY,fmc:4vsI0Kwn8jY,mustango,unmixed_dataset/eval/FM_mustango_4vsI0Kwn8jY.wav,b912bfb56e156141e2ba6ee779212de708169681a0fed227ebf64ea33d7798b6,0.004494209308177233,0.034582290798425674,0.034582290798425674,0.004494209308177233,4.862672358285636e-05,5.800264989375137e-05,6.202736403793097e-05,2.5845485652098432e-05,0.000347779190633446,1.1675441783154383e-05,8.887686271918938e-05,0.00010709568596212193,1.69515533343656e-05,3.188861592207104e-05,5.845057967235334e-05,-45.83046251220434,-45.80402782296986,0.2,False,-1.5,False,True,
FM_audioldm2_E3iPiZlT6f8,fmc:E3iPiZlT6f8,audioldm2,unmixed_dataset/eval/FM_audioldm2_E3iPiZlT6f8.wav,578e3c0004708f3e0f44d7c53d23a30eb71bb08374bc82c61c806ee59e353983,0.009364724159240723,0.04540117084980011,0.04540117084980011,0.009364724159240723,0.0005415540654212236,0.00034910079557448626,0.00015955825801938772,0.000222965216380544,0.00042845524149015546,0.00020214871619828045,0.00017928284069057554,0.00102549372240901,0.0001533089962322265,0.00023769873951096088,0.0006236810004338622,-49.11412697787441,-49.1031744898332,0.2,False,-1.5,False,True,
FM_musicldm_zVA66aZOBH4,fmc:zVA66aZOBH4,musicldm,unmixed_dataset/eval/FM_musicldm_zVA66aZOBH4.wav,5d07895b867932e8270f0970120b21d28c5d9d573b95cfe0bdf29e78cabe0df9,0.004831273574382067,0.026551349088549614,0.026551349088549614,0.004831273574382067,0.0005741876666434109,0.0016412852564826608,0.00047277624253183603,0.0013223421992734075,0.0005764463567174971,0.0016151097370311618,0.0003692443133331835,0.00012876094842795283,0.002330937422811985,0.0007442920468747616,0.0011355349561199546,-35.86744776694209,-35.80751247964884,0.2,False,-1.5,False,True,
FM_stable_audio_open_-0SdAVK79lg,fmc:-0SdAVK79lg,stable_audio_open,unmixed_dataset/eval/FM_stable_audio_open_-0SdAVK79lg.wav,0b58d404f39a2bc2e2171a66f8ef3b418df8571dcca11a5492d8efe0be2449eb,0.014388982206583023,0.02441439963877201,0.02441439963877201,0.014388982206583023,0.0007979589863680303,0.00118017359636724,0.0005885038990527391,0.0005120894638821483,0.0018742469837889075,0.00043788045877590775,0.0010192531626671553,0.0004973940667696297,0.0013649363536387682,0.0012678317725658417,0.0006274905754253268,-55.23717406639676,-55.21087002632478,0.2,False,-1.5,False,True,
FM_MusicGen_medium_tWseBEYhE1M,fmc:tWseBEYhE1M,MusicGen_medium,unmixed_dataset/eval/FM_MusicGen_medium_tWseBEYhE1M.wav,9acc122e22db9f8a0f098f9025e4686e5cbe164fe2a58dc5699c5726e1bf97eb,0.006083461456000805,0.021140392869710922,0.021140392869710922,0.006083461456000805,0.0011503422865644097,0.001172071904875338,0.0006228769780136645,0.0008091758354566991,0.00407633138820529,0.000462700380012393,0.0014114414807409048,0.00025381980231031775,0.0003341810661368072,0.0008430286543443799,0.0020707675721496344,-46.512522261332585,-46.49003620771069,0.2,False,-1.5,False,True,
FM_mustango__IP6zlayY7k,fmc:_IP6zlayY7k,mustango,unmixed_dataset/eval/FM_mustango__IP6zlayY7k.wav,d77713c1020e82cf5319fa92935c9bcd55b271421cc0eeadcf03b94d87406c5e,0.018456174060702324,0.03441530093550682,0.03441530093550682,0.018456174060702324,0.0018371982732787728,0.005251226481050253,0.0024205290246754885,0.0016183070838451385,0.002513266634196043,0.0021412901114672422,0.0006801225827075541,0.00034393405076116323,0.0052144089713692665,0.0005079364054836333,0.007447054609656334,-2.954553680082154,1.3295809826313043,0.2,False,-1.5,False,True,
FM_audioldm2_tKawN2sxhYc,fmc:tKawN2sxhYc,audioldm2,unmixed_dataset/eval/FM_audioldm2_tKawN2sxhYc.wav,c3937428e7711e97af07f1f7045bbb9f422b8c12c6ef66c0e5882c89205dbe62,0.005645194556564093,0.029426760971546173,0.029426760971546173,0.001673198537901044,0.0005390396690927446,0.00030236021848395467,0.00019264676666352898,0.00010247011960018426,0.0009567855740897357,7.770716911181808e-05,0.00043216630001552403,0.00034186654374934733,0.00023608199262525886,0.005645194556564093,0.00017558227409608662,-48.1541807463302,-48.05789483460897,0.2,False,-1.5,False,True,
FM_musicldm_KU2bOYiBX28,fmc:KU2bOYiBX28,musicldm,unmixed_dataset/eval/FM_musicldm_KU2bOYiBX28.wav,cef80a46ada450704c116f40dcda048e7fc10e9c2dbf3c4c94438d8373c548eb,0.01509245578199625,0.038248926401138306,0.038248926401138306,0.01509245578199625,0.00029027651180513203,0.0003345769946463406,0.00024713954189792275,0.00026390625862404704,0.0014309679390862584,0.0002548100601416081,0.00012500629236456007,0.0008468275191262364,8.778188202995807e-05,0.00027231735293753445,0.00047036889009177685,-31.14078117374048,-31.053365044948475,0.2,False,-1.5,False,True,
FM_stable_audio_open_BEZdszHKGTQ,fmc:BEZdszHKGTQ,stable_audio_open,unmixed_dataset/eval/FM_stable_audio_open_BEZdszHKGTQ.wav,ca87339f267dad901aa875745ea6088c44103cf8a13ff3d037e94132692cd9d4,0.0065102349035441875,0.02655688486993313,0.02655688486993313,0.0065102349035441875,0.00025223506963811815,0.00042134811519645154,0.00020318158203735948,0.00018958377768285573,0.0006642747903242707,0.000175953668076545,0.00019173089822288603,0.0003921963507309556,0.0007052079308778048,0.0005278842872940004,0.0002342479128856212,-34.31950205838181,-34.28384919203401,0.2,False,-1.5,False,True,
FM_MusicGen_medium_0RgGrVklaao,fmc:0RgGrVklaao,MusicGen_medium,unmixed_dataset/eval/FM_MusicGen_medium_0RgGrVklaao.wav,2e5816b38d003e72076043e1789aed51820499c0445723a529ff94102cf9a710,0.010271742939949036,0.07457775622606277,0.07457775622606277,0.0044493405148386955,0.001392195001244545,0.000667873362544924,0.00022302749857772142,0.0031574189197272062,0.0015417991671711206,0.0003427515912335366,0.0012037463020533323,0.0023908040020614862,0.0016798530705273151,0.0003502111358102411,0.010271742939949036,-7.437685369521677,-5.968656231445829,0.2,False,-1.5,False,True,
