BASE_ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,VOICE_SOURCE_KIND,VOICE_SOURCE_ID,VOICE_SPEAKER,VOICE_CONTENT_ID,VOICE_REFERENCE_ID,VOICE_REFERENCE_SPEAKER,VOICE_GENERATOR,VOICE_ARCHIVE_ID,VOICE_ARCHIVE_MEMBER,VOICE_PARQUET_SHARD,REPLAY_PLAYER,REPLAY_RECORDER,REPLAY_DISTANCE,MUSIC_SOURCE_KIND,MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_PLATFORM,MUSIC_ARCHIVE_ID,MUSIC_ARCHIVE_MEMBER,SONICS_ORIGINAL_ARCHIVE_MEMBER,MUSIC_VOCAL_SCREEN,SNR_DB,OVERLAP_FRACTION,ORDER,GAP_SECONDS,SOURCE_DATASET,PROVENANCE_MODE
atbv91_0000,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_01266,2870ef921dc576582eec59b3d77fb97a57db3ae0118a38697842e3d6bde61fcc85d17a16e67bc893f299d78c69f1ad71238474580cddb159d35a1f215fb4da2b,common_voice_en_21314025.mp3,,,bonafide,EF_O_01266,echofake_voice/EF_O_01266.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv91_0001,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_03418,d0c4ff6121bfdbbf162900de8e68c2f5ea1e1d08391e4928e9f2febf82869a5aae10cb3e9d3f6b77487aad40da413e27ebf451dd980c01937dd7476c01df330a,common_voice_en_18718584.mp3,,,bonafide,EF_O_03418,echofake_voice/EF_O_03418.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,music_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv91_0002,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_04946,fea45a794e9acdccc08136471f8f72a6843f14e7d15943bfe8324464af424d1a69927d4814a259dcb9237369cdb3a701af28472dbead087d05302d5c37e84e11,common_voice_en_20303482.mp3,,,bonafide,EF_O_04946,echofake_voice/EF_O_04946.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv91_0003,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_03477,5824eaa9cb7282e7e539b9a5ec586529f30e570d22e5c5fdb3ddec100d66b061ae6621e90395c4bf01bbca520c4988a9e589f8696e37c0d6500db4554eb285a6,common_voice_en_23954492.mp3,,,bonafide,EF_O_03477,echofake_voice/EF_O_03477.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,music_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv91_0004,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_03053,6eed81f7feb81e2a32ce4a0f0ff8d4127b1481831a06c353b6855d8cb54fe08c8a54073f78874c8e5799fa5a63a620f3cc61e245cbdfe0ad6bdad4899bf5773a,common_voice_en_25168660.mp3,,,bonafide,EF_O_03053,echofake_voice/EF_O_03053.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv91_0005,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_03593,789f8603091181923ec6b33cb89c9d47d719adc6c3495aac4d9d70d9e058bcba47722290283fdde2b400d70c8c9d49d66a6e6e0571caa221cd0e93a3f9939937,common_voice_en_21465201.mp3,,,bonafide,EF_O_03593,echofake_voice/EF_O_03593.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv91_0006,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_02813,bc62098251e2964a1805e7b85087174f5a398602d385100b3d99304f67494d9833e01c4e816e21ca6b7c904bd07896b47c8ca067a1a542e5ce79feeb346b33b6,common_voice_en_21269295.mp3,,,bonafide,EF_O_02813,echofake_voice/EF_O_02813.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv91_0007,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_04389,d6f7bd374ed9ce865ee7f275153a8008fc5c65a367f087251902e360cbc29e108842ef2c3821b27730b3e51cb80d41f093868405056215b7d147373751755944,common_voice_en_31450455.mp3,,,bonafide,EF_O_04389,echofake_voice/EF_O_04389.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv91_0008,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_03653,42fe68bd6d7ae31257b6b057e80b8dec1b3ef37e6d94f3f7d906c3e65a1775ed21ccfde5c79dd60f416ce5c6edce2b7d68576f9bea2845bb3e0f5ad3ee8425f8,common_voice_en_27881140.mp3,,,bonafide,EF_O_03653,echofake_voice/EF_O_03653.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,music_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv91_0009,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_01840,2a14767556fc7518ae36429fbcfa248582c5d777728b13feea198adbb453faaf4e99d1378741d32a245d47e9b81317f93e7d1a9901a59e6e07f51e807667fd0a,common_voice_en_27314729.mp3,,,bonafide,EF_O_01840,echofake_voice/EF_O_01840.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
