MODEL,PARENT_ID,CHANNEL,TASK,LABEL,CLEAN_PROB,CHANNEL_PROB,SCORE_DELTA,SIGNED_DELTA
anchor,cmbv5_0000,g711_ulaw,FILE,0,0.4519404124,0.8179479611,0.3660075487,-0.3660075487
anchor,cmbv5_0001,g711_ulaw,FILE,0,0.3824594929,0.3140725091,-0.06838698379999997,0.06838698379999997
anchor,cmbv5_0002,g711_ulaw,FILE,0,0.622344048,0.4233997117,-0.19894433629999997,0.19894433629999997
anchor,cmbv5_0003,g711_ulaw,FILE,0,0.6876331819,0.762017087,0.07438390510000004,-0.07438390510000004
anchor,cmbv5_0004,g711_ulaw,FILE,1,0.7858395369,0.5326486654,-0.25319087149999997,-0.25319087149999997
anchor,cmbv5_0005,g711_ulaw,FILE,1,0.9077388716,0.8974608017,-0.01027806990000002,-0.01027806990000002
anchor,cmbv5_0006,g711_ulaw,FILE,1,0.3849617989,0.3257731388,-0.05918866010000001,-0.05918866010000001
anchor,cmbv5_0007,g711_ulaw,FILE,1,0.8966723373,0.5716491734,-0.32502316389999997,-0.32502316389999997
anchor,cmbv5_0008,g711_ulaw,FILE,1,0.9374092143,0.9221669589,-0.015242255400000015,-0.015242255400000015
anchor,cmbv5_0009,g711_ulaw,FILE,1,0.9776651279,0.890559198,-0.08710592989999999,-0.08710592989999999
anchor,cmbv5_0010,g711_ulaw,FILE,1,0.9857156825,0.8582587934,-0.12745688909999997,-0.12745688909999997
anchor,cmbv5_0011,g711_ulaw,FILE,1,0.9040361339,0.7244814801,-0.17955465380000002,-0.17955465380000002
anchor,cmbv5_0012,g711_ulaw,FILE,1,0.7666342258,0.5791471932,-0.1874870326,-0.1874870326
anchor,cmbv5_0013,g711_ulaw,FILE,1,0.9971198346,0.9881986469,-0.008921187699999944,-0.008921187699999944
anchor,cmbv5_0014,g711_ulaw,FILE,1,0.9671642394,0.9728004536,0.005636214200000045,0.005636214200000045
anchor,cmbv5_0015,g711_ulaw,FILE,1,0.9171761835,0.6266561655,-0.29052001799999994,-0.29052001799999994
anchor,cmbv5_0016,g711_ulaw,FILE,0,0.8909127072,0.8794645609,-0.011448146300000017,0.011448146300000017
anchor,cmbv5_0017,g711_ulaw,FILE,0,0.6779164904,0.7979974593,0.12008096889999997,-0.12008096889999997
anchor,cmbv5_0018,g711_ulaw,FILE,0,0.6927373944,0.5772601321,-0.1154772623,0.1154772623
anchor,cmbv5_0019,g711_ulaw,FILE,0,0.3003217014,0.25123178,-0.04908992139999996,0.04908992139999996
anchor,cmbv5_0020,g711_ulaw,FILE,1,0.9339590522,0.86736336,-0.06659569219999995,-0.06659569219999995
anchor,cmbv5_0021,g711_ulaw,FILE,1,0.5776280136,0.5681060489,-0.009521964699999996,-0.009521964699999996
anchor,cmbv5_0022,g711_ulaw,FILE,1,0.771583062,0.7912956148,0.01971255279999995,0.01971255279999995
anchor,cmbv5_0023,g711_ulaw,FILE,1,0.88531128,0.7455012117,-0.13981006829999998,-0.13981006829999998
anchor,cmbv5_0024,g711_ulaw,FILE,1,0.9873996995,0.990371146,0.00297144650000003,0.00297144650000003
anchor,cmbv5_0025,g711_ulaw,FILE,1,0.9890600871,0.9864550754,-0.0026050117000000483,-0.0026050117000000483
anchor,cmbv5_0026,g711_ulaw,FILE,1,0.9800179837,0.8981027618,-0.0819152219,-0.0819152219
anchor,cmbv5_0027,g711_ulaw,FILE,1,0.989011159,0.9916094007,0.0025982417000000035,0.0025982417000000035
anchor,cmbv5_0028,g711_ulaw,FILE,1,0.9918330755,0.9869522587,-0.004880816799999965,-0.004880816799999965
anchor,cmbv5_0029,g711_ulaw,FILE,1,0.9892159581,0.9925088813,0.003292923200000075,0.003292923200000075
anchor,cmbv5_0030,g711_ulaw,FILE,1,0.9887930963,0.9834259748,-0.005367121499999961,-0.005367121499999961
anchor,cmbv5_0031,g711_ulaw,FILE,1,0.9895286257,0.9773003404,-0.012228285299999975,-0.012228285299999975
anchor,cmbv5_0032,g711_ulaw,FILE,0,0.472190194,0.2800287338,-0.19216146020000002,0.19216146020000002
anchor,cmbv5_0033,g711_ulaw,FILE,0,0.5774305435,0.6258532843,0.048422740799999975,-0.048422740799999975
anchor,cmbv5_0034,g711_ulaw,FILE,0,0.6758959719,0.4682819262,-0.20761404569999997,0.20761404569999997
anchor,cmbv5_0035,g711_ulaw,FILE,0,0.6164617339,0.6199887018,0.0035269678999999554,-0.0035269678999999554
anchor,cmbv5_0036,g711_ulaw,FILE,1,0.7704481372,0.7020875695,-0.0683605677000001,-0.0683605677000001
anchor,cmbv5_0037,g711_ulaw,FILE,1,0.8030379916,0.8379959979,0.03495800630000001,0.03495800630000001
anchor,cmbv5_0038,g711_ulaw,FILE,1,0.8535497143,0.8345887421,-0.018960972200000037,-0.018960972200000037
anchor,cmbv5_0039,g711_ulaw,FILE,1,0.9345900491,0.9412234902,0.0066334410999999704,0.0066334410999999704
anchor,cmbv5_0040,g711_ulaw,FILE,1,0.9894292375,0.987253915,-0.0021753224999999654,-0.0021753224999999654
anchor,cmbv5_0041,g711_ulaw,FILE,1,0.9843947941,0.9876493313,0.0032545372000000183,0.0032545372000000183
anchor,cmbv5_0042,g711_ulaw,FILE,1,0.9946352465,0.9853534729,-0.009281773600000043,-0.009281773600000043
anchor,cmbv5_0043,g711_ulaw,FILE,1,0.9909479744,0.9849151347,-0.0060328397000000145,-0.0060328397000000145
anchor,cmbv5_0044,g711_ulaw,FILE,1,0.9816540115,0.9831883513,0.0015343398000000619,0.0015343398000000619
anchor,cmbv5_0045,g711_ulaw,FILE,1,0.9859625569,0.9778166059,-0.00814595100000004,-0.00814595100000004
anchor,cmbv5_0046,g711_ulaw,FILE,1,0.9878941035,0.9807454725,-0.007148630999999961,-0.007148630999999961
anchor,cmbv5_0047,g711_ulaw,FILE,1,0.9793155328,0.9412002683,-0.03811526450000002,-0.03811526450000002
anchor,cmbv5_0000,g711_ulaw,VOICE,0,0.2756703843,0.6709763363,0.39530595199999996,-0.39530595199999996
anchor,cmbv5_0001,g711_ulaw,VOICE,0,0.0127425091,0.0372478083,0.024505299199999997,-0.024505299199999997
anchor,cmbv5_0002,g711_ulaw,VOICE,0,0.5032785797,0.3183473966,-0.1849311831,0.1849311831
anchor,cmbv5_0003,g711_ulaw,VOICE,0,0.0967339724,0.2381855206,0.1414515482,-0.1414515482
anchor,cmbv5_0004,g711_ulaw,VOICE,0,0.062093299,0.1986152934,0.1365219944,-0.1365219944
anchor,cmbv5_0005,g711_ulaw,VOICE,0,0.5755189426,0.6799352988,0.1044163562,-0.1044163562
anchor,cmbv5_0006,g711_ulaw,VOICE,0,0.0255177216,0.0426392363,0.0171215147,-0.0171215147
anchor,cmbv5_0007,g711_ulaw,VOICE,0,0.888158746,0.2481946865,-0.6399640595,0.6399640595
anchor,cmbv5_0008,g711_ulaw,VOICE,1,0.8909747332,0.901334641,0.010359907800000068,0.010359907800000068
anchor,cmbv5_0009,g711_ulaw,VOICE,1,0.8420426902,0.5172945177,-0.3247481725,-0.3247481725
anchor,cmbv5_0010,g711_ulaw,VOICE,1,0.9721990606,0.9149904961,-0.0572085645,-0.0572085645
anchor,cmbv5_0011,g711_ulaw,VOICE,1,0.9334452592,0.8326896061,-0.10075565310000001,-0.10075565310000001
anchor,cmbv5_0012,g711_ulaw,VOICE,1,0.8605801807,0.8407550964,-0.019825084299999962,-0.019825084299999962
anchor,cmbv5_0013,g711_ulaw,VOICE,1,0.9739746432,0.9094718827,-0.06450276050000003,-0.06450276050000003
anchor,cmbv5_0014,g711_ulaw,VOICE,1,0.8599912292,0.9482457828,0.08825455360000001,0.08825455360000001
anchor,cmbv5_0015,g711_ulaw,VOICE,1,0.8853147037,0.7475650213,-0.13774968239999996,-0.13774968239999996
anchor,cmbv5_0016,g711_ulaw,VOICE,0,0.631097872,0.6251547367,-0.005943135300000013,0.005943135300000013
anchor,cmbv5_0017,g711_ulaw,VOICE,0,0.4352144606,0.5564581018,0.12124364119999997,-0.12124364119999997
anchor,cmbv5_0018,g711_ulaw,VOICE,0,0.5704452637,0.2059079917,-0.3645372720000001,0.3645372720000001
anchor,cmbv5_0019,g711_ulaw,VOICE,0,0.0304864922,0.0876422938,0.05715580160000001,-0.05715580160000001
anchor,cmbv5_0020,g711_ulaw,VOICE,0,0.0970122068,0.4075994281,0.3105872213,-0.3105872213
anchor,cmbv5_0021,g711_ulaw,VOICE,0,0.3286936688,0.2513206298,-0.07737303900000003,0.07737303900000003
anchor,cmbv5_0022,g711_ulaw,VOICE,0,0.0939691474,0.4900802591,0.3961111117,-0.3961111117
anchor,cmbv5_0023,g711_ulaw,VOICE,0,0.2267645345,0.2983634887,0.07159895420000001,-0.07159895420000001
anchor,cmbv5_0024,g711_ulaw,VOICE,1,0.8967104555,0.9168921135,0.020181658000000047,0.020181658000000047
anchor,cmbv5_0025,g711_ulaw,VOICE,1,0.931884639,0.9165292933,-0.015355345699999967,-0.015355345699999967
anchor,cmbv5_0026,g711_ulaw,VOICE,1,0.9783221145,0.9433412765,-0.03498083799999996,-0.03498083799999996
anchor,cmbv5_0027,g711_ulaw,VOICE,1,0.9306707822,0.9322050877,0.0015343054999999994,0.0015343054999999994
anchor,cmbv5_0028,g711_ulaw,VOICE,1,0.9002237348,0.8861001855,-0.014123549299999927,-0.014123549299999927
