column,value,rows,v83,v101,new_expert,replace,extend
DATASET,codec_mixed_dev_v4,600,0.21333333333333337,0.20333333333333337,0.31000000000000005,0.20999999999999996,0.20666666666666667
DATASET,echoes_fma_paired_v3,111,0.09009740259740262,0.07207792207792209,0.27029220779220775,0.09009740259740262,0.05405844155844157
DATASET,external_mixed_v1,400,0.14,0.13,0.44999999999999996,0.135,0.13
DATASET,external_mixed_v1_telephone_v1,400,0.15500000000000003,0.15500000000000003,0.41500000000000004,0.14500000000000002,0.15500000000000003
DATASET,factorial_eval_1200_v2,350,0.18285714285714283,0.2114285714285714,0.31999999999999995,0.1714285714285714,0.19999999999999998
DATASET,mixfake_music_dev_v1,1600,0.09624999999999997,0.06499999999999997,0.12624999999999997,0.07125000000000001,0.05874999999999998
DATASET,source_disjoint_mixed_v1,200,0.07999999999999999,0.07999999999999999,0.08999999999999998,0.06999999999999998,0.06999999999999998
DATASET,source_disjoint_mixed_v1_telephone_v1,200,0.15000000000000002,0.13,0.18000000000000002,0.14,0.14
DATASET,source_disjoint_music_v1,400,0.03500000000000002,0.03500000000000002,0.08499999999999999,0.04000000000000002,0.03500000000000002
CHANNEL,clean,120,0.06666666666666665,0.06666666666666665,0.2833333333333333,0.06666666666666665,0.08333333333333334
CHANNEL,clean_flac,58,0.24166666666666664,0.25833333333333336,0.39642857142857146,0.29285714285714287,0.25833333333333336
CHANNEL,g711_ulaw,120,0.11666666666666668,0.08333333333333334,0.18333333333333335,0.08333333333333334,0.08333333333333334
CHANNEL,g722_wb,120,0.08333333333333334,0.08333333333333334,0.33333333333333337,0.08333333333333334,0.08333333333333334
CHANNEL,missing,3311,0.1135608681057256,0.09906373600712232,0.21775891384619872,0.09906373600712232,0.09604350015324664
CHANNEL,mp3_64k,59,0.20344827586206893,0.13563218390804596,0.271264367816092,0.13563218390804596,0.16954022988505746
CHANNEL,noisy_flac,58,0.10357142857142855,0.10357142857142855,0.2928571428571428,0.1380952380952381,0.1380952380952381
CHANNEL,ogg_48k,58,0.10357142857142855,0.1380952380952381,0.2928571428571428,0.1380952380952381,0.1380952380952381
CHANNEL,opus_nb_8k,120,0.2833333333333333,0.30000000000000004,0.35,0.2666666666666667,0.2833333333333333
CHANNEL,stereo_wav,58,0.20714285714285716,0.17261904761904762,0.32738095238095233,0.1380952380952381,0.17261904761904762
CHANNEL,telephone_flac,59,0.16993087557603687,0.16993087557603687,0.35599078341013823,0.16993087557603687,0.18605990783410142
CHANNEL,transcode_g711_opus,120,0.33333333333333337,0.2833333333333333,0.3666666666666667,0.31666666666666665,0.2833333333333333
MIX_MODE,concurrent,300,0.21333333333333337,0.20666666666666667,0.31333333333333335,0.21333333333333337,0.20666666666666667
MIX_MODE,missing,3311,0.1135608681057256,0.09906373600712232,0.21775891384619872,0.09906373600712232,0.09604350015324664
MIX_MODE,music_only,50,0.12,0.12,0.24,0.12,0.12
MIX_MODE,partial_overlap,300,0.2333333333333333,0.22666666666666668,0.33333333333333337,0.21999999999999997,0.21999999999999997
MIX_MODE,sequential,300,0.21333333333333337,0.20666666666666667,0.31999999999999995,0.20666666666666667,0.21333333333333337
COMPONENT_CASE,missing,3311,0.1135608681057256,0.09906373600712232,0.21775891384619872,0.09906373600712232,0.09604350015324664
