ID,FILE_FAKE_PROB,VOICE_FAKE_PROB,MUSIC_FAKE_PROB,VOICE_PRESENT_PROB,MUSIC_PRESENT_PROB
factorial_0400,0.004794718429222183,0.0020360904048992165,0.7464463029583017,0.8317946196,0.045995295
factorial_0401,0.02507401292857488,0.0004331629603367157,0.24460730048060725,0.7884164453,0.037467394
factorial_0402,0.03127432574870806,0.017749078878836942,0.4638790282208868,0.6723293662,0.0835961848
factorial_0403,0.10598914797951908,0.010915902534019481,0.23264047262305015,0.8134131432,0.0517357029
factorial_0404,0.040387718482846544,0.006226934880215872,0.1863518713053774,0.8324725628,0.0453283489
factorial_0405,0.00849395233832661,0.005347745801522268,0.2514167831176098,0.4835534692,0.1257816106
factorial_0406,0.1102618790194881,0.00020140002556478468,0.765496298008832,0.8896062374,0.0499385558
factorial_0407,0.09481145416570912,0.005193330730104483,0.40835628853864264,0.7976140976,0.0632008165
factorial_0408,0.04329694968232098,0.004525146461843859,0.3714569502554877,0.8504248857,0.059727475
factorial_0409,0.24397643924548165,0.19420116362064702,0.7783388472325009,0.8447825313,0.0464484729
factorial_0410,0.3481452790772523,0.11862489908627034,0.6714691404156024,0.840297401,0.0300465804
factorial_0411,0.11929778523180513,0.06080423639156757,0.38723527557038684,0.7333369851,0.0963170752
factorial_0412,0.0014502500735350846,0.000280033806730387,0.538802541039275,0.6978513598,0.1107165292
factorial_0413,0.0007487058977264183,0.00016132680567359204,0.44111775642823176,0.8541229367,0.0433575399
factorial_0414,0.12163772769639598,0.004911796776194549,0.7254171313004418,0.8803533316,0.0790445581
factorial_0415,0.001222404428820971,0.0005655305388662207,0.4357842454100983,0.8508554101,0.0462856553
factorial_0416,0.06772759704020259,6.616377857269583e-05,0.21910975859882106,0.9147114158,0.0441396795
factorial_0417,0.08662966848833513,0.011048189633193687,0.6314708714138091,0.8473225832,0.1230762601
factorial_0418,0.02787767593468132,0.00022232747794772694,0.5322631403298478,0.78008008,0.037347205
factorial_0419,0.001627594183038157,0.00011553541243453056,0.18116963334159045,0.5440647006,0.049595587
factorial_0420,0.16026389609347522,0.04117644392951236,0.4046099695642541,0.6079267263,0.065429382
factorial_0421,0.06543915819210833,0.05017745581590925,0.27424573613651054,0.8623945713,0.0411652997
factorial_0422,0.15009278114151076,0.002822402366398511,0.28308992025383783,0.7934914231,0.0312298406
factorial_0423,0.08366048834117978,0.0007799714489103265,0.35609629508397034,0.8318300247,0.1249557883
factorial_0424,0.2734866652202019,0.18235305836123683,0.9205959814959104,0.8877949119,0.0540837087
factorial_0425,0.12426738988796314,0.5484992323212575,0.06091241038429325,0.0364063345,0.8264459968
factorial_0426,0.17052748891048852,0.33848906120323313,0.0523026407521945,0.0206877925,0.6073236465
factorial_0427,0.24245403367898347,0.8454038196681429,0.1380520245719853,0.1152413264,0.8696725965
factorial_0428,0.2613745167045086,0.2079445909021425,0.11150843944467777,0.0479276851,0.8405728936
factorial_0429,0.40599744289348433,0.2158500646118035,0.2910073718737722,0.0451188236,0.1329930276
factorial_0430,0.5694165596628005,0.015765848512388023,0.5816494672479784,0.0316995382,0.8508201241
factorial_0431,0.03799215350132924,0.5023608703028256,0.028375148216963034,0.0336343683,0.8242228627
factorial_0432,0.12570671812431003,0.019807455446575,0.0619473541274576,0.1066806912,0.9215633869
factorial_0433,0.16260967253843,0.6515120354011156,0.11402733311866489,0.0526056327,0.9052119255
factorial_0434,0.2690409956545922,0.9173947682558644,0.14072534372526044,0.0297066923,0.9118412137
factorial_0435,0.4390315071835458,0.7525348895875542,0.18747096232421162,0.2136826515,0.8388293386
factorial_0436,0.33413873652621334,0.7018225094224774,0.27485735271226025,0.0425509624,0.8376552463
factorial_0437,0.26819958486550877,0.7904796978588736,0.14597397505171925,0.2861935198,0.8925943375
factorial_0438,0.11737013136722756,0.014949023041005288,0.09172245700752597,0.0387907326,0.1639321446
factorial_0439,0.7020398592595025,0.756135261789265,0.5173178666659394,0.023636356,0.8053393364
factorial_0440,0.09487438222320223,0.3132157469802459,0.007932192291564654,0.0284940675,0.9072649479
factorial_0441,0.010245576581238052,0.08128289286131415,0.013896844454576219,0.0211766995,0.6110124588
factorial_0442,0.5786852866740009,0.05781399253652455,0.43903107562768773,0.1466296464,0.8512379527
factorial_0443,0.09112980675179014,0.7644904567538536,0.042220037207136844,0.1271395087,0.8806023002
factorial_0444,0.4183510699051448,0.03205243977740987,0.38079256180401,0.0235106349,0.8263455629
factorial_0445,0.5103822119959085,0.7784999654634801,0.35001735583554133,0.0733828098,0.878965795
factorial_0446,0.16250784630163434,0.8303353628543316,0.019199435531058667,0.0266472436,0.8914765716
factorial_0447,0.11205908547454696,0.5737557907837189,0.0040504296266165776,0.0266632084,0.8266436458
factorial_0448,0.4532140363470721,0.6272878750072031,0.46165072616593095,0.110364005,0.901231885
factorial_0449,0.4549129128345377,0.9560234075505615,0.3564734018212404,0.0417702608,0.8334668279
factorial_0450,0.999941998459923,0.9999641670618781,0.6894352725620982,0.8345918059,0.0569831245
factorial_0451,0.9796499417564934,0.9647212461757035,0.6313956874697898,0.7992021441,0.0281058419
factorial_0452,0.9978016660548797,0.9984410081022971,0.43677291234590854,0.6678168178,0.0647785738
factorial_0453,0.9491520935254399,0.9145808959366359,0.44479924206045535,0.7903987169,0.0397676006
factorial_0454,0.7139868310092495,0.7351698280814439,0.5284611342062591,0.8910936713,0.0500956215
factorial_0455,0.09421906735733775,0.003139487936502746,0.351360098839763,0.8768369555,0.0462045483
factorial_0456,0.9283833879952972,0.9248988934505098,0.5148999652932564,0.842600584,0.0251973476
factorial_0457,0.9970558247694105,0.9957319171452859,0.6783518384170061,0.7941350937,0.0316956788
factorial_0458,0.9919219705088578,0.9870174885006235,0.6341289584184485,0.831992805,0.0290207658
factorial_0459,0.9884121394238995,0.9868243182278643,0.37823089296117934,0.8284230828,0.0343660638
factorial_0460,0.9994793464235511,0.9995579532862,0.9699470438065603,0.8843161464,0.0373515598
factorial_0461,0.9123763674827939,0.8365073386218118,0.6020570944703412,0.7920094728,0.0330911353
