filepath,target,ID,DATASET
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1023711_XzwhTltRQcM.wav,1,FS-FM_LA_D_1023711_XzwhTltRQcM,mixfake_music_dev_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1023711_cf-IIqhveKw.wav,1,FS-FM_LA_D_1023711_cf-IIqhveKw,mixfake_music_dev_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1023711_fake_15050_udio_0.wav,1,FS-FM_LA_D_1023711_fake_15050_udio_0,mixfake_music_dev_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1053530_kOREaTKeyZw.wav,1,FS-FM_LA_D_1053530_kOREaTKeyZw,mixfake_music_dev_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1062960_k4kbpRRRgcQ.wav,1,FS-FM_LA_D_1062960_k4kbpRRRgcQ,mixfake_music_dev_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1084765_fake_19732_udio_1.wav,1,FS-FM_LA_D_1084765_fake_19732_udio_1,mixfake_music_dev_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1097191_fake_53079_suno_0.wav,1,FS-FM_LA_D_1097191_fake_53079_suno_0,mixfake_music_dev_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1132441_fake_21612_udio_1.wav,1,FS-FM_LA_D_1132441_fake_21612_udio_1,mixfake_music_dev_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1143649_oh0EWEvJI90.wav,1,FS-FM_LA_D_1143649_oh0EWEvJI90,mixfake_music_dev_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1143649_xVab_CbwecE.wav,1,FS-FM_LA_D_1143649_xVab_CbwecE,mixfake_music_dev_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1154251_YDBxdZchOuM.wav,1,FS-FM_LA_D_1154251_YDBxdZchOuM,mixfake_music_dev_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1154251_xiN6XwZNEJo.wav,1,FS-FM_LA_D_1154251_xiN6XwZNEJo,mixfake_music_dev_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1227503_6TSluKI0X54.wav,1,FS-FM_LA_D_1227503_6TSluKI0X54,mixfake_music_dev_v1
