KIND,label,label_name,source_id,utt_id,speaker,content_id,reference_id,reference_speaker,generator,parquet,parquet_shard,archive_member,group,archive_id,semantic_status
voice,0,bonafide,echofake:EF_D_00006,EF_D_00006,91ab03de963dbfc5c617758ffde182db2527ffe4cc7d27cf7ef40bafadfb82dfe6f3f82d2c4e8cd0246a910c604ec611f75861b3e339aee594d6478557a4b96d,common_voice_en_29083375.mp3,,,bonafide,/home/nas_main/kyudanjung/DAVIANspeech/data/external/echofake/dev-00000-of-00001.parquet,dev-00000-of-00001.parquet,echofake_voice/EF_D_00006.flac,,,
voice,0,bonafide,echofake:EF_D_00007,EF_D_00007,a35595a9de47eebf04584944186670d6d2f4070339ad0e221ad2139484d344a67453f6dfaa668cd25717c0ab1f6397f94fcb5fd83f9ad0f0b963a3832c3f026f,common_voice_en_32277033.mp3,,,bonafide,/home/nas_main/kyudanjung/DAVIANspeech/data/external/echofake/dev-00000-of-00001.parquet,dev-00000-of-00001.parquet,echofake_voice/EF_D_00007.flac,,,
voice,0,bonafide,echofake:EF_D_00013,EF_D_00013,6427005362421610f9a24a132ec929c74cad6d7542bdf84d2e8e3eaa55a5654e0cdb4c9a15703aed754eead4fa1ed648193660ad42069b3841e7c331e6944117,common_voice_en_23941196.mp3,,,bonafide,/home/nas_main/kyudanjung/DAVIANspeech/data/external/echofake/dev-00000-of-00001.parquet,dev-00000-of-00001.parquet,echofake_voice/EF_D_00013.flac,,,
voice,0,bonafide,echofake:EF_D_00016,EF_D_00016,6d202250549c9a5adf55373e86036064b10822a8e275e618182c219aa7923c73345671cd7902db5892d1768ee832d78333ecb89b3de55bad8f56e1fae7e6e539,common_voice_en_96189.mp3,,,bonafide,/home/nas_main/kyudanjung/DAVIANspeech/data/external/echofake/dev-00000-of-00001.parquet,dev-00000-of-00001.parquet,echofake_voice/EF_D_00016.flac,,,
voice,0,bonafide,echofake:EF_D_00021,EF_D_00021,06103969839b5453423bd5e442c4bfa807686a69998519ed23014c47b489d59768eee9196b2f536191b5d529709f3fdc9f07a28db3fb030906423825e42e187a,common_voice_en_31702395.mp3,,,bonafide,/home/nas_main/kyudanjung/DAVIANspeech/data/external/echofake/dev-00000-of-00001.parquet,dev-00000-of-00001.parquet,echofake_voice/EF_D_00021.flac,,,
voice,0,bonafide,echofake:EF_D_00027,EF_D_00027,f4a84447a7b80901159fd2eb5d78bbece4d20200234e5f55ef416451c329c58642ac32e58bccfc3d3696b174d916bc68ba23fbc6b8b636a84ba19fe9386c0b4b,common_voice_en_19704770.mp3,,,bonafide,/home/nas_main/kyudanjung/DAVIANspeech/data/external/echofake/dev-00000-of-00001.parquet,dev-00000-of-00001.parquet,echofake_voice/EF_D_00027.flac,,,
voice,0,bonafide,echofake:EF_D_00035,EF_D_00035,d351e196167ed8a9d181610dfc56685ca89b058832ab64fca0d8cdc6771e895be50a0e4e0d953d193c61c025a8b334619409bab1f1a240b6fbfeb77e2bb2f345,common_voice_en_32159924.mp3,,,bonafide,/home/nas_main/kyudanjung/DAVIANspeech/data/external/echofake/dev-00000-of-00001.parquet,dev-00000-of-00001.parquet,echofake_voice/EF_D_00035.flac,,,
voice,0,bonafide,echofake:EF_D_00038,EF_D_00038,505d3052b731e49ad6c4f40931ba42bff7a9046b894c676803a4044fead6272d3340ac3ea1fdf441cfed2fc4b1c81b85bd1fab484d7d9d86357b0affbd0739ee,common_voice_en_23782340.mp3,,,bonafide,/home/nas_main/kyudanjung/DAVIANspeech/data/external/echofake/dev-00000-of-00001.parquet,dev-00000-of-00001.parquet,echofake_voice/EF_D_00038.flac,,,
voice,0,bonafide,echofake:EF_D_00040,EF_D_00040,9e6394468460cbb7fec413cf64853fc204c13ab056c825c01961bdc3c165f84f9a9a2ddfa5aab82eeb947157e9a11d7c00d3333ccc849c7cce84c9041bcdc4e7,common_voice_en_19850383.mp3,,,bonafide,/home/nas_main/kyudanjung/DAVIANspeech/data/external/echofake/dev-00000-of-00001.parquet,dev-00000-of-00001.parquet,echofake_voice/EF_D_00040.flac,,,
voice,0,bonafide,echofake:EF_D_00043,EF_D_00043,5e993cc04ddf098bfc9abb8b3846bb0457ec552dcdc83ff742f988837bf873f185fff135d3b0a25469ab9535c29cd8d30274010cdd6ac0e437857873bb1a938b,common_voice_en_21452768.mp3,,,bonafide,/home/nas_main/kyudanjung/DAVIANspeech/data/external/echofake/dev-00000-of-00001.parquet,dev-00000-of-00001.parquet,echofake_voice/EF_D_00043.flac,,,
