BASE_ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,VOICE_SOURCE_ID,VOICE_SPEAKER,VOICE_CONTENT_ID,VOICE_REFERENCE_ID,VOICE_REFERENCE_SPEAKER,VOICE_GENERATOR,VOICE_ARCHIVE_ID,VOICE_ARCHIVE_MEMBER,VOICE_PARQUET_SHARD,MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_VOCAL_SCREEN,MUSIC_ARCHIVE_ID,MUSIC_ARCHIVE_MEMBER,SNR_DB,OVERLAP_FRACTION,ORDER,GAP_SECONDS,SOURCE_DATASET,PROVENANCE_MODE
cmbv7_0000,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,echofake:EF_O_04427,8af39a602921510337c12022d288c588422f1164a8a59229090f7bbeb7c97796ecb0faa0a0c80efa6b03143db33897b6338f8f3d00b440218c5da446409f19e0,common_voice_en_24851245.mp3,,,bonafide,EF_O_04427,echofake_voice/EF_O_04427.flac,open_set_eval-00000-of-00003.parquet,108022,fma:108022,FMA,panns_demucs_semantic_screen_pending_v7,RM_108_108022,unmixed_dataset/eval/RM_108_108022.wav,5,1.0,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0001,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,echofake:EF_O_00268,6b7a42676a3deb0c788322fdeecd99a987216f99c78b9ddaef7517980a8203a95757cf9b683e0fb6c5bb1622481536550d946e4d0c871336ed627e9ba3ba4f2e,common_voice_en_37904495.mp3,,,bonafide,EF_O_00268,echofake_voice/EF_O_00268.flac,open_set_eval-00000-of-00003.parquet,132134,fma:132134,FMA,panns_demucs_semantic_screen_pending_v7,RM_132_132134,unmixed_dataset/eval/RM_132_132134.wav,5,1.0,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0002,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,echofake:EF_O_02544,a0b5f320c328683fcf2a57704fe94050ae243c5b647458262e21ccb43c80a561015f7447b04fd70455378665c3a8f89e45b3b0c8d7f962d84b20f3ffe20e72cc,common_voice_en_20083769.mp3,,,bonafide,EF_O_02544,echofake_voice/EF_O_02544.flac,open_set_eval-00000-of-00003.parquet,080793,fma:80793,FMA,panns_demucs_semantic_screen_pending_v7,RM_080_080793,unmixed_dataset/eval/RM_080_080793.wav,10,1.0,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0003,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,echofake:EF_O_03186,4c0b68ba80c733ef168d4af01b46d4129d43e878835fb940e871a0cda56975bbfc9ccb82e899d79f3a1d079d1e7a17f2cf0921eb6a9585cd36a24a392c10e291,common_voice_en_25394750.mp3,,,bonafide,EF_O_03186,echofake_voice/EF_O_03186.flac,open_set_eval-00000-of-00003.parquet,016210,fma:16210,FMA,panns_demucs_semantic_screen_pending_v7,RM_016_016210,unmixed_dataset/eval/RM_016_016210.wav,-5,1.0,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0004,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,echofake:EF_O_04294,c7ad9ec7d5d54269def926631d8f4b120d50ae0a44b37ddeaf0fb1c38583c19886c5ac1cdf8e6663f3b194a0afb330732fc82607aed1e5bb691133782f988c5c,common_voice_en_19353566.mp3,,,bonafide,EF_O_04294,echofake_voice/EF_O_04294.flac,open_set_eval-00000-of-00003.parquet,134754,fma:134754,FMA,panns_demucs_semantic_screen_pending_v7,RM_134_134754,unmixed_dataset/eval/RM_134_134754.wav,10,1.0,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0005,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,echofake:EF_O_00319,1d48408e97f6c348c68a08b3a031cab318346939316a5cc91adabbf5f03debd19429edd8d40ff2ac751151d1c1acf0ad060f33821f515e7dac09063fa2a9b4df,common_voice_en_32811222.mp3,,,bonafide,EF_O_00319,echofake_voice/EF_O_00319.flac,open_set_eval-00000-of-00003.parquet,034517,fma:34517,FMA,panns_demucs_semantic_screen_pending_v7,RM_034_034517,unmixed_dataset/eval/RM_034_034517.wav,10,1.0,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0006,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,echofake:EF_O_05774,08dab8a66b8c47e3b04069a303d3b6ed727f3d403405bed16cfb30eb6dcfb67c8bc612bb557a28d3d341278e187737c83a8bf69049540d151a1eb07cd348e260,common_voice_en_28474819.mp3,,,bonafide,EF_O_05774,echofake_voice/EF_O_05774.flac,open_set_eval-00000-of-00003.parquet,FM_mustango_JpMHnsdsCiY,fmc:JpMHnsdsCiY,mustango,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_mustango_JpMHnsdsCiY,unmixed_dataset/eval/FM_mustango_JpMHnsdsCiY.wav,-5,1.0,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0007,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,echofake:EF_O_06138,2e18dbf57ebd9180f22d11da1dab46e91630c83a1cf939bfd73bc99624aacfd5c4d835c8535f55a8c5a4192c9fcf26fe90c7c52940dca246a39de23f1ddeceaa,common_voice_en_26890641.mp3,,,bonafide,EF_O_06138,echofake_voice/EF_O_06138.flac,open_set_eval-00000-of-00003.parquet,FM_stable_audio_open_YyYEzAY2e2I,fmc:YyYEzAY2e2I,stable_audio_open,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_stable_audio_open_YyYEzAY2e2I,unmixed_dataset/eval/FM_stable_audio_open_YyYEzAY2e2I.wav,-10,1.0,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0008,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,echofake:EF_O_02233,38e385de797fd67e3da7c976f35866179a1a5180437b1d7f51f7d077a143067ce1533a52fb6af8e81e532208a496283525c4276b2c206055516cc4247162ed7e,common_voice_en_19685700.mp3,,,bonafide,EF_O_02233,echofake_voice/EF_O_02233.flac,open_set_eval-00000-of-00003.parquet,FM_audioldm2_fjxD32KIHgE,fmc:fjxD32KIHgE,audioldm2,panns_demucs_semantic_screen_pending_v7,FM_audioldm2_fjxD32KIHgE,unmixed_dataset/eval/FM_audioldm2_fjxD32KIHgE.wav,5,1.0,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0009,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,echofake:EF_O_00178,1de660646cc3608d09b77a7f171c9f998d8e754db2ea72c6a1a91a1f340fb19a1bc82f6cd63e387061e18327020ddcb856e28a29da5123c9bce1eab649c3b99b,common_voice_en_23353861.mp3,,,bonafide,EF_O_00178,echofake_voice/EF_O_00178.flac,open_set_eval-00000-of-00003.parquet,FM_MusicGen_medium_a4jcJ7QZ-OQ,fmc:a4jcJ7QZ-OQ,MusicGen_medium,panns_demucs_semantic_screen_pending_v7,FM_MusicGen_medium_a4jcJ7QZ-OQ,unmixed_dataset/eval/FM_MusicGen_medium_a4jcJ7QZ-OQ.wav,10,1.0,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
